source,target,relation,relation_detail,weight,directed,relation_family,provenance,source_module,target_module
probability,mathematics,structure,part_of,0.96,true,structure,curated core,probability_statistics,mathematical_sciences
statistics,mathematics,structure,part_of,0.96,true,structure,curated core,probability_statistics,mathematical_sciences
bayesian_inference,mathematics,structure,part_of,0.96,true,structure,curated core,probability_statistics,mathematical_sciences
information_theory,mathematics,structure,part_of,0.96,true,structure,curated core,systems_complexity,mathematical_sciences
condensed_matter,physics,structure,part_of,0.96,true,structure,curated core,materials_science,fundamental_physics
nonlinear_dynamics,physics,structure,part_of,0.96,true,structure,curated core,systems_complexity,fundamental_physics
artificial_intelligence,computer_science,structure,part_of,0.96,true,structure,curated core,ai_machine_learning,computer_science
machine_learning,computer_science,structure,part_of,0.96,true,structure,curated core,ai_machine_learning,computer_science
deep_learning,computer_science,structure,part_of,0.96,true,structure,curated core,ai_machine_learning,computer_science
reinforcement_learning,computer_science,structure,part_of,0.96,true,structure,curated core,ai_machine_learning,computer_science
computer_vision,computer_science,structure,part_of,0.96,true,structure,curated core,ai_machine_learning,computer_science
natural_language_processing,computer_science,structure,part_of,0.96,true,structure,curated core,ai_machine_learning,computer_science
transformers,computer_science,structure,part_of,0.96,true,structure,curated core,ai_machine_learning,computer_science
graph_neural_networks,computer_science,structure,part_of,0.96,true,structure,curated core,ai_machine_learning,computer_science
quantum_computing,computer_science,structure,part_of,0.96,true,structure,curated core,quantum_technology,computer_science
molecular_biology,biology,structure,part_of,0.96,true,structure,curated core,biochemistry_molecular,organismal_biology
genetics,biology,structure,part_of,0.96,true,structure,curated core,genetics_genomics,organismal_biology
evolution,biology,structure,part_of,0.96,true,structure,curated core,evolution_ecology,organismal_biology
ecology,biology,structure,part_of,0.96,true,structure,curated core,environment_ecology,organismal_biology
immunology,biology,structure,part_of,0.96,true,structure,curated core,microbiology_virology,organismal_biology
microbiology,biology,structure,part_of,0.96,true,structure,curated core,microbiology_virology,organismal_biology
virology,biology,structure,part_of,0.96,true,structure,curated core,microbiology_virology,organismal_biology
systems_biology,biology,structure,part_of,0.96,true,structure,curated core,systems_complexity,organismal_biology
synthetic_biology,biology,structure,part_of,0.96,true,structure,curated core,systems_complexity,organismal_biology
bioinformatics,biology,structure,part_of,0.96,true,structure,curated core,systems_complexity,organismal_biology
population_genetics,biology,structure,part_of,0.96,true,structure,curated core,evolution_ecology,organismal_biology
epigenetics,biology,structure,part_of,0.96,true,structure,curated core,genetics_genomics,organismal_biology
natural_selection,biology,structure,part_of,0.96,true,structure,curated core,evolution_ecology,organismal_biology
gene_regulation,biology,structure,part_of,0.96,true,structure,curated core,genetics_genomics,organismal_biology
dna,biology,structure,part_of,0.96,true,structure,curated core,biochemistry_molecular,organismal_biology
rna,biology,structure,part_of,0.96,true,structure,curated core,biochemistry_molecular,organismal_biology
protein,biology,structure,part_of,0.96,true,structure,curated core,biochemistry_molecular,organismal_biology
gene,biology,structure,part_of,0.96,true,structure,curated core,genetics_genomics,organismal_biology
genome,biology,structure,part_of,0.96,true,structure,curated core,genetics_genomics,organismal_biology
molecular_dynamics,biochemistry,structure,part_of,0.96,true,structure,curated core,chemical_sciences,biochemistry_molecular
memory,neuroscience,structure,part_of,0.96,true,structure,curated core,cognitive_behavioral,neuroscience
attention,neuroscience,structure,part_of,0.96,true,structure,curated core,cognitive_behavioral,neuroscience
consciousness,neuroscience,structure,part_of,0.96,true,structure,curated core,cognitive_behavioral,neuroscience
vision,neuroscience,structure,part_of,0.96,true,structure,curated core,cognitive_behavioral,neuroscience
motor_control,neuroscience,structure,part_of,0.96,true,structure,curated core,cognitive_behavioral,neuroscience
brain_computer_interface,biology,structure,part_of,0.96,true,structure,curated core,neuroscience,organismal_biology
neurodegeneration,medicine,structure,part_of,0.96,true,structure,curated core,neuroscience,medical_health
climate_system,earth_science,structure,part_of,0.96,true,structure,curated core,climate_atmosphere,earth_geosciences
carbon_cycle,earth_science,structure,part_of,0.96,true,structure,curated core,climate_atmosphere,earth_geosciences
ocean_circulation,earth_science,structure,part_of,0.96,true,structure,curated core,ocean_marine,earth_geosciences
network_science,physics,structure,part_of,0.96,true,structure,curated core,systems_complexity,fundamental_physics
scientific_method,systems_science,structure,part_of,0.96,true,structure,curated core,science_studies,systems_complexity
measurement,systems_science,structure,part_of,0.96,true,structure,curated core,science_studies,systems_complexity
causal_inference,systems_science,structure,part_of,0.96,true,structure,curated core,probability_statistics,systems_complexity
genomics,medicine,structure,part_of,0.96,true,structure,curated core,genetics_genomics,medical_health
epidemiology,medicine,structure,part_of,0.96,true,structure,curated core,public_population_health,medical_health
set_theory,probability,foundation,supports,0.68,true,foundation,curated core,mathematical_sciences,probability_statistics
group_theory,symmetry_breaking,explanation,models,0.63,true,explanation,curated core,mathematical_sciences,fundamental_physics
group_theory,cryptography,foundation,supports,0.68,true,foundation,curated core,mathematical_sciences,computer_science
number_theory,cryptography,foundation,supports,0.73,true,foundation,curated core,mathematical_sciences,computer_science
real_analysis,probability,foundation,supports,0.88,true,foundation,curated core,mathematical_sciences,probability_statistics
complex_analysis,quantum_field_theory,foundation,supports,0.93,true,foundation,curated core,mathematical_sciences,fundamental_physics
functional_analysis,quantum_mechanics,foundation,supports,0.58,true,foundation,curated core,mathematical_sciences,fundamental_physics
differential_geometry,general_relativity,foundation,language_of,0.63,true,foundation,curated core,mathematical_sciences,fundamental_physics
graph_theory,network_science,foundation,supports,0.73,true,foundation,curated core,mathematical_sciences,systems_complexity
probability,statistical_mechanics,foundation,supports,0.83,true,foundation,curated core,probability_statistics,fundamental_physics
probability,machine_learning,foundation,supports,0.88,true,foundation,curated core,probability_statistics,ai_machine_learning
bayesian_inference,predictive_coding,association,informs,0.58,true,association,curated core,probability_statistics,neuroscience
information_theory,statistics,interaction,connects,0.63,true,interaction,curated core,systems_complexity,probability_statistics
information_theory,computer_science,foundation,supports,0.68,true,foundation,curated core,systems_complexity,computer_science
optimization,machine_learning,foundation,enables,0.73,true,foundation,curated core,mathematical_sciences,ai_machine_learning
numerical_analysis,computational_modeling,foundation,enables,0.78,true,foundation,curated core,mathematical_sciences,systems_complexity
dynamical_systems,nonlinear_dynamics,structure,contains,0.83,true,structure,curated core,mathematical_sciences,systems_complexity
dynamical_systems,control_theory,foundation,supports,0.88,true,foundation,curated core,mathematical_sciences,engineering_technology
game_theory,reinforcement_learning,association,informs,0.93,true,association,curated core,mathematical_sciences,ai_machine_learning
statistical_mechanics,information_theory,interaction,connects,0.73,true,interaction,curated core,fundamental_physics,systems_complexity
quantum_mechanics,quantum_chemistry,foundation,enables,0.68,true,foundation,curated core,fundamental_physics,chemical_sciences
quantum_mechanics,quantum_computing,foundation,enables,0.73,true,foundation,curated core,fundamental_physics,quantum_technology
general_relativity,black_holes,explanation,predicts,0.88,true,explanation,curated core,fundamental_physics,astronomy_cosmology
general_relativity,gravitational_waves,explanation,predicts,0.93,true,explanation,curated core,fundamental_physics,astronomy_cosmology
nuclear_physics,stellar_evolution,explanation,explains,0.63,true,explanation,curated core,fundamental_physics,astronomy_cosmology
plasma_physics,stellar_evolution,foundation,supports,0.68,true,foundation,curated core,fundamental_physics,astronomy_cosmology
optics,remote_sensing,foundation,enables,0.93,true,foundation,curated core,fundamental_physics,earth_geosciences
logic,computability,foundation,supports,0.63,true,foundation,curated core,mathematical_sciences,computer_science
machine_learning,statistics,association,uses,0.68,true,association,curated core,ai_machine_learning,probability_statistics
reinforcement_learning,robotics,application,controls,0.93,true,application,curated core,ai_machine_learning,engineering_technology
graph_theory,graph_neural_networks,association,structures,0.63,true,association,curated core,mathematical_sciences,ai_machine_learning
information_theory,deep_learning,application,analyzes,0.68,true,application,curated core,systems_complexity,ai_machine_learning
tda,machine_learning,application,augments,0.73,true,application,curated core,mathematical_sciences,ai_machine_learning
cell_biology,molecular_biology,interaction,connects,0.78,true,interaction,curated core,organismal_biology,biochemistry_molecular
molecular_biology,genetics,foundation,supports,0.83,true,foundation,curated core,biochemistry_molecular,genetics_genomics
genetics,evolution,foundation,supports,0.88,true,foundation,curated core,genetics_genomics,evolution_ecology
genetics,population_genetics,structure,contains,0.58,true,structure,curated core,genetics_genomics,evolution_ecology
ecology,evolution,interaction,interacts_with,0.63,true,interaction,curated core,environment_ecology,evolution_ecology
developmental_biology,gene_regulation,association,depends_on,0.68,true,association,curated core,organismal_biology,genetics_genomics
dna,gene,structure,contains,0.78,true,structure,curated core,biochemistry_molecular,genetics_genomics
