id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
chemistry,Chemistry,discipline,natural science,Chemistry,foundational,10,8,established,curated core,A major scientific discipline centered on chemistry.
molecular_dynamics,Molecular Dynamics,method,life science,Computational Chemistry,advanced,8,9,established,curated core,Numerical simulation of atomic motion
chemical_bonding,Chemical Bonding,theory,natural and life science,Physical Chemistry,foundational,10,7,established,curated core,Electronic interactions stabilizing atoms and molecules
reaction_kinetics,Chemical Kinetics,theory,natural and life science,Physical Chemistry,intermediate,9,8,established,curated core,Rates and mechanisms of chemical reactions
quantum_chemistry,Quantum Chemistry,field,natural and life science,Physical Chemistry,advanced,9,10,established,curated core,Quantum-mechanical description of molecular systems
organic_chemistry,Organic Chemistry,field,natural and life science,Chemistry,intermediate,9,8,established,curated core,Structure reactions and synthesis of carbon compounds
atlas_chemical_sciences_domain,Chemical Sciences,discipline,science atlas,Chemical Sciences,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_chemical_sciences_physical_chemistry,Physical chemistry,field,Chemical Sciences,Physical chemistry,intermediate,9,7,active,discipline taxonomy,A major research field within Chemical Sciences
atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics,chemical thermodynamics,topic,Chemical Sciences,Physical chemistry,advanced,8,8,active,subject taxonomy,A scientific subject studied within Physical chemistry
atlas_atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics_theoretical_foundations,chemical thermodynamics: theoretical foundations,theory,Chemical Sciences,Physical chemistry,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for chemical thermodynamics
atlas_atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics_methods_and_instruments,chemical thermodynamics: methods and instruments,method,Chemical Sciences,Physical chemistry,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for chemical thermodynamics
atlas_atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics_open_questions,chemical thermodynamics: open questions,research frontier,Chemical Sciences,Physical chemistry,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for chemical thermodynamics
atlas_atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics_applications_and_implic,chemical thermodynamics: applications and implications,application,Chemical Sciences,Physical chemistry,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for chemical thermodynamics
atlas_chemical_sciences_physical_chemistry_reaction_kinetics,reaction kinetics,topic,Chemical Sciences,Physical chemistry,advanced,8,8,active,subject taxonomy,A scientific subject studied within Physical chemistry
atlas_atlas_chemical_sciences_physical_chemistry_reaction_kinetics_theoretical_foundations,reaction kinetics: theoretical foundations,theory,Chemical Sciences,Physical chemistry,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for reaction kinetics
atlas_atlas_chemical_sciences_physical_chemistry_reaction_kinetics_methods_and_instruments,reaction kinetics: methods and instruments,method,Chemical Sciences,Physical chemistry,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for reaction kinetics
atlas_atlas_chemical_sciences_physical_chemistry_reaction_kinetics_open_questions,reaction kinetics: open questions,research frontier,Chemical Sciences,Physical chemistry,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for reaction kinetics
atlas_atlas_chemical_sciences_physical_chemistry_reaction_kinetics_applications_and_implications,reaction kinetics: applications and implications,application,Chemical Sciences,Physical chemistry,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for reaction kinetics
