id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
epidemiology,Epidemiology,field,applied science,Population Health,intermediate,9,7,established,curated core,Distribution determinants and control of health events
atlas_public_population_health_domain,Public Health and Epidemiology,discipline,science atlas,Public Health and Epidemiology,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_public_population_health_epidemiology_infectious_disease_epidemiology,infectious-disease epidemiology,topic,Public Health and Epidemiology,Epidemiology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Epidemiology
atlas_atlas_public_population_health_epidemiology_infectious_disease_epidemiology_theoretical_fo,infectious-disease epidemiology: theoretical foundations,theory,Public Health and Epidemiology,Epidemiology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for infectious-disease epidemiology
atlas_atlas_public_population_health_epidemiology_infectious_disease_epidemiology_methods_and_in,infectious-disease epidemiology: methods and instruments,method,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for infectious-disease epidemiology
atlas_atlas_public_population_health_epidemiology_infectious_disease_epidemiology_open_questions,infectious-disease epidemiology: open questions,research frontier,Public Health and Epidemiology,Epidemiology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for infectious-disease epidemiology
atlas_atlas_public_population_health_epidemiology_infectious_disease_epidemiology_applications_a,infectious-disease epidemiology: applications and implications,application,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for infectious-disease epidemiology
atlas_public_population_health_epidemiology_chronic_disease_epidemiology,chronic-disease epidemiology,topic,Public Health and Epidemiology,Epidemiology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Epidemiology
atlas_atlas_public_population_health_epidemiology_chronic_disease_epidemiology_theoretical_found,chronic-disease epidemiology: theoretical foundations,theory,Public Health and Epidemiology,Epidemiology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for chronic-disease epidemiology
atlas_atlas_public_population_health_epidemiology_chronic_disease_epidemiology_methods_and_instr,chronic-disease epidemiology: methods and instruments,method,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for chronic-disease epidemiology
atlas_atlas_public_population_health_epidemiology_chronic_disease_epidemiology_open_questions,chronic-disease epidemiology: open questions,research frontier,Public Health and Epidemiology,Epidemiology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for chronic-disease epidemiology
atlas_atlas_public_population_health_epidemiology_chronic_disease_epidemiology_applications_and_,chronic-disease epidemiology: applications and implications,application,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for chronic-disease epidemiology
atlas_public_population_health_epidemiology_molecular_epidemiology,molecular epidemiology,topic,Public Health and Epidemiology,Epidemiology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Epidemiology
atlas_atlas_public_population_health_epidemiology_molecular_epidemiology_theoretical_foundations,molecular epidemiology: theoretical foundations,theory,Public Health and Epidemiology,Epidemiology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for molecular epidemiology
atlas_atlas_public_population_health_epidemiology_molecular_epidemiology_methods_and_instruments,molecular epidemiology: methods and instruments,method,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for molecular epidemiology
atlas_atlas_public_population_health_epidemiology_molecular_epidemiology_open_questions,molecular epidemiology: open questions,research frontier,Public Health and Epidemiology,Epidemiology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for molecular epidemiology
atlas_atlas_public_population_health_epidemiology_molecular_epidemiology_applications_and_implic,molecular epidemiology: applications and implications,application,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for molecular epidemiology
atlas_public_population_health_epidemiology_causal_epidemiology,causal epidemiology,topic,Public Health and Epidemiology,Epidemiology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Epidemiology
atlas_atlas_public_population_health_epidemiology_causal_epidemiology_theoretical_foundations,causal epidemiology: theoretical foundations,theory,Public Health and Epidemiology,Epidemiology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for causal epidemiology
atlas_atlas_public_population_health_epidemiology_causal_epidemiology_methods_and_instruments,causal epidemiology: methods and instruments,method,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for causal epidemiology
atlas_atlas_public_population_health_epidemiology_causal_epidemiology_open_questions,causal epidemiology: open questions,research frontier,Public Health and Epidemiology,Epidemiology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for causal epidemiology
atlas_atlas_public_population_health_epidemiology_causal_epidemiology_applications_and_implicati,causal epidemiology: applications and implications,application,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for causal epidemiology
atlas_public_population_health_epidemiology_surveillance,surveillance,topic,Public Health and Epidemiology,Epidemiology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Epidemiology
atlas_atlas_public_population_health_epidemiology_surveillance_theoretical_foundations,surveillance: theoretical foundations,theory,Public Health and Epidemiology,Epidemiology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for surveillance
atlas_atlas_public_population_health_epidemiology_surveillance_methods_and_instruments,surveillance: methods and instruments,method,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for surveillance
atlas_atlas_public_population_health_epidemiology_surveillance_open_questions,surveillance: open questions,research frontier,Public Health and Epidemiology,Epidemiology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for surveillance
atlas_atlas_public_population_health_epidemiology_surveillance_applications_and_implications,surveillance: applications and implications,application,Public Health and Epidemiology,Epidemiology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for surveillance
atlas_public_population_health_global_health,Global health,field,Public Health and Epidemiology,Global health,intermediate,9,7,active,discipline taxonomy,A major research field within Public Health and Epidemiology
atlas_public_population_health_global_health_health_systems,health systems,topic,Public Health and Epidemiology,Global health,advanced,8,8,active,subject taxonomy,A scientific subject studied within Global health
atlas_atlas_public_population_health_global_health_health_systems_theoretical_foundations,health systems: theoretical foundations,theory,Public Health and Epidemiology,Global health,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for health systems
atlas_atlas_public_population_health_global_health_health_systems_methods_and_instruments,health systems: methods and instruments,method,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for health systems
atlas_atlas_public_population_health_global_health_health_systems_open_questions,health systems: open questions,research frontier,Public Health and Epidemiology,Global health,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for health systems
atlas_atlas_public_population_health_global_health_health_systems_applications_and_implications,health systems: applications and implications,application,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for health systems
atlas_public_population_health_global_health_maternal_and_child_health,maternal and child health,topic,Public Health and Epidemiology,Global health,advanced,8,8,active,subject taxonomy,A scientific subject studied within Global health
atlas_atlas_public_population_health_global_health_maternal_and_child_health_theoretical_foundat,maternal and child health: theoretical foundations,theory,Public Health and Epidemiology,Global health,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for maternal and child health
atlas_atlas_public_population_health_global_health_maternal_and_child_health_methods_and_instrum,maternal and child health: methods and instruments,method,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for maternal and child health
atlas_atlas_public_population_health_global_health_maternal_and_child_health_open_questions,maternal and child health: open questions,research frontier,Public Health and Epidemiology,Global health,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for maternal and child health
atlas_atlas_public_population_health_global_health_maternal_and_child_health_applications_and_im,maternal and child health: applications and implications,application,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for maternal and child health
atlas_public_population_health_global_health_neglected_diseases,neglected diseases,topic,Public Health and Epidemiology,Global health,advanced,8,8,active,subject taxonomy,A scientific subject studied within Global health
atlas_atlas_public_population_health_global_health_neglected_diseases_theoretical_foundations,neglected diseases: theoretical foundations,theory,Public Health and Epidemiology,Global health,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for neglected diseases
atlas_atlas_public_population_health_global_health_neglected_diseases_methods_and_instruments,neglected diseases: methods and instruments,method,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for neglected diseases
atlas_atlas_public_population_health_global_health_neglected_diseases_open_questions,neglected diseases: open questions,research frontier,Public Health and Epidemiology,Global health,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for neglected diseases
atlas_atlas_public_population_health_global_health_neglected_diseases_applications_and_implicati,neglected diseases: applications and implications,application,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for neglected diseases
atlas_public_population_health_global_health_health_equity,health equity,topic,Public Health and Epidemiology,Global health,advanced,8,8,active,subject taxonomy,A scientific subject studied within Global health
atlas_atlas_public_population_health_global_health_health_equity_theoretical_foundations,health equity: theoretical foundations,theory,Public Health and Epidemiology,Global health,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for health equity
atlas_atlas_public_population_health_global_health_health_equity_methods_and_instruments,health equity: methods and instruments,method,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for health equity
atlas_atlas_public_population_health_global_health_health_equity_open_questions,health equity: open questions,research frontier,Public Health and Epidemiology,Global health,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for health equity
atlas_atlas_public_population_health_global_health_health_equity_applications_and_implications,health equity: applications and implications,application,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for health equity
atlas_public_population_health_global_health_pandemic_preparedness,pandemic preparedness,topic,Public Health and Epidemiology,Global health,advanced,8,8,active,subject taxonomy,A scientific subject studied within Global health
atlas_atlas_public_population_health_global_health_pandemic_preparedness_theoretical_foundations,pandemic preparedness: theoretical foundations,theory,Public Health and Epidemiology,Global health,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for pandemic preparedness
atlas_atlas_public_population_health_global_health_pandemic_preparedness_methods_and_instruments,pandemic preparedness: methods and instruments,method,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for pandemic preparedness
atlas_atlas_public_population_health_global_health_pandemic_preparedness_open_questions,pandemic preparedness: open questions,research frontier,Public Health and Epidemiology,Global health,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for pandemic preparedness
atlas_atlas_public_population_health_global_health_pandemic_preparedness_applications_and_implic,pandemic preparedness: applications and implications,application,Public Health and Epidemiology,Global health,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for pandemic preparedness
atlas_public_population_health_environmental_health,Environmental health,field,Public Health and Epidemiology,Environmental health,intermediate,9,7,active,discipline taxonomy,A major research field within Public Health and Epidemiology
atlas_public_population_health_environmental_health_occupational_health,occupational health,topic,Public Health and Epidemiology,Environmental health,advanced,8,8,active,subject taxonomy,A scientific subject studied within Environmental health
atlas_atlas_public_population_health_environmental_health_occupational_health_theoretical_founda,occupational health: theoretical foundations,theory,Public Health and Epidemiology,Environmental health,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for occupational health
atlas_atlas_public_population_health_environmental_health_occupational_health_methods_and_instru,occupational health: methods and instruments,method,Public Health and Epidemiology,Environmental health,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for occupational health
