source,target,relation,relation_detail,weight,directed,relation_family,provenance
algorithms,computer_science,structure,part_of,0.96,true,structure,curated core
data_structures,computer_science,structure,part_of,0.96,true,structure,curated core
computability,computer_science,structure,part_of,0.96,true,structure,curated core
complexity_theory,computer_science,structure,part_of,0.96,true,structure,curated core
programming_languages,computer_science,structure,part_of,0.96,true,structure,curated core
operating_systems,computer_science,structure,part_of,0.96,true,structure,curated core
distributed_systems,computer_science,structure,part_of,0.96,true,structure,curated core
databases,computer_science,structure,part_of,0.96,true,structure,curated core
cryptography,computer_science,structure,part_of,0.96,true,structure,curated core
computer_networks,computer_science,structure,part_of,0.96,true,structure,curated core
algorithms,data_structures,association,uses,0.58,true,association,curated core
computability,complexity_theory,foundation,precedes,0.68,true,foundation,curated core
programming_languages,algorithms,association,expresses,0.73,true,association,curated core
operating_systems,distributed_systems,foundation,supports,0.78,true,foundation,curated core
computer_networks,distributed_systems,foundation,supports,0.83,true,foundation,curated core
databases,distributed_systems,explanation,implemented_as,0.88,true,explanation,curated core
cryptography,computer_networks,application,secures,0.93,true,application,curated core
atlas_computer_science_theory_of_computation,computer_science,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_computer_science_theory_of_computation_automata_and_languages,atlas_computer_science_theory_of_computation,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_computer_science_theory_of_computation_automata_and_languages_theoretical_foundation,atlas_computer_science_theory_of_computation_automata_and_languages,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_computer_science_theory_of_computation_automata_and_languages_methods_and_instrument,atlas_computer_science_theory_of_computation_automata_and_languages,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_computer_science_theory_of_computation_automata_and_languages_open_questions,atlas_computer_science_theory_of_computation_automata_and_languages,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_computer_science_theory_of_computation_automata_and_languages_applications_and_impli,atlas_computer_science_theory_of_computation_automata_and_languages,application,application_of,0.82,true,application,atlas taxonomy
atlas_computer_science_theory_of_computation_computability,atlas_computer_science_theory_of_computation,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_computer_science_theory_of_computation_computability_theoretical_foundations,atlas_computer_science_theory_of_computation_computability,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_computer_science_theory_of_computation_computability_methods_and_instruments,atlas_computer_science_theory_of_computation_computability,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_computer_science_theory_of_computation_computability_open_questions,atlas_computer_science_theory_of_computation_computability,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_computer_science_theory_of_computation_computability_applications_and_implications,atlas_computer_science_theory_of_computation_computability,application,application_of,0.82,true,application,atlas taxonomy
atlas_computer_science_theory_of_computation_complexity_classes,atlas_computer_science_theory_of_computation,structure,part_of,0.94,true,structure,atlas taxonomy
