id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
physics,Physics,discipline,natural science,Physics,foundational,10,8,established,curated core,A major scientific discipline centered on physics.
classical_mechanics,Classical Mechanics,theory,natural science,Mechanics,foundational,10,7,established,curated core,Motion forces energy and momentum
thermodynamics,Thermodynamics,theory,natural science,Thermal Physics,intermediate,10,8,established,curated core,Heat work temperature entropy and equilibrium
statistical_mechanics,Statistical Mechanics,theory,natural science,Thermal Physics,advanced,10,9,established,curated core,Macroscopic behavior derived from microscopic ensembles
electromagnetism,Electromagnetism,theory,natural science,Field Theory,intermediate,10,8,established,curated core,Electric magnetic fields charges and radiation
optics,Optics,field,natural science,Electromagnetism,intermediate,8,7,established,curated core,Propagation and interaction of light
special_relativity,Special Relativity,theory,natural science,Relativity,advanced,10,8,established,curated core,Spacetime invariance at constant relative velocity
general_relativity,General Relativity,theory,natural science,Relativity,advanced,10,10,established,curated core,Gravitation as curved spacetime
quantum_mechanics,Quantum Mechanics,theory,natural science,Quantum Physics,advanced,10,10,established,curated core,States observables amplitudes and quantum measurement
quantum_field_theory,Quantum Field Theory,theory,natural science,Quantum Physics,research,10,10,established,curated core,Quantum fields particles and interactions
standard_model,Standard Model,theory,natural science,Particle Physics,research,10,10,established,curated core,Quantum theory of known elementary particles and forces
particle_physics,Particle Physics,field,natural science,High Energy Physics,advanced,9,9,established,curated core,Fundamental particles and interactions
nuclear_physics,Nuclear Physics,field,natural science,Nuclear Science,advanced,8,9,established,curated core,Atomic nuclei radioactivity and nuclear reactions
fluid_dynamics,Fluid Dynamics,field,natural science,Continuum Mechanics,advanced,9,8,established,curated core,Flow of liquids gases and plasmas
plasma_physics,Plasma Physics,field,natural science,Matter Physics,advanced,8,9,established,curated core,Ionized matter and collective electromagnetic behavior
wave_particle_duality,Wave-Particle Duality,principle,natural science,Quantum Physics,advanced,9,8,established,curated core,Quantum entities display wave-like and particle-like behavior
symmetry_breaking,Symmetry Breaking,process,natural science,Field Theory,research,9,9,established,curated core,A system state has less symmetry than its governing laws
atlas_fundamental_physics_domain,Fundamental Physics,discipline,science atlas,Fundamental Physics,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
