id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
mathematics,Mathematics,discipline,formal science,Mathematics,foundational,10,8,established,curated core,A major scientific discipline centered on mathematics.
physics,Physics,discipline,natural science,Physics,foundational,10,8,established,curated core,A major scientific discipline centered on physics.
computer_science,Computer Science,discipline,formal science,Computer Science,foundational,10,8,established,curated core,A major scientific discipline centered on computer science.
biology,Biology,discipline,life science,Biology,foundational,10,8,established,curated core,A major scientific discipline centered on biology.
chemistry,Chemistry,discipline,natural science,Chemistry,foundational,10,8,established,curated core,A major scientific discipline centered on chemistry.
biochemistry,Biochemistry,discipline,life science,Biochemistry,foundational,10,8,established,curated core,A major scientific discipline centered on biochemistry.
neuroscience,Neuroscience,discipline,life science,Neuroscience,foundational,10,8,established,curated core,A major scientific discipline centered on neuroscience.
earth_science,Earth Science,discipline,natural science,Earth Science,foundational,10,8,established,curated core,A major scientific discipline centered on earth science.
systems_science,Systems Science,discipline,interdisciplinary science,Systems Science,foundational,10,8,established,curated core,A major scientific discipline centered on systems science.
medicine,Medicine,discipline,applied science,Medicine,foundational,10,8,established,curated core,A major scientific discipline centered on medicine.
engineering,Engineering,discipline,applied science,Engineering,foundational,10,8,established,curated core,A major scientific discipline centered on engineering.
logic,Mathematical Logic,field,formal science,Logic,foundational,9,7,established,curated core,Formal reasoning proof and mathematical truth
set_theory,Set Theory,theory,formal science,Foundations,foundational,9,7,established,curated core,Sets relations functions cardinality and foundations
group_theory,Group Theory,theory,formal science,Algebra,intermediate,9,8,established,curated core,Algebraic study of symmetry
number_theory,Number Theory,field,formal science,Number Theory,intermediate,8,8,established,curated core,Arithmetic properties of integers and related structures
real_analysis,Real Analysis,field,formal science,Analysis,intermediate,9,8,established,curated core,Rigorous study of limits continuity measure and integration
complex_analysis,Complex Analysis,field,formal science,Analysis,advanced,8,8,established,curated core,Analysis of complex-valued functions
functional_analysis,Functional Analysis,field,formal science,Analysis,advanced,9,10,established,curated core,Infinite-dimensional vector spaces and operators
differential_equations,Differential Equations,field,formal science,Analysis,intermediate,10,8,established,curated core,Equations relating functions to their derivatives
dynamical_systems,Dynamical Systems,theory,formal science,Applied Mathematics,advanced,9,9,established,curated core,Evolution stability attractors and chaos
probability,Probability Theory,theory,formal science,Probability,intermediate,10,8,established,curated core,Mathematics of uncertainty and random phenomena
statistics,Statistics,field,formal science,Statistics,intermediate,10,7,established,curated core,Inference estimation testing and data modeling
bayesian_inference,Bayesian Inference,method,formal science,Statistics,advanced,9,8,established,curated core,Updating probability distributions using evidence
information_theory,Information Theory,theory,formal science,Applied Mathematics,advanced,10,9,established,curated core,Entropy coding information and communication limits
graph_theory,Graph Theory,theory,formal science,Discrete Mathematics,intermediate,9,7,established,curated core,Vertices edges networks paths and connectivity
differential_geometry,Differential Geometry,field,formal science,Geometry and Topology,advanced,9,10,established,curated core,Smooth manifolds curvature and geometric structure
tda,Topological Data Analysis,method,formal science,Applied Mathematics,research,8,10,established,curated core,Shape analysis using persistent topological features
optimization,Optimization,field,formal science,Applied Mathematics,intermediate,10,8,established,curated core,Selecting extrema subject to constraints
game_theory,Game Theory,theory,formal science,Applied Mathematics,advanced,7,8,established,curated core,Strategic interaction among decision makers
numerical_analysis,Numerical Analysis,field,formal science,Applied Mathematics,advanced,9,8,established,curated core,Approximation algorithms and computational error
thermodynamics,Thermodynamics,theory,natural science,Thermal Physics,intermediate,10,8,established,curated core,Heat work temperature entropy and equilibrium
statistical_mechanics,Statistical Mechanics,theory,natural science,Thermal Physics,advanced,10,9,established,curated core,Macroscopic behavior derived from microscopic ensembles
optics,Optics,field,natural science,Electromagnetism,intermediate,8,7,established,curated core,Propagation and interaction of light
general_relativity,General Relativity,theory,natural science,Relativity,advanced,10,10,established,curated core,Gravitation as curved spacetime
quantum_mechanics,Quantum Mechanics,theory,natural science,Quantum Physics,advanced,10,10,established,curated core,States observables amplitudes and quantum measurement
quantum_field_theory,Quantum Field Theory,theory,natural science,Quantum Physics,research,10,10,established,curated core,Quantum fields particles and interactions
nuclear_physics,Nuclear Physics,field,natural science,Nuclear Science,advanced,8,9,established,curated core,Atomic nuclei radioactivity and nuclear reactions
condensed_matter,Condensed Matter Physics,field,natural science,Matter Physics,advanced,9,9,established,curated core,Collective properties of solids and liquids
fluid_dynamics,Fluid Dynamics,field,natural science,Continuum Mechanics,advanced,9,8,established,curated core,Flow of liquids gases and plasmas
plasma_physics,Plasma Physics,field,natural science,Matter Physics,advanced,8,9,established,curated core,Ionized matter and collective electromagnetic behavior
nonlinear_dynamics,Nonlinear Dynamics and Chaos,theory,natural science,Complex Systems,advanced,9,9,established,curated core,Nonlinear evolution sensitivity and strange attractors
symmetry_breaking,Symmetry Breaking,process,natural science,Field Theory,research,9,9,established,curated core,A system state has less symmetry than its governing laws
black_holes,Black Holes,object,natural science,Astrophysics,advanced,10,9,established,curated core,Compact regions bounded by event horizons
gravitational_waves,Gravitational Waves,phenomenon,natural science,Astrophysics,advanced,9,9,established,curated core,Propagating perturbations of spacetime curvature
stellar_evolution,Stellar Evolution,process,natural science,Astrophysics,advanced,8,8,established,curated core,Birth life and death of stars
computability,Computability Theory,theory,formal and applied science,Theoretical Computer Science,advanced,9,9,established,curated core,Formal limits of algorithmic computation
cryptography,Cryptography,field,formal and applied science,Security,advanced,9,9,established,curated core,Secure communication using mathematical constructions
artificial_intelligence,Artificial Intelligence,field,formal and applied science,Artificial Intelligence,intermediate,10,8,established,curated core,Computational systems performing intelligent tasks
machine_learning,Machine Learning,field,formal and applied science,Artificial Intelligence,advanced,10,8,established,curated core,Learning predictive or decision rules from data
deep_learning,Deep Learning,field,formal and applied science,Artificial Intelligence,advanced,10,9,established,curated core,Representation learning with multilayer neural networks
reinforcement_learning,Reinforcement Learning,method,formal and applied science,Artificial Intelligence,advanced,9,9,established,curated core,Learning behavior from rewards and interaction
computer_vision,Computer Vision,field,formal and applied science,Artificial Intelligence,advanced,9,8,established,curated core,Computational interpretation of visual information
natural_language_processing,Natural Language Processing,field,formal and applied science,Artificial Intelligence,advanced,9,8,established,curated core,Computational modeling and processing of language
transformers,Transformer Architecture,technology,formal and applied science,Artificial Intelligence,research,10,9,established,curated core,Attention-based neural network architecture
graph_neural_networks,Graph Neural Networks,technology,formal and applied science,Artificial Intelligence,research,9,9,established,curated core,Neural computation on graph-structured data
quantum_computing,Quantum Computing,field,formal and applied science,Computing Paradigms,research,9,10,established,curated core,Computation using controllable quantum systems
robotics,Robotics,field,formal and applied science,Autonomous Systems,advanced,9,8,established,curated core,Sensing planning control and embodied machines
control_theory,Control Theory,theory,formal and applied science,Systems Engineering,advanced,9,9,established,curated core,Feedback stability observability and control of dynamical systems
cell_biology,Cell Biology,field,natural and life science,Cellular Biology,foundational,10,7,established,curated core,Structure function and behavior of cells
molecular_biology,Molecular Biology,field,natural and life science,Molecular Biology,intermediate,10,8,established,curated core,Molecular mechanisms of biological information and function
genetics,Genetics,field,natural and life science,Genetics,intermediate,10,8,established,curated core,Inheritance variation and genome function
evolution,Evolutionary Biology,theory,natural and life science,Evolution,intermediate,10,8,established,curated core,Change in heritable populations across generations
ecology,Ecology,field,natural and life science,Ecology,intermediate,9,7,established,curated core,Interactions among organisms and environments
developmental_biology,Developmental Biology,field,natural and life science,Development,advanced,8,8,established,curated core,Growth differentiation and organismal development
immunology,Immunology,field,natural and life science,Immunology,advanced,9,9,established,curated core,Biological defense recognition and immune regulation
microbiology,Microbiology,field,natural and life science,Microbiology,intermediate,9,7,established,curated core,Microorganisms and their biological activities
virology,Virology,field,natural and life science,Microbiology,advanced,8,8,established,curated core,Viruses their replication and host interactions
systems_biology,Systems Biology,field,natural and life science,Systems Biology,research,9,9,established,curated core,Integrated modeling of interacting biological components
synthetic_biology,Synthetic Biology,technology,natural and life science,Bioengineering,research,8,9,established,curated core,Design and construction of biological systems
bioinformatics,Bioinformatics,field,natural and life science,Computational Biology,advanced,9,8,established,curated core,Computational analysis of biological data
population_genetics,Population Genetics,theory,natural and life science,Evolution,advanced,8,9,established,curated core,Allele-frequency dynamics in populations
epigenetics,Epigenetics,field,natural and life science,Genetics,advanced,9,8,established,curated core,Heritable regulation beyond DNA sequence changes
homeostasis,Homeostasis,process,natural and life science,Physiology,foundational,9,6,established,curated core,Regulation maintaining viable internal conditions
natural_selection,Natural Selection,process,natural and life science,Evolution,intermediate,10,7,established,curated core,Differential reproductive success from heritable variation
gene_regulation,Gene Regulation,process,natural and life science,Molecular Biology,advanced,10,8,established,curated core,Control of gene expression across contexts
dna,DNA,molecule,life science,Molecular Biology,foundational,10,5,established,curated core,Polymer encoding hereditary information
rna,RNA,molecule,life science,Molecular Biology,foundational,9,5,established,curated core,Polymer supporting information transfer regulation and catalysis
protein,Proteins,molecule,life science,Molecular Biology,foundational,10,6,established,curated core,Functional polymers of amino acids
gene,Gene,information structure,natural and life science,Genetics,foundational,10,5,established,curated core,Heritable genomic unit contributing to function
genome,Genome,information structure,natural and life science,Genetics,intermediate,9,6,established,curated core,Complete genetic material of an organism
metabolism,Metabolism,process,life science,Biochemistry,intermediate,10,8,established,curated core,Chemical reaction networks sustaining life
enzyme,Enzymes,molecule,life science,Biochemistry,intermediate,10,7,established,curated core,Biological catalysts controlling reaction rates
photosynthesis,Photosynthesis,process,life science,Biochemistry,intermediate,9,8,established,curated core,Conversion of light energy into chemical energy
protein_folding,Protein Folding,process,life science,Structural Biology,advanced,9,9,established,curated core,Formation of functional protein conformations
molecular_dynamics,Molecular Dynamics,method,life science,Computational Chemistry,advanced,8,9,established,curated core,Numerical simulation of atomic motion
reaction_kinetics,Chemical Kinetics,theory,natural and life science,Physical Chemistry,intermediate,9,8,established,curated core,Rates and mechanisms of chemical reactions
quantum_chemistry,Quantum Chemistry,field,natural and life science,Physical Chemistry,advanced,9,10,established,curated core,Quantum-mechanical description of molecular systems
organic_chemistry,Organic Chemistry,field,natural and life science,Chemistry,intermediate,9,8,established,curated core,Structure reactions and synthesis of carbon compounds
neural_plasticity,Neural Plasticity,process,life science,Systems Neuroscience,advanced,10,9,established,curated core,Experience-dependent change in neural structure or function
predictive_coding,Predictive Coding,theory,interdisciplinary science,Computational Neuroscience,research,8,9,established,curated core,Hierarchical inference minimizing prediction error
neural_coding,Neural Coding,field,interdisciplinary science,Computational Neuroscience,advanced,9,9,established,curated core,Representation and transformation of information by neural activity
brain_networks,Brain Networks,field,interdisciplinary science,Network Neuroscience,research,9,9,established,curated core,Graph-structured organization of interacting brain regions
memory,Memory,process,interdisciplinary science,Cognitive Neuroscience,advanced,10,9,established,curated core,Encoding consolidation storage and retrieval of information
attention,Attention,process,interdisciplinary science,Cognitive Neuroscience,advanced,9,8,established,curated core,Selective prioritization of information processing
consciousness,Consciousness,phenomenon,interdisciplinary science,Cognitive Neuroscience,research,10,10,established,curated core,Subjective awareness and integrated experience
vision,Visual Perception,process,interdisciplinary science,Sensory Neuroscience,advanced,9,8,established,curated core,Neural interpretation of visual signals
