id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
mathematics,Mathematics,discipline,formal science,Mathematics,foundational,10,8,established,curated core,A major scientific discipline centered on mathematics.
physics,Physics,discipline,natural science,Physics,foundational,10,8,established,curated core,A major scientific discipline centered on physics.
computer_science,Computer Science,discipline,formal science,Computer Science,foundational,10,8,established,curated core,A major scientific discipline centered on computer science.
biology,Biology,discipline,life science,Biology,foundational,10,8,established,curated core,A major scientific discipline centered on biology.
chemistry,Chemistry,discipline,natural science,Chemistry,foundational,10,8,established,curated core,A major scientific discipline centered on chemistry.
biochemistry,Biochemistry,discipline,life science,Biochemistry,foundational,10,8,established,curated core,A major scientific discipline centered on biochemistry.
neurobiology,Neurobiology,discipline,life science,Neurobiology,foundational,10,8,established,curated core,A major scientific discipline centered on neurobiology.
neuroscience,Neuroscience,discipline,life science,Neuroscience,foundational,10,8,established,curated core,A major scientific discipline centered on neuroscience.
earth_science,Earth Science,discipline,natural science,Earth Science,foundational,10,8,established,curated core,A major scientific discipline centered on earth science.
astronomy,Astronomy and Cosmology,discipline,natural science,Astronomy and Cosmology,foundational,10,8,established,curated core,A major scientific discipline centered on astronomy and cosmology.
systems_science,Systems Science,discipline,interdisciplinary science,Systems Science,foundational,10,8,established,curated core,A major scientific discipline centered on systems science.
medicine,Medicine,discipline,applied science,Medicine,foundational,10,8,established,curated core,A major scientific discipline centered on medicine.
engineering,Engineering,discipline,applied science,Engineering,foundational,10,8,established,curated core,A major scientific discipline centered on engineering.
logic,Mathematical Logic,field,formal science,Logic,foundational,9,7,established,curated core,Formal reasoning proof and mathematical truth
set_theory,Set Theory,theory,formal science,Foundations,foundational,9,7,established,curated core,Sets relations functions cardinality and foundations
category_theory,Category Theory,theory,formal science,Foundations,advanced,8,10,established,curated core,Objects morphisms functors and natural transformations
linear_algebra,Linear Algebra,field,formal science,Algebra,foundational,10,6,established,curated core,Vector spaces linear maps eigenvalues and tensors
abstract_algebra,Abstract Algebra,field,formal science,Algebra,intermediate,9,8,established,curated core,Groups rings fields modules and symmetries
group_theory,Group Theory,theory,formal science,Algebra,intermediate,9,8,established,curated core,Algebraic study of symmetry
ring_theory,Ring Theory,theory,formal science,Algebra,advanced,7,9,established,curated core,Algebraic systems with addition and multiplication
number_theory,Number Theory,field,formal science,Number Theory,intermediate,8,8,established,curated core,Arithmetic properties of integers and related structures
calculus,Calculus,field,formal science,Analysis,foundational,10,6,established,curated core,Change accumulation derivatives and integrals
real_analysis,Real Analysis,field,formal science,Analysis,intermediate,9,8,established,curated core,Rigorous study of limits continuity measure and integration
complex_analysis,Complex Analysis,field,formal science,Analysis,advanced,8,8,established,curated core,Analysis of complex-valued functions
functional_analysis,Functional Analysis,field,formal science,Analysis,advanced,9,10,established,curated core,Infinite-dimensional vector spaces and operators
differential_equations,Differential Equations,field,formal science,Analysis,intermediate,10,8,established,curated core,Equations relating functions to their derivatives
dynamical_systems,Dynamical Systems,theory,formal science,Applied Mathematics,advanced,9,9,established,curated core,Evolution stability attractors and chaos
probability,Probability Theory,theory,formal science,Probability,intermediate,10,8,established,curated core,Mathematics of uncertainty and random phenomena
statistics,Statistics,field,formal science,Statistics,intermediate,10,7,established,curated core,Inference estimation testing and data modeling
bayesian_inference,Bayesian Inference,method,formal science,Statistics,advanced,9,8,established,curated core,Updating probability distributions using evidence
information_theory,Information Theory,theory,formal science,Applied Mathematics,advanced,10,9,established,curated core,Entropy coding information and communication limits
graph_theory,Graph Theory,theory,formal science,Discrete Mathematics,intermediate,9,7,established,curated core,Vertices edges networks paths and connectivity
topology,Topology,field,formal science,Geometry and Topology,advanced,8,9,established,curated core,Properties invariant under continuous deformation
differential_geometry,Differential Geometry,field,formal science,Geometry and Topology,advanced,9,10,established,curated core,Smooth manifolds curvature and geometric structure
tda,Topological Data Analysis,method,formal science,Applied Mathematics,research,8,10,established,curated core,Shape analysis using persistent topological features
optimization,Optimization,field,formal science,Applied Mathematics,intermediate,10,8,established,curated core,Selecting extrema subject to constraints
game_theory,Game Theory,theory,formal science,Applied Mathematics,advanced,7,8,established,curated core,Strategic interaction among decision makers
numerical_analysis,Numerical Analysis,field,formal science,Applied Mathematics,advanced,9,8,established,curated core,Approximation algorithms and computational error
classical_mechanics,Classical Mechanics,theory,natural science,Mechanics,foundational,10,7,established,curated core,Motion forces energy and momentum
thermodynamics,Thermodynamics,theory,natural science,Thermal Physics,intermediate,10,8,established,curated core,Heat work temperature entropy and equilibrium
statistical_mechanics,Statistical Mechanics,theory,natural science,Thermal Physics,advanced,10,9,established,curated core,Macroscopic behavior derived from microscopic ensembles
electromagnetism,Electromagnetism,theory,natural science,Field Theory,intermediate,10,8,established,curated core,Electric magnetic fields charges and radiation
optics,Optics,field,natural science,Electromagnetism,intermediate,8,7,established,curated core,Propagation and interaction of light
special_relativity,Special Relativity,theory,natural science,Relativity,advanced,10,8,established,curated core,Spacetime invariance at constant relative velocity
general_relativity,General Relativity,theory,natural science,Relativity,advanced,10,10,established,curated core,Gravitation as curved spacetime
quantum_mechanics,Quantum Mechanics,theory,natural science,Quantum Physics,advanced,10,10,established,curated core,States observables amplitudes and quantum measurement
quantum_field_theory,Quantum Field Theory,theory,natural science,Quantum Physics,research,10,10,established,curated core,Quantum fields particles and interactions
standard_model,Standard Model,theory,natural science,Particle Physics,research,10,10,established,curated core,Quantum theory of known elementary particles and forces
particle_physics,Particle Physics,field,natural science,High Energy Physics,advanced,9,9,established,curated core,Fundamental particles and interactions
nuclear_physics,Nuclear Physics,field,natural science,Nuclear Science,advanced,8,9,established,curated core,Atomic nuclei radioactivity and nuclear reactions
condensed_matter,Condensed Matter Physics,field,natural science,Matter Physics,advanced,9,9,established,curated core,Collective properties of solids and liquids
fluid_dynamics,Fluid Dynamics,field,natural science,Continuum Mechanics,advanced,9,8,established,curated core,Flow of liquids gases and plasmas
plasma_physics,Plasma Physics,field,natural science,Matter Physics,advanced,8,9,established,curated core,Ionized matter and collective electromagnetic behavior
nonlinear_dynamics,Nonlinear Dynamics and Chaos,theory,natural science,Complex Systems,advanced,9,9,established,curated core,Nonlinear evolution sensitivity and strange attractors
wave_particle_duality,Wave-Particle Duality,principle,natural science,Quantum Physics,advanced,9,8,established,curated core,Quantum entities display wave-like and particle-like behavior
symmetry_breaking,Symmetry Breaking,process,natural science,Field Theory,research,9,9,established,curated core,A system state has less symmetry than its governing laws
black_holes,Black Holes,object,natural science,Astrophysics,advanced,10,9,established,curated core,Compact regions bounded by event horizons
gravitational_waves,Gravitational Waves,phenomenon,natural science,Astrophysics,advanced,9,9,established,curated core,Propagating perturbations of spacetime curvature
stellar_evolution,Stellar Evolution,process,natural science,Astrophysics,advanced,8,8,established,curated core,Birth life and death of stars
cosmology,Physical Cosmology,field,natural science,Cosmology,advanced,10,10,established,curated core,Origin structure evolution and fate of the universe
big_bang,Big Bang Model,theory,natural science,Cosmology,advanced,9,9,established,curated core,Hot dense early-universe cosmological model
dark_matter,Dark Matter,hypothesis,natural science,Cosmology,research,9,9,established,curated core,Nonluminous matter inferred from gravitational effects
dark_energy,Dark Energy,hypothesis,natural science,Cosmology,research,9,10,established,curated core,Component associated with accelerated cosmic expansion
galaxy_dynamics,Galaxy Dynamics,field,natural science,Astrophysics,advanced,8,9,established,curated core,Motion and mass distribution within gravitationally bound galaxies
exoplanets,Exoplanets,object,natural science,Planetary Science,intermediate,7,6,established,curated core,Planets orbiting stars beyond the Solar System
algorithms,Algorithms,field,formal and applied science,Theoretical Computer Science,foundational,10,7,established,curated core,Finite procedures for computation and problem solving
data_structures,Data Structures,technology,formal and applied science,Computer Systems,foundational,9,6,established,curated core,Representations organizing data for computation
computability,Computability Theory,theory,formal and applied science,Theoretical Computer Science,advanced,9,9,established,curated core,Formal limits of algorithmic computation
complexity_theory,Computational Complexity,theory,formal and applied science,Theoretical Computer Science,advanced,9,9,established,curated core,Resources required to solve computational problems
programming_languages,Programming Languages,field,formal and applied science,Software Systems,intermediate,8,7,established,curated core,Syntax semantics type systems and program execution
operating_systems,Operating Systems,technology,formal and applied science,Computer Systems,intermediate,8,8,established,curated core,Resource management and abstraction for computers
distributed_systems,Distributed Systems,field,formal and applied science,Computer Systems,advanced,9,9,established,curated core,Computation coordinated across networked machines
databases,Database Systems,field,formal and applied science,Information Systems,intermediate,9,7,established,curated core,Persistent structured data storage and querying
cryptography,Cryptography,field,formal and applied science,Security,advanced,9,9,established,curated core,Secure communication using mathematical constructions
computer_networks,Computer Networks,field,formal and applied science,Computer Systems,intermediate,8,7,established,curated core,Protocols and architectures for communicating computers
artificial_intelligence,Artificial Intelligence,field,formal and applied science,Artificial Intelligence,intermediate,10,8,established,curated core,Computational systems performing intelligent tasks
machine_learning,Machine Learning,field,formal and applied science,Artificial Intelligence,advanced,10,8,established,curated core,Learning predictive or decision rules from data
deep_learning,Deep Learning,field,formal and applied science,Artificial Intelligence,advanced,10,9,established,curated core,Representation learning with multilayer neural networks
reinforcement_learning,Reinforcement Learning,method,formal and applied science,Artificial Intelligence,advanced,9,9,established,curated core,Learning behavior from rewards and interaction
computer_vision,Computer Vision,field,formal and applied science,Artificial Intelligence,advanced,9,8,established,curated core,Computational interpretation of visual information
natural_language_processing,Natural Language Processing,field,formal and applied science,Artificial Intelligence,advanced,9,8,established,curated core,Computational modeling and processing of language
transformers,Transformer Architecture,technology,formal and applied science,Artificial Intelligence,research,10,9,established,curated core,Attention-based neural network architecture
graph_neural_networks,Graph Neural Networks,technology,formal and applied science,Artificial Intelligence,research,9,9,established,curated core,Neural computation on graph-structured data
quantum_computing,Quantum Computing,field,formal and applied science,Computing Paradigms,research,9,10,established,curated core,Computation using controllable quantum systems
robotics,Robotics,field,formal and applied science,Autonomous Systems,advanced,9,8,established,curated core,Sensing planning control and embodied machines
control_theory,Control Theory,theory,formal and applied science,Systems Engineering,advanced,9,9,established,curated core,Feedback stability observability and control of dynamical systems
cell_biology,Cell Biology,field,natural and life science,Cellular Biology,foundational,10,7,established,curated core,Structure function and behavior of cells
molecular_biology,Molecular Biology,field,natural and life science,Molecular Biology,intermediate,10,8,established,curated core,Molecular mechanisms of biological information and function
genetics,Genetics,field,natural and life science,Genetics,intermediate,10,8,established,curated core,Inheritance variation and genome function
evolution,Evolutionary Biology,theory,natural and life science,Evolution,intermediate,10,8,established,curated core,Change in heritable populations across generations
ecology,Ecology,field,natural and life science,Ecology,intermediate,9,7,established,curated core,Interactions among organisms and environments
developmental_biology,Developmental Biology,field,natural and life science,Development,advanced,8,8,established,curated core,Growth differentiation and organismal development
immunology,Immunology,field,natural and life science,Immunology,advanced,9,9,established,curated core,Biological defense recognition and immune regulation
microbiology,Microbiology,field,natural and life science,Microbiology,intermediate,9,7,established,curated core,Microorganisms and their biological activities
virology,Virology,field,natural and life science,Microbiology,advanced,8,8,established,curated core,Viruses their replication and host interactions
systems_biology,Systems Biology,field,natural and life science,Systems Biology,research,9,9,established,curated core,Integrated modeling of interacting biological components
