id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
probability,Probability Theory,theory,formal science,Probability,intermediate,10,8,established,curated core,Mathematics of uncertainty and random phenomena
statistics,Statistics,field,formal science,Statistics,intermediate,10,7,established,curated core,Inference estimation testing and data modeling
bayesian_inference,Bayesian Inference,method,formal science,Statistics,advanced,9,8,established,curated core,Updating probability distributions using evidence
causal_inference,Causal Inference,method,interdisciplinary science,Data Science,advanced,10,9,established,curated core,Reasoning about interventions and cause-effect structure
atlas_probability_statistics_domain,Probability Statistics and Data Science,discipline,science atlas,Probability Statistics and Data Science,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_probability_statistics_probability,Probability,field,Probability Statistics and Data Science,Probability,intermediate,9,7,active,discipline taxonomy,A major research field within Probability Statistics and Data Science
atlas_probability_statistics_probability_measure_theoretic_probability,measure-theoretic probability,topic,Probability Statistics and Data Science,Probability,advanced,8,8,active,subject taxonomy,A scientific subject studied within Probability
atlas_atlas_probability_statistics_probability_measure_theoretic_probability_theoretical_foundat,measure-theoretic probability: theoretical foundations,theory,Probability Statistics and Data Science,Probability,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for measure-theoretic probability
atlas_atlas_probability_statistics_probability_measure_theoretic_probability_methods_and_instrum,measure-theoretic probability: methods and instruments,method,Probability Statistics and Data Science,Probability,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for measure-theoretic probability
atlas_atlas_probability_statistics_probability_measure_theoretic_probability_open_questions,measure-theoretic probability: open questions,research frontier,Probability Statistics and Data Science,Probability,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for measure-theoretic probability
atlas_atlas_probability_statistics_probability_measure_theoretic_probability_applications_and_im,measure-theoretic probability: applications and implications,application,Probability Statistics and Data Science,Probability,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for measure-theoretic probability
atlas_probability_statistics_probability_stochastic_processes,stochastic processes,topic,Probability Statistics and Data Science,Probability,advanced,8,8,active,subject taxonomy,A scientific subject studied within Probability
atlas_atlas_probability_statistics_probability_stochastic_processes_theoretical_foundations,stochastic processes: theoretical foundations,theory,Probability Statistics and Data Science,Probability,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for stochastic processes
atlas_atlas_probability_statistics_probability_stochastic_processes_methods_and_instruments,stochastic processes: methods and instruments,method,Probability Statistics and Data Science,Probability,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for stochastic processes
atlas_atlas_probability_statistics_probability_stochastic_processes_open_questions,stochastic processes: open questions,research frontier,Probability Statistics and Data Science,Probability,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for stochastic processes
atlas_atlas_probability_statistics_probability_stochastic_processes_applications_and_implication,stochastic processes: applications and implications,application,Probability Statistics and Data Science,Probability,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for stochastic processes
atlas_probability_statistics_probability_martingales,martingales,topic,Probability Statistics and Data Science,Probability,advanced,8,8,active,subject taxonomy,A scientific subject studied within Probability
atlas_atlas_probability_statistics_probability_martingales_theoretical_foundations,martingales: theoretical foundations,theory,Probability Statistics and Data Science,Probability,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for martingales
atlas_atlas_probability_statistics_probability_martingales_methods_and_instruments,martingales: methods and instruments,method,Probability Statistics and Data Science,Probability,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for martingales
atlas_atlas_probability_statistics_probability_martingales_open_questions,martingales: open questions,research frontier,Probability Statistics and Data Science,Probability,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for martingales
atlas_atlas_probability_statistics_probability_martingales_applications_and_implications,martingales: applications and implications,application,Probability Statistics and Data Science,Probability,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for martingales
atlas_probability_statistics_probability_random_matrices,random matrices,topic,Probability Statistics and Data Science,Probability,advanced,8,8,active,subject taxonomy,A scientific subject studied within Probability
atlas_atlas_probability_statistics_probability_random_matrices_theoretical_foundations,random matrices: theoretical foundations,theory,Probability Statistics and Data Science,Probability,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for random matrices
atlas_atlas_probability_statistics_probability_random_matrices_methods_and_instruments,random matrices: methods and instruments,method,Probability Statistics and Data Science,Probability,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for random matrices
