source,target,relation,relation_detail,weight,directed,relation_family,provenance
artificial_intelligence,machine_learning,structure,contains,0.58,true,structure,curated core
machine_learning,deep_learning,structure,contains,0.63,true,structure,curated core
deep_learning,transformers,structure,contains,0.73,true,structure,curated core
deep_learning,graph_neural_networks,structure,contains,0.78,true,structure,curated core
transformers,natural_language_processing,application,powers,0.83,true,application,curated core
deep_learning,computer_vision,application,powers,0.88,true,application,curated core
atlas_ai_machine_learning_machine_learning_theory,atlas_ai_machine_learning_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_ai_machine_learning_machine_learning_theory_statistical_learning,atlas_ai_machine_learning_machine_learning_theory,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_ai_machine_learning_machine_learning_theory_statistical_learning_theoretical_foundat,atlas_ai_machine_learning_machine_learning_theory_statistical_learning,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_ai_machine_learning_machine_learning_theory_statistical_learning_methods_and_instrum,atlas_ai_machine_learning_machine_learning_theory_statistical_learning,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_ai_machine_learning_machine_learning_theory_statistical_learning_open_questions,atlas_ai_machine_learning_machine_learning_theory_statistical_learning,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_ai_machine_learning_machine_learning_theory_statistical_learning_applications_and_im,atlas_ai_machine_learning_machine_learning_theory_statistical_learning,application,application_of,0.82,true,application,atlas taxonomy
atlas_ai_machine_learning_machine_learning_theory_generalization,atlas_ai_machine_learning_machine_learning_theory,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_ai_machine_learning_machine_learning_theory_generalization_theoretical_foundations,atlas_ai_machine_learning_machine_learning_theory_generalization,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_ai_machine_learning_machine_learning_theory_generalization_methods_and_instruments,atlas_ai_machine_learning_machine_learning_theory_generalization,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_ai_machine_learning_machine_learning_theory_generalization_open_questions,atlas_ai_machine_learning_machine_learning_theory_generalization,association,investigates,0.72,true,association,atlas taxonomy
