id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
ocean_circulation,Ocean Circulation,process,natural science,Oceanography,advanced,8,8,established,curated core,Large-scale transport of water heat nutrients and carbon
atlas_ocean_marine_domain,Ocean and Marine Sciences,discipline,science atlas,Ocean and Marine Sciences,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_ocean_marine_physical_oceanography,Physical oceanography,field,Ocean and Marine Sciences,Physical oceanography,intermediate,9,7,active,discipline taxonomy,A major research field within Ocean and Marine Sciences
atlas_ocean_circulation_theoretical_foundations,ocean circulation: theoretical foundations,theory,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for ocean circulation
atlas_ocean_circulation_methods_and_instruments,ocean circulation: methods and instruments,method,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for ocean circulation
atlas_ocean_circulation_open_questions,ocean circulation: open questions,research frontier,Ocean and Marine Sciences,Physical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for ocean circulation
atlas_ocean_circulation_applications_and_implications,ocean circulation: applications and implications,application,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for ocean circulation
atlas_ocean_marine_physical_oceanography_air_sea_interaction,air-sea interaction,topic,Ocean and Marine Sciences,Physical oceanography,advanced,8,8,active,subject taxonomy,A scientific subject studied within Physical oceanography
atlas_atlas_ocean_marine_physical_oceanography_air_sea_interaction_theoretical_foundations,air-sea interaction: theoretical foundations,theory,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for air-sea interaction
atlas_atlas_ocean_marine_physical_oceanography_air_sea_interaction_methods_and_instruments,air-sea interaction: methods and instruments,method,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for air-sea interaction
atlas_atlas_ocean_marine_physical_oceanography_air_sea_interaction_open_questions,air-sea interaction: open questions,research frontier,Ocean and Marine Sciences,Physical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for air-sea interaction
atlas_atlas_ocean_marine_physical_oceanography_air_sea_interaction_applications_and_implications,air-sea interaction: applications and implications,application,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for air-sea interaction
atlas_ocean_marine_physical_oceanography_tides_and_waves,tides and waves,topic,Ocean and Marine Sciences,Physical oceanography,advanced,8,8,active,subject taxonomy,A scientific subject studied within Physical oceanography
atlas_atlas_ocean_marine_physical_oceanography_tides_and_waves_theoretical_foundations,tides and waves: theoretical foundations,theory,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for tides and waves
atlas_atlas_ocean_marine_physical_oceanography_tides_and_waves_methods_and_instruments,tides and waves: methods and instruments,method,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for tides and waves
atlas_atlas_ocean_marine_physical_oceanography_tides_and_waves_open_questions,tides and waves: open questions,research frontier,Ocean and Marine Sciences,Physical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for tides and waves
atlas_atlas_ocean_marine_physical_oceanography_tides_and_waves_applications_and_implications,tides and waves: applications and implications,application,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for tides and waves
atlas_ocean_marine_physical_oceanography_ocean_mixing,ocean mixing,topic,Ocean and Marine Sciences,Physical oceanography,advanced,8,8,active,subject taxonomy,A scientific subject studied within Physical oceanography
atlas_atlas_ocean_marine_physical_oceanography_ocean_mixing_theoretical_foundations,ocean mixing: theoretical foundations,theory,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for ocean mixing
atlas_atlas_ocean_marine_physical_oceanography_ocean_mixing_methods_and_instruments,ocean mixing: methods and instruments,method,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for ocean mixing
atlas_atlas_ocean_marine_physical_oceanography_ocean_mixing_open_questions,ocean mixing: open questions,research frontier,Ocean and Marine Sciences,Physical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for ocean mixing
atlas_atlas_ocean_marine_physical_oceanography_ocean_mixing_applications_and_implications,ocean mixing: applications and implications,application,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for ocean mixing
atlas_ocean_marine_physical_oceanography_polar_oceans,polar oceans,topic,Ocean and Marine Sciences,Physical oceanography,advanced,8,8,active,subject taxonomy,A scientific subject studied within Physical oceanography
atlas_atlas_ocean_marine_physical_oceanography_polar_oceans_theoretical_foundations,polar oceans: theoretical foundations,theory,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for polar oceans
atlas_atlas_ocean_marine_physical_oceanography_polar_oceans_methods_and_instruments,polar oceans: methods and instruments,method,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for polar oceans
atlas_atlas_ocean_marine_physical_oceanography_polar_oceans_open_questions,polar oceans: open questions,research frontier,Ocean and Marine Sciences,Physical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for polar oceans
atlas_atlas_ocean_marine_physical_oceanography_polar_oceans_applications_and_implications,polar oceans: applications and implications,application,Ocean and Marine Sciences,Physical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for polar oceans
atlas_ocean_marine_chemical_oceanography,Chemical oceanography,field,Ocean and Marine Sciences,Chemical oceanography,intermediate,9,7,active,discipline taxonomy,A major research field within Ocean and Marine Sciences
atlas_ocean_marine_chemical_oceanography_marine_carbon_cycle,marine carbon cycle,topic,Ocean and Marine Sciences,Chemical oceanography,advanced,8,8,active,subject taxonomy,A scientific subject studied within Chemical oceanography
atlas_atlas_ocean_marine_chemical_oceanography_marine_carbon_cycle_theoretical_foundations,marine carbon cycle: theoretical foundations,theory,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for marine carbon cycle
atlas_atlas_ocean_marine_chemical_oceanography_marine_carbon_cycle_methods_and_instruments,marine carbon cycle: methods and instruments,method,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for marine carbon cycle
atlas_atlas_ocean_marine_chemical_oceanography_marine_carbon_cycle_open_questions,marine carbon cycle: open questions,research frontier,Ocean and Marine Sciences,Chemical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for marine carbon cycle
atlas_atlas_ocean_marine_chemical_oceanography_marine_carbon_cycle_applications_and_implications,marine carbon cycle: applications and implications,application,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for marine carbon cycle
atlas_ocean_marine_chemical_oceanography_ocean_acidification,ocean acidification,topic,Ocean and Marine Sciences,Chemical oceanography,advanced,8,8,active,subject taxonomy,A scientific subject studied within Chemical oceanography
atlas_atlas_ocean_marine_chemical_oceanography_ocean_acidification_theoretical_foundations,ocean acidification: theoretical foundations,theory,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for ocean acidification
atlas_atlas_ocean_marine_chemical_oceanography_ocean_acidification_methods_and_instruments,ocean acidification: methods and instruments,method,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for ocean acidification
atlas_atlas_ocean_marine_chemical_oceanography_ocean_acidification_open_questions,ocean acidification: open questions,research frontier,Ocean and Marine Sciences,Chemical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for ocean acidification
atlas_atlas_ocean_marine_chemical_oceanography_ocean_acidification_applications_and_implications,ocean acidification: applications and implications,application,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for ocean acidification
atlas_ocean_marine_chemical_oceanography_nutrient_cycling,nutrient cycling,topic,Ocean and Marine Sciences,Chemical oceanography,advanced,8,8,active,subject taxonomy,A scientific subject studied within Chemical oceanography
atlas_atlas_ocean_marine_chemical_oceanography_nutrient_cycling_theoretical_foundations,nutrient cycling: theoretical foundations,theory,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for nutrient cycling
atlas_atlas_ocean_marine_chemical_oceanography_nutrient_cycling_methods_and_instruments,nutrient cycling: methods and instruments,method,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for nutrient cycling
atlas_atlas_ocean_marine_chemical_oceanography_nutrient_cycling_open_questions,nutrient cycling: open questions,research frontier,Ocean and Marine Sciences,Chemical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for nutrient cycling
atlas_atlas_ocean_marine_chemical_oceanography_nutrient_cycling_applications_and_implications,nutrient cycling: applications and implications,application,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for nutrient cycling
atlas_ocean_marine_chemical_oceanography_trace_metals,trace metals,topic,Ocean and Marine Sciences,Chemical oceanography,advanced,8,8,active,subject taxonomy,A scientific subject studied within Chemical oceanography
atlas_atlas_ocean_marine_chemical_oceanography_trace_metals_theoretical_foundations,trace metals: theoretical foundations,theory,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for trace metals
atlas_atlas_ocean_marine_chemical_oceanography_trace_metals_methods_and_instruments,trace metals: methods and instruments,method,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for trace metals
atlas_atlas_ocean_marine_chemical_oceanography_trace_metals_open_questions,trace metals: open questions,research frontier,Ocean and Marine Sciences,Chemical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for trace metals
atlas_atlas_ocean_marine_chemical_oceanography_trace_metals_applications_and_implications,trace metals: applications and implications,application,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for trace metals
atlas_ocean_marine_chemical_oceanography_marine_biogeochemistry,marine biogeochemistry,topic,Ocean and Marine Sciences,Chemical oceanography,advanced,8,8,active,subject taxonomy,A scientific subject studied within Chemical oceanography
atlas_atlas_ocean_marine_chemical_oceanography_marine_biogeochemistry_theoretical_foundations,marine biogeochemistry: theoretical foundations,theory,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for marine biogeochemistry
atlas_atlas_ocean_marine_chemical_oceanography_marine_biogeochemistry_methods_and_instruments,marine biogeochemistry: methods and instruments,method,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for marine biogeochemistry
atlas_atlas_ocean_marine_chemical_oceanography_marine_biogeochemistry_open_questions,marine biogeochemistry: open questions,research frontier,Ocean and Marine Sciences,Chemical oceanography,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for marine biogeochemistry
atlas_atlas_ocean_marine_chemical_oceanography_marine_biogeochemistry_applications_and_implicati,marine biogeochemistry: applications and implications,application,Ocean and Marine Sciences,Chemical oceanography,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for marine biogeochemistry
atlas_ocean_marine_marine_biology,Marine biology,field,Ocean and Marine Sciences,Marine biology,intermediate,9,7,active,discipline taxonomy,A major research field within Ocean and Marine Sciences
atlas_ocean_marine_marine_biology_plankton_ecology,plankton ecology,topic,Ocean and Marine Sciences,Marine biology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Marine biology
atlas_atlas_ocean_marine_marine_biology_plankton_ecology_theoretical_foundations,plankton ecology: theoretical foundations,theory,Ocean and Marine Sciences,Marine biology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for plankton ecology
atlas_atlas_ocean_marine_marine_biology_plankton_ecology_methods_and_instruments,plankton ecology: methods and instruments,method,Ocean and Marine Sciences,Marine biology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for plankton ecology
atlas_atlas_ocean_marine_marine_biology_plankton_ecology_open_questions,plankton ecology: open questions,research frontier,Ocean and Marine Sciences,Marine biology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for plankton ecology
atlas_atlas_ocean_marine_marine_biology_plankton_ecology_applications_and_implications,plankton ecology: applications and implications,application,Ocean and Marine Sciences,Marine biology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for plankton ecology
atlas_ocean_marine_marine_biology_coral_reefs,coral reefs,topic,Ocean and Marine Sciences,Marine biology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Marine biology
