id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
biology,Biology,discipline,life science,Biology,foundational,10,8,established,curated core,A major scientific discipline centered on biology.
cell_biology,Cell Biology,field,natural and life science,Cellular Biology,foundational,10,7,established,curated core,Structure function and behavior of cells
developmental_biology,Developmental Biology,field,natural and life science,Development,advanced,8,8,established,curated core,Growth differentiation and organismal development
homeostasis,Homeostasis,process,natural and life science,Physiology,foundational,9,6,established,curated core,Regulation maintaining viable internal conditions
atlas_organismal_biology_domain,Organismal and Developmental Biology,discipline,science atlas,Organismal and Developmental Biology,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_organismal_biology_cell_biology_cell_membranes,cell membranes,topic,Organismal and Developmental Biology,Cell biology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Cell biology
atlas_atlas_organismal_biology_cell_biology_cell_membranes_theoretical_foundations,cell membranes: theoretical foundations,theory,Organismal and Developmental Biology,Cell biology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for cell membranes
atlas_atlas_organismal_biology_cell_biology_cell_membranes_methods_and_instruments,cell membranes: methods and instruments,method,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for cell membranes
atlas_atlas_organismal_biology_cell_biology_cell_membranes_open_questions,cell membranes: open questions,research frontier,Organismal and Developmental Biology,Cell biology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for cell membranes
atlas_atlas_organismal_biology_cell_biology_cell_membranes_applications_and_implications,cell membranes: applications and implications,application,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for cell membranes
atlas_organismal_biology_cell_biology_organelles,organelles,topic,Organismal and Developmental Biology,Cell biology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Cell biology
atlas_atlas_organismal_biology_cell_biology_organelles_theoretical_foundations,organelles: theoretical foundations,theory,Organismal and Developmental Biology,Cell biology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for organelles
atlas_atlas_organismal_biology_cell_biology_organelles_methods_and_instruments,organelles: methods and instruments,method,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for organelles
atlas_atlas_organismal_biology_cell_biology_organelles_open_questions,organelles: open questions,research frontier,Organismal and Developmental Biology,Cell biology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for organelles
atlas_atlas_organismal_biology_cell_biology_organelles_applications_and_implications,organelles: applications and implications,application,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for organelles
atlas_organismal_biology_cell_biology_cell_division,cell division,topic,Organismal and Developmental Biology,Cell biology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Cell biology
atlas_atlas_organismal_biology_cell_biology_cell_division_theoretical_foundations,cell division: theoretical foundations,theory,Organismal and Developmental Biology,Cell biology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for cell division
atlas_atlas_organismal_biology_cell_biology_cell_division_methods_and_instruments,cell division: methods and instruments,method,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for cell division
atlas_atlas_organismal_biology_cell_biology_cell_division_open_questions,cell division: open questions,research frontier,Organismal and Developmental Biology,Cell biology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for cell division
atlas_atlas_organismal_biology_cell_biology_cell_division_applications_and_implications,cell division: applications and implications,application,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for cell division
atlas_organismal_biology_cell_biology_cytoskeleton,cytoskeleton,topic,Organismal and Developmental Biology,Cell biology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Cell biology
atlas_atlas_organismal_biology_cell_biology_cytoskeleton_theoretical_foundations,cytoskeleton: theoretical foundations,theory,Organismal and Developmental Biology,Cell biology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for cytoskeleton
atlas_atlas_organismal_biology_cell_biology_cytoskeleton_methods_and_instruments,cytoskeleton: methods and instruments,method,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for cytoskeleton
atlas_atlas_organismal_biology_cell_biology_cytoskeleton_open_questions,cytoskeleton: open questions,research frontier,Organismal and Developmental Biology,Cell biology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for cytoskeleton
atlas_atlas_organismal_biology_cell_biology_cytoskeleton_applications_and_implications,cytoskeleton: applications and implications,application,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for cytoskeleton
atlas_organismal_biology_cell_biology_cell_signaling,cell signaling,topic,Organismal and Developmental Biology,Cell biology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Cell biology
atlas_atlas_organismal_biology_cell_biology_cell_signaling_theoretical_foundations,cell signaling: theoretical foundations,theory,Organismal and Developmental Biology,Cell biology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for cell signaling
atlas_atlas_organismal_biology_cell_biology_cell_signaling_methods_and_instruments,cell signaling: methods and instruments,method,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for cell signaling
atlas_atlas_organismal_biology_cell_biology_cell_signaling_open_questions,cell signaling: open questions,research frontier,Organismal and Developmental Biology,Cell biology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for cell signaling
atlas_atlas_organismal_biology_cell_biology_cell_signaling_applications_and_implications,cell signaling: applications and implications,application,Organismal and Developmental Biology,Cell biology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for cell signaling
atlas_organismal_biology_development,Development,field,Organismal and Developmental Biology,Development,intermediate,9,7,active,discipline taxonomy,A major research field within Organismal and Developmental Biology
atlas_organismal_biology_development_embryogenesis,embryogenesis,topic,Organismal and Developmental Biology,Development,advanced,8,8,active,subject taxonomy,A scientific subject studied within Development
atlas_atlas_organismal_biology_development_embryogenesis_theoretical_foundations,embryogenesis: theoretical foundations,theory,Organismal and Developmental Biology,Development,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for embryogenesis
atlas_atlas_organismal_biology_development_embryogenesis_methods_and_instruments,embryogenesis: methods and instruments,method,Organismal and Developmental Biology,Development,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for embryogenesis
atlas_atlas_organismal_biology_development_embryogenesis_open_questions,embryogenesis: open questions,research frontier,Organismal and Developmental Biology,Development,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for embryogenesis
atlas_atlas_organismal_biology_development_embryogenesis_applications_and_implications,embryogenesis: applications and implications,application,Organismal and Developmental Biology,Development,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for embryogenesis
atlas_organismal_biology_development_pattern_formation,pattern formation,topic,Organismal and Developmental Biology,Development,advanced,8,8,active,subject taxonomy,A scientific subject studied within Development
atlas_atlas_organismal_biology_development_pattern_formation_theoretical_foundations,pattern formation: theoretical foundations,theory,Organismal and Developmental Biology,Development,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for pattern formation
atlas_atlas_organismal_biology_development_pattern_formation_methods_and_instruments,pattern formation: methods and instruments,method,Organismal and Developmental Biology,Development,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for pattern formation
atlas_atlas_organismal_biology_development_pattern_formation_open_questions,pattern formation: open questions,research frontier,Organismal and Developmental Biology,Development,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for pattern formation
atlas_atlas_organismal_biology_development_pattern_formation_applications_and_implications,pattern formation: applications and implications,application,Organismal and Developmental Biology,Development,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for pattern formation
atlas_organismal_biology_development_cell_differentiation,cell differentiation,topic,Organismal and Developmental Biology,Development,advanced,8,8,active,subject taxonomy,A scientific subject studied within Development
atlas_atlas_organismal_biology_development_cell_differentiation_theoretical_foundations,cell differentiation: theoretical foundations,theory,Organismal and Developmental Biology,Development,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for cell differentiation
