source,target,relation,relation_detail,weight,directed,relation_family,provenance
scientific_method,measurement,foundation,requires,0.63,true,foundation,curated core
atlas_science_studies_philosophy_of_science,atlas_science_studies_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_science_studies_philosophy_of_science_scientific_explanation,atlas_science_studies_philosophy_of_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_scientific_explanation_theoretical_foundations,atlas_science_studies_philosophy_of_science_scientific_explanation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_scientific_explanation_methods_and_instruments,atlas_science_studies_philosophy_of_science_scientific_explanation,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_scientific_explanation_open_questions,atlas_science_studies_philosophy_of_science_scientific_explanation,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_scientific_explanation_applications_and_implic,atlas_science_studies_philosophy_of_science_scientific_explanation,application,application_of,0.82,true,application,atlas taxonomy
atlas_science_studies_philosophy_of_science_confirmation_and_evidence,atlas_science_studies_philosophy_of_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_confirmation_and_evidence_theoretical_foundati,atlas_science_studies_philosophy_of_science_confirmation_and_evidence,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_confirmation_and_evidence_methods_and_instrume,atlas_science_studies_philosophy_of_science_confirmation_and_evidence,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_confirmation_and_evidence_open_questions,atlas_science_studies_philosophy_of_science_confirmation_and_evidence,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_confirmation_and_evidence_applications_and_imp,atlas_science_studies_philosophy_of_science_confirmation_and_evidence,application,application_of,0.82,true,application,atlas taxonomy
atlas_science_studies_philosophy_of_science_realism_and_anti_realism,atlas_science_studies_philosophy_of_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_realism_and_anti_realism_theoretical_foundatio,atlas_science_studies_philosophy_of_science_realism_and_anti_realism,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_realism_and_anti_realism_methods_and_instrumen,atlas_science_studies_philosophy_of_science_realism_and_anti_realism,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_realism_and_anti_realism_open_questions,atlas_science_studies_philosophy_of_science_realism_and_anti_realism,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_science_studies_philosophy_of_science_realism_and_anti_realism_applications_and_impl,atlas_science_studies_philosophy_of_science_realism_and_anti_realism,application,application_of,0.82,true,application,atlas taxonomy
