source,target,relation,relation_detail,weight,directed,relation_family,provenance
medical_imaging,medicine,structure,part_of,0.96,true,structure,curated core
systems_medicine,medicine,structure,part_of,0.96,true,structure,curated core
atlas_medical_health_internal_medicine,atlas_medical_health_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_medical_health_internal_medicine_cardiology,atlas_medical_health_internal_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_cardiology_theoretical_foundations,atlas_medical_health_internal_medicine_cardiology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_cardiology_methods_and_instruments,atlas_medical_health_internal_medicine_cardiology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_cardiology_open_questions,atlas_medical_health_internal_medicine_cardiology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_cardiology_applications_and_implications,atlas_medical_health_internal_medicine_cardiology,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_internal_medicine_endocrinology,atlas_medical_health_internal_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_endocrinology_theoretical_foundations,atlas_medical_health_internal_medicine_endocrinology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_endocrinology_methods_and_instruments,atlas_medical_health_internal_medicine_endocrinology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_endocrinology_open_questions,atlas_medical_health_internal_medicine_endocrinology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_endocrinology_applications_and_implications,atlas_medical_health_internal_medicine_endocrinology,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_internal_medicine_gastroenterology,atlas_medical_health_internal_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_gastroenterology_theoretical_foundations,atlas_medical_health_internal_medicine_gastroenterology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_gastroenterology_methods_and_instruments,atlas_medical_health_internal_medicine_gastroenterology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_gastroenterology_open_questions,atlas_medical_health_internal_medicine_gastroenterology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_gastroenterology_applications_and_implications,atlas_medical_health_internal_medicine_gastroenterology,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_internal_medicine_nephrology,atlas_medical_health_internal_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_nephrology_theoretical_foundations,atlas_medical_health_internal_medicine_nephrology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_nephrology_methods_and_instruments,atlas_medical_health_internal_medicine_nephrology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_nephrology_open_questions,atlas_medical_health_internal_medicine_nephrology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_nephrology_applications_and_implications,atlas_medical_health_internal_medicine_nephrology,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_internal_medicine_pulmonology,atlas_medical_health_internal_medicine,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_pulmonology_theoretical_foundations,atlas_medical_health_internal_medicine_pulmonology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_pulmonology_methods_and_instruments,atlas_medical_health_internal_medicine_pulmonology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_pulmonology_open_questions,atlas_medical_health_internal_medicine_pulmonology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_internal_medicine_pulmonology_applications_and_implications,atlas_medical_health_internal_medicine_pulmonology,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_internal_medicine_cardiology,atlas_medical_health_internal_medicine_endocrinology,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_internal_medicine_endocrinology,atlas_medical_health_internal_medicine_gastroenterology,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_internal_medicine_gastroenterology,atlas_medical_health_internal_medicine_nephrology,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_internal_medicine_nephrology,atlas_medical_health_internal_medicine_pulmonology,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_medical_health_oncology,atlas_medical_health_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_medical_health_oncology_tumor_biology,atlas_medical_health_oncology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_oncology_tumor_biology_theoretical_foundations,atlas_medical_health_oncology_tumor_biology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_tumor_biology_methods_and_instruments,atlas_medical_health_oncology_tumor_biology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_tumor_biology_open_questions,atlas_medical_health_oncology_tumor_biology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_tumor_biology_applications_and_implications,atlas_medical_health_oncology_tumor_biology,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_oncology_cancer_genomics,atlas_medical_health_oncology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_oncology_cancer_genomics_theoretical_foundations,atlas_medical_health_oncology_cancer_genomics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_cancer_genomics_methods_and_instruments,atlas_medical_health_oncology_cancer_genomics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_cancer_genomics_open_questions,atlas_medical_health_oncology_cancer_genomics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_cancer_genomics_applications_and_implications,atlas_medical_health_oncology_cancer_genomics,application,application_of,0.82,true,application,atlas taxonomy
atlas_medical_health_oncology_immuno_oncology,atlas_medical_health_oncology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_medical_health_oncology_immuno_oncology_theoretical_foundations,atlas_medical_health_oncology_immuno_oncology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_immuno_oncology_methods_and_instruments,atlas_medical_health_oncology_immuno_oncology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_medical_health_oncology_immuno_oncology_open_questions,atlas_medical_health_oncology_immuno_oncology,association,investigates,0.72,true,association,atlas taxonomy
