id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
climate_system,Climate System,system,natural science,Climate Science,advanced,10,9,established,curated core,Coupled atmosphere ocean ice land and biosphere
carbon_cycle,Carbon Cycle,process,natural science,Earth System Science,intermediate,9,7,established,curated core,Exchange of carbon among planetary reservoirs
atlas_climate_atmosphere_domain,Climate and Atmospheric Science,discipline,science atlas,Climate and Atmospheric Science,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_climate_atmosphere_atmospheric_physics,Atmospheric physics,field,Climate and Atmospheric Science,Atmospheric physics,intermediate,9,7,active,discipline taxonomy,A major research field within Climate and Atmospheric Science
atlas_climate_atmosphere_atmospheric_physics_radiative_transfer,radiative transfer,topic,Climate and Atmospheric Science,Atmospheric physics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Atmospheric physics
atlas_atlas_climate_atmosphere_atmospheric_physics_radiative_transfer_theoretical_foundations,radiative transfer: theoretical foundations,theory,Climate and Atmospheric Science,Atmospheric physics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for radiative transfer
atlas_atlas_climate_atmosphere_atmospheric_physics_radiative_transfer_methods_and_instruments,radiative transfer: methods and instruments,method,Climate and Atmospheric Science,Atmospheric physics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for radiative transfer
atlas_atlas_climate_atmosphere_atmospheric_physics_radiative_transfer_open_questions,radiative transfer: open questions,research frontier,Climate and Atmospheric Science,Atmospheric physics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for radiative transfer
atlas_atlas_climate_atmosphere_atmospheric_physics_radiative_transfer_applications_and_implicati,radiative transfer: applications and implications,application,Climate and Atmospheric Science,Atmospheric physics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for radiative transfer
atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics,cloud microphysics,topic,Climate and Atmospheric Science,Atmospheric physics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Atmospheric physics
atlas_atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics_theoretical_foundations,cloud microphysics: theoretical foundations,theory,Climate and Atmospheric Science,Atmospheric physics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for cloud microphysics
atlas_atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics_methods_and_instruments,cloud microphysics: methods and instruments,method,Climate and Atmospheric Science,Atmospheric physics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for cloud microphysics
atlas_atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics_open_questions,cloud microphysics: open questions,research frontier,Climate and Atmospheric Science,Atmospheric physics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for cloud microphysics
atlas_atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics_applications_and_implicati,cloud microphysics: applications and implications,application,Climate and Atmospheric Science,Atmospheric physics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for cloud microphysics
atlas_climate_atmosphere_atmospheric_physics_atmospheric_dynamics,atmospheric dynamics,topic,Climate and Atmospheric Science,Atmospheric physics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Atmospheric physics
atlas_atlas_climate_atmosphere_atmospheric_physics_atmospheric_dynamics_theoretical_foundations,atmospheric dynamics: theoretical foundations,theory,Climate and Atmospheric Science,Atmospheric physics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for atmospheric dynamics
atlas_atlas_climate_atmosphere_atmospheric_physics_atmospheric_dynamics_methods_and_instruments,atmospheric dynamics: methods and instruments,method,Climate and Atmospheric Science,Atmospheric physics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for atmospheric dynamics
