record_type,id,label,category,initial_probability,reward,source,target,probability,time,relation,confidence,count,enabled
node,sun,Sun,weather,1,2,,,,,,,,
node,cloud,Cloud,weather,0,0,,,,,,,,
node,rain,Rain,weather,0,-1,,,,,,,,
node,storm,Storm,extreme,0,-4,,,,,,,,
transition,,,,,,sun,sun,0.66,0,day,0.94,660,true
transition,,,,,,sun,cloud,0.26,0,day,0.90,260,true
transition,,,,,,sun,rain,0.08,0,day,0.86,80,true
transition,,,,,,cloud,sun,0.30,0,day,0.90,300,true
transition,,,,,,cloud,cloud,0.42,0,day,0.92,420,true
transition,,,,,,cloud,rain,0.24,0,day,0.88,240,true
transition,,,,,,cloud,storm,0.04,0,day,0.78,40,true
transition,,,,,,rain,sun,0.18,0,day,0.86,180,true
transition,,,,,,rain,cloud,0.36,0,day,0.90,360,true
transition,,,,,,rain,rain,0.36,0,day,0.91,360,true
transition,,,,,,rain,storm,0.10,0,day,0.82,100,true
transition,,,,,,storm,cloud,0.20,0,day,0.80,200,true
transition,,,,,,storm,rain,0.45,0,day,0.87,450,true
transition,,,,,,storm,storm,0.35,0,day,0.85,350,true
transition,,,,,,sun,sun,0.44,1,front,0.90,440,true
transition,,,,,,sun,cloud,0.38,1,front,0.91,380,true
transition,,,,,,sun,rain,0.16,1,front,0.86,160,true
transition,,,,,,sun,storm,0.02,1,front,0.76,20,true
transition,,,,,,cloud,sun,0.18,1,front,0.86,180,true
transition,,,,,,cloud,cloud,0.36,1,front,0.91,360,true
transition,,,,,,cloud,rain,0.34,1,front,0.90,340,true
transition,,,,,,cloud,storm,0.12,1,front,0.83,120,true
transition,,,,,,rain,sun,0.10,1,front,0.82,100,true
transition,,,,,,rain,cloud,0.28,1,front,0.87,280,true
transition,,,,,,rain,rain,0.38,1,front,0.91,380,true
transition,,,,,,rain,storm,0.24,1,front,0.88,240,true
transition,,,,,,storm,cloud,0.16,1,front,0.81,160,true
transition,,,,,,storm,rain,0.38,1,front,0.88,380,true
transition,,,,,,storm,storm,0.46,1,front,0.89,460,true
transition,,,,,,sun,sun,0.74,2,clearing,0.95,740,true
transition,,,,,,sun,cloud,0.22,2,clearing,0.92,220,true
transition,,,,,,sun,rain,0.04,2,clearing,0.84,40,true
transition,,,,,,cloud,sun,0.46,2,clearing,0.92,460,true
transition,,,,,,cloud,cloud,0.38,2,clearing,0.92,380,true
transition,,,,,,cloud,rain,0.14,2,clearing,0.86,140,true
transition,,,,,,cloud,storm,0.02,2,clearing,0.72,20,true
transition,,,,,,rain,sun,0.30,2,clearing,0.88,300,true
transition,,,,,,rain,cloud,0.42,2,clearing,0.91,420,true
transition,,,,,,rain,rain,0.24,2,clearing,0.89,240,true
transition,,,,,,rain,storm,0.04,2,clearing,0.76,40,true
transition,,,,,,storm,sun,0.08,2,clearing,0.75,80,true
transition,,,,,,storm,cloud,0.34,2,clearing,0.86,340,true
transition,,,,,,storm,rain,0.42,2,clearing,0.89,420,true
transition,,,,,,storm,storm,0.16,2,clearing,0.82,160,true
