id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
systems_science,Systems Science,discipline,interdisciplinary science,Systems Science,foundational,10,8,established,curated core,A major scientific discipline centered on systems science.
information_theory,Information Theory,theory,formal science,Applied Mathematics,advanced,10,9,established,curated core,Entropy coding information and communication limits
nonlinear_dynamics,Nonlinear Dynamics and Chaos,theory,natural science,Complex Systems,advanced,9,9,established,curated core,Nonlinear evolution sensitivity and strange attractors
systems_biology,Systems Biology,field,natural and life science,Systems Biology,research,9,9,established,curated core,Integrated modeling of interacting biological components
synthetic_biology,Synthetic Biology,technology,natural and life science,Bioengineering,research,8,9,established,curated core,Design and construction of biological systems
bioinformatics,Bioinformatics,field,natural and life science,Computational Biology,advanced,9,8,established,curated core,Computational analysis of biological data
network_science,Network Science,field,interdisciplinary science,Complex Systems,advanced,10,8,established,curated core,Study of structure dynamics and function in networks
complex_systems,Complex Systems,field,interdisciplinary science,Systems Science,advanced,10,9,established,curated core,Collective behavior emerging from interacting components
emergence,Emergence,principle,interdisciplinary science,Systems Science,advanced,9,9,established,curated core,Macroscopic organization not reducible to isolated components
agent_based_modeling,Agent-Based Modeling,method,interdisciplinary science,Systems Science,advanced,8,8,established,curated core,Simulation of interacting autonomous agents
computational_modeling,Computational Modeling,method,interdisciplinary science,Scientific Computing,advanced,10,8,established,curated core,Computer-based representation and simulation of systems
atlas_systems_complexity_domain,Systems Complexity and Interdisciplinary Science,discipline,science atlas,Systems Complexity and Interdisciplinary Science,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_emergence_theoretical_foundations,emergence: theoretical foundations,theory,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for emergence
atlas_emergence_methods_and_instruments,emergence: methods and instruments,method,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for emergence
atlas_emergence_open_questions,emergence: open questions,research frontier,Systems Complexity and Interdisciplinary Science,Complex systems,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for emergence
atlas_emergence_applications_and_implications,emergence: applications and implications,application,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for emergence
atlas_systems_complexity_complex_systems_self_organization,self organization,topic,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,8,8,active,subject taxonomy,A scientific subject studied within Complex systems
atlas_atlas_systems_complexity_complex_systems_self_organization_theoretical_foundations,self organization: theoretical foundations,theory,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for self organization
atlas_atlas_systems_complexity_complex_systems_self_organization_methods_and_instruments,self organization: methods and instruments,method,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for self organization
atlas_atlas_systems_complexity_complex_systems_self_organization_open_questions,self organization: open questions,research frontier,Systems Complexity and Interdisciplinary Science,Complex systems,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for self organization
atlas_atlas_systems_complexity_complex_systems_self_organization_applications_and_implications,self organization: applications and implications,application,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for self organization
atlas_systems_complexity_complex_systems_criticality,criticality,topic,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,8,8,active,subject taxonomy,A scientific subject studied within Complex systems
atlas_atlas_systems_complexity_complex_systems_criticality_theoretical_foundations,criticality: theoretical foundations,theory,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for criticality
atlas_atlas_systems_complexity_complex_systems_criticality_methods_and_instruments,criticality: methods and instruments,method,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for criticality
atlas_atlas_systems_complexity_complex_systems_criticality_open_questions,criticality: open questions,research frontier,Systems Complexity and Interdisciplinary Science,Complex systems,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for criticality
atlas_atlas_systems_complexity_complex_systems_criticality_applications_and_implications,criticality: applications and implications,application,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for criticality
atlas_systems_complexity_complex_systems_collective_behavior,collective behavior,topic,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,8,8,active,subject taxonomy,A scientific subject studied within Complex systems
atlas_atlas_systems_complexity_complex_systems_collective_behavior_theoretical_foundations,collective behavior: theoretical foundations,theory,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for collective behavior
atlas_atlas_systems_complexity_complex_systems_collective_behavior_methods_and_instruments,collective behavior: methods and instruments,method,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for collective behavior
atlas_atlas_systems_complexity_complex_systems_collective_behavior_open_questions,collective behavior: open questions,research frontier,Systems Complexity and Interdisciplinary Science,Complex systems,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for collective behavior
atlas_atlas_systems_complexity_complex_systems_collective_behavior_applications_and_implications,collective behavior: applications and implications,application,Systems Complexity and Interdisciplinary Science,Complex systems,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for collective behavior
atlas_systems_complexity_network_science_network_topology,network topology,topic,Systems Complexity and Interdisciplinary Science,Network science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Network science
atlas_atlas_systems_complexity_network_science_network_topology_theoretical_foundations,network topology: theoretical foundations,theory,Systems Complexity and Interdisciplinary Science,Network science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for network topology
atlas_atlas_systems_complexity_network_science_network_topology_methods_and_instruments,network topology: methods and instruments,method,Systems Complexity and Interdisciplinary Science,Network science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for network topology
atlas_atlas_systems_complexity_network_science_network_topology_open_questions,network topology: open questions,research frontier,Systems Complexity and Interdisciplinary Science,Network science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for network topology
atlas_atlas_systems_complexity_network_science_network_topology_applications_and_implications,network topology: applications and implications,application,Systems Complexity and Interdisciplinary Science,Network science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for network topology
atlas_systems_complexity_network_science_community_detection,community detection,topic,Systems Complexity and Interdisciplinary Science,Network science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Network science
