id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
astronomy,Astronomy and Cosmology,discipline,natural science,Astronomy and Cosmology,foundational,10,8,established,curated core,A major scientific discipline centered on astronomy and cosmology.
black_holes,Black Holes,object,natural science,Astrophysics,advanced,10,9,established,curated core,Compact regions bounded by event horizons
gravitational_waves,Gravitational Waves,phenomenon,natural science,Astrophysics,advanced,9,9,established,curated core,Propagating perturbations of spacetime curvature
stellar_evolution,Stellar Evolution,process,natural science,Astrophysics,advanced,8,8,established,curated core,Birth life and death of stars
cosmology,Physical Cosmology,field,natural science,Cosmology,advanced,10,10,established,curated core,Origin structure evolution and fate of the universe
big_bang,Big Bang Model,theory,natural science,Cosmology,advanced,9,9,established,curated core,Hot dense early-universe cosmological model
dark_matter,Dark Matter,hypothesis,natural science,Cosmology,research,9,9,established,curated core,Nonluminous matter inferred from gravitational effects
dark_energy,Dark Energy,hypothesis,natural science,Cosmology,research,9,10,established,curated core,Component associated with accelerated cosmic expansion
galaxy_dynamics,Galaxy Dynamics,field,natural science,Astrophysics,advanced,8,9,established,curated core,Motion and mass distribution within gravitationally bound galaxies
exoplanets,Exoplanets,object,natural science,Planetary Science,intermediate,7,6,established,curated core,Planets orbiting stars beyond the Solar System
atlas_astronomy_cosmology_domain,Astronomy Cosmology and Space Science,discipline,science atlas,Astronomy Cosmology and Space Science,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_astronomy_cosmology_observational_astronomy,Observational astronomy,field,Astronomy Cosmology and Space Science,Observational astronomy,intermediate,9,7,active,discipline taxonomy,A major research field within Astronomy Cosmology and Space Science
atlas_astronomy_cosmology_observational_astronomy_optical_astronomy,optical astronomy,topic,Astronomy Cosmology and Space Science,Observational astronomy,advanced,8,8,active,subject taxonomy,A scientific subject studied within Observational astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_optical_astronomy_theoretical_foundation,optical astronomy: theoretical foundations,theory,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for optical astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_optical_astronomy_methods_and_instrument,optical astronomy: methods and instruments,method,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for optical astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_optical_astronomy_open_questions,optical astronomy: open questions,research frontier,Astronomy Cosmology and Space Science,Observational astronomy,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for optical astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_optical_astronomy_applications_and_impli,optical astronomy: applications and implications,application,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for optical astronomy
atlas_astronomy_cosmology_observational_astronomy_radio_astronomy,radio astronomy,topic,Astronomy Cosmology and Space Science,Observational astronomy,advanced,8,8,active,subject taxonomy,A scientific subject studied within Observational astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_radio_astronomy_theoretical_foundations,radio astronomy: theoretical foundations,theory,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for radio astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_radio_astronomy_methods_and_instruments,radio astronomy: methods and instruments,method,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for radio astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_radio_astronomy_open_questions,radio astronomy: open questions,research frontier,Astronomy Cosmology and Space Science,Observational astronomy,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for radio astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_radio_astronomy_applications_and_implica,radio astronomy: applications and implications,application,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for radio astronomy
atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy,infrared astronomy,topic,Astronomy Cosmology and Space Science,Observational astronomy,advanced,8,8,active,subject taxonomy,A scientific subject studied within Observational astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy_theoretical_foundatio,infrared astronomy: theoretical foundations,theory,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for infrared astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy_methods_and_instrumen,infrared astronomy: methods and instruments,method,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for infrared astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy_open_questions,infrared astronomy: open questions,research frontier,Astronomy Cosmology and Space Science,Observational astronomy,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for infrared astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy_applications_and_impl,infrared astronomy: applications and implications,application,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for infrared astronomy
atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy,high-energy astronomy,topic,Astronomy Cosmology and Space Science,Observational astronomy,advanced,8,8,active,subject taxonomy,A scientific subject studied within Observational astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy_theoretical_founda,high-energy astronomy: theoretical foundations,theory,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for high-energy astronomy
atlas_atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy_methods_and_instru,high-energy astronomy: methods and instruments,method,Astronomy Cosmology and Space Science,Observational astronomy,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for high-energy astronomy
