id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
earth_science,Earth Science,discipline,natural science,Earth Science,foundational,10,8,established,curated core,A major scientific discipline centered on earth science.
plate_tectonics,Plate Tectonics,theory,natural science,Geology,intermediate,9,7,established,curated core,Dynamics of lithospheric plates and planetary crust
remote_sensing,Remote Sensing,method,natural science,Earth Observation,advanced,8,7,established,curated core,Measurement of distant systems using electromagnetic signals
atlas_earth_geosciences_domain,Earth and Geosciences,discipline,science atlas,Earth and Geosciences,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_earth_geosciences_geology,Geology,field,Earth and Geosciences,Geology,intermediate,9,7,active,discipline taxonomy,A major research field within Earth and Geosciences
atlas_earth_geosciences_geology_mineralogy,mineralogy,topic,Earth and Geosciences,Geology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Geology
atlas_atlas_earth_geosciences_geology_mineralogy_theoretical_foundations,mineralogy: theoretical foundations,theory,Earth and Geosciences,Geology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for mineralogy
atlas_atlas_earth_geosciences_geology_mineralogy_methods_and_instruments,mineralogy: methods and instruments,method,Earth and Geosciences,Geology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for mineralogy
atlas_atlas_earth_geosciences_geology_mineralogy_open_questions,mineralogy: open questions,research frontier,Earth and Geosciences,Geology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for mineralogy
atlas_atlas_earth_geosciences_geology_mineralogy_applications_and_implications,mineralogy: applications and implications,application,Earth and Geosciences,Geology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for mineralogy
atlas_earth_geosciences_geology_petrology,petrology,topic,Earth and Geosciences,Geology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Geology
atlas_atlas_earth_geosciences_geology_petrology_theoretical_foundations,petrology: theoretical foundations,theory,Earth and Geosciences,Geology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for petrology
atlas_atlas_earth_geosciences_geology_petrology_methods_and_instruments,petrology: methods and instruments,method,Earth and Geosciences,Geology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for petrology
atlas_atlas_earth_geosciences_geology_petrology_open_questions,petrology: open questions,research frontier,Earth and Geosciences,Geology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for petrology
atlas_atlas_earth_geosciences_geology_petrology_applications_and_implications,petrology: applications and implications,application,Earth and Geosciences,Geology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for petrology
atlas_earth_geosciences_geology_sedimentology,sedimentology,topic,Earth and Geosciences,Geology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Geology
atlas_atlas_earth_geosciences_geology_sedimentology_theoretical_foundations,sedimentology: theoretical foundations,theory,Earth and Geosciences,Geology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for sedimentology
