source,target,relation,relation_detail,weight,directed,relation_family,provenance
evolution,natural_selection,process,driven_by,0.93,true,process,curated core
atlas_evolution_ecology_evolutionary_theory,evolution,structure,part_of,0.96,true,structure,atlas taxonomy
natural_selection,atlas_evolution_ecology_evolutionary_theory,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_natural_selection_theoretical_foundations,natural_selection,association,formalizes,0.82,true,association,atlas taxonomy
atlas_natural_selection_methods_and_instruments,natural_selection,association,method_for,0.82,true,association,atlas taxonomy
atlas_natural_selection_open_questions,natural_selection,association,investigates,0.72,true,association,atlas taxonomy
atlas_natural_selection_applications_and_implications,natural_selection,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_evolutionary_theory_genetic_drift,atlas_evolution_ecology_evolutionary_theory,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_genetic_drift_theoretical_foundations,atlas_evolution_ecology_evolutionary_theory_genetic_drift,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_genetic_drift_methods_and_instruments,atlas_evolution_ecology_evolutionary_theory_genetic_drift,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_genetic_drift_open_questions,atlas_evolution_ecology_evolutionary_theory_genetic_drift,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_genetic_drift_applications_and_implications,atlas_evolution_ecology_evolutionary_theory_genetic_drift,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_evolutionary_theory_mutation_and_variation,atlas_evolution_ecology_evolutionary_theory,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_mutation_and_variation_theoretical_foundations,atlas_evolution_ecology_evolutionary_theory_mutation_and_variation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_mutation_and_variation_methods_and_instruments,atlas_evolution_ecology_evolutionary_theory_mutation_and_variation,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_mutation_and_variation_open_questions,atlas_evolution_ecology_evolutionary_theory_mutation_and_variation,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_mutation_and_variation_applications_and_implic,atlas_evolution_ecology_evolutionary_theory_mutation_and_variation,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_evolutionary_theory_speciation,atlas_evolution_ecology_evolutionary_theory,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_speciation_theoretical_foundations,atlas_evolution_ecology_evolutionary_theory_speciation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_speciation_methods_and_instruments,atlas_evolution_ecology_evolutionary_theory_speciation,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_speciation_open_questions,atlas_evolution_ecology_evolutionary_theory_speciation,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_speciation_applications_and_implications,atlas_evolution_ecology_evolutionary_theory_speciation,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions,atlas_evolution_ecology_evolutionary_theory,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions_theoretical_fou,atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions_methods_and_ins,atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions_open_questions,atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions_applications_an,atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions,application,application_of,0.82,true,application,atlas taxonomy
natural_selection,atlas_evolution_ecology_evolutionary_theory_genetic_drift,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_evolutionary_theory_genetic_drift,atlas_evolution_ecology_evolutionary_theory_mutation_and_variation,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_evolutionary_theory_mutation_and_variation,atlas_evolution_ecology_evolutionary_theory_speciation,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_evolutionary_theory_speciation,atlas_evolution_ecology_evolutionary_theory_major_evolutionary_transitions,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_population_biology,evolution,structure,part_of,0.96,true,structure,atlas taxonomy
population_genetics,atlas_evolution_ecology_population_biology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_population_genetics_theoretical_foundations,population_genetics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_population_genetics_methods_and_instruments,population_genetics,association,method_for,0.82,true,association,atlas taxonomy
atlas_population_genetics_open_questions,population_genetics,association,investigates,0.72,true,association,atlas taxonomy
atlas_population_genetics_applications_and_implications,population_genetics,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_population_biology_quantitative_genetics,atlas_evolution_ecology_population_biology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_quantitative_genetics_theoretical_foundations,atlas_evolution_ecology_population_biology_quantitative_genetics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_quantitative_genetics_methods_and_instruments,atlas_evolution_ecology_population_biology_quantitative_genetics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_quantitative_genetics_open_questions,atlas_evolution_ecology_population_biology_quantitative_genetics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_quantitative_genetics_applications_and_implicat,atlas_evolution_ecology_population_biology_quantitative_genetics,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_population_biology_demographic_evolution,atlas_evolution_ecology_population_biology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_demographic_evolution_theoretical_foundations,atlas_evolution_ecology_population_biology_demographic_evolution,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_demographic_evolution_methods_and_instruments,atlas_evolution_ecology_population_biology_demographic_evolution,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_demographic_evolution_open_questions,atlas_evolution_ecology_population_biology_demographic_evolution,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_demographic_evolution_applications_and_implicat,atlas_evolution_ecology_population_biology_demographic_evolution,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_population_biology_coalescent_theory,atlas_evolution_ecology_population_biology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_coalescent_theory_theoretical_foundations,atlas_evolution_ecology_population_biology_coalescent_theory,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_coalescent_theory_methods_and_instruments,atlas_evolution_ecology_population_biology_coalescent_theory,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_coalescent_theory_open_questions,atlas_evolution_ecology_population_biology_coalescent_theory,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_coalescent_theory_applications_and_implications,atlas_evolution_ecology_population_biology_coalescent_theory,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_population_biology_evolutionary_game_theory,atlas_evolution_ecology_population_biology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_evolutionary_game_theory_theoretical_foundation,atlas_evolution_ecology_population_biology_evolutionary_game_theory,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_evolutionary_game_theory_methods_and_instrument,atlas_evolution_ecology_population_biology_evolutionary_game_theory,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_evolutionary_game_theory_open_questions,atlas_evolution_ecology_population_biology_evolutionary_game_theory,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_population_biology_evolutionary_game_theory_applications_and_impli,atlas_evolution_ecology_population_biology_evolutionary_game_theory,application,application_of,0.82,true,application,atlas taxonomy
population_genetics,atlas_evolution_ecology_population_biology_quantitative_genetics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_population_biology_quantitative_genetics,atlas_evolution_ecology_population_biology_demographic_evolution,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_population_biology_demographic_evolution,atlas_evolution_ecology_population_biology_coalescent_theory,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_population_biology_coalescent_theory,atlas_evolution_ecology_population_biology_evolutionary_game_theory,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_phylogenetics,evolution,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_evolution_ecology_phylogenetics_molecular_evolution,atlas_evolution_ecology_phylogenetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_molecular_evolution_theoretical_foundations,atlas_evolution_ecology_phylogenetics_molecular_evolution,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_molecular_evolution_methods_and_instruments,atlas_evolution_ecology_phylogenetics_molecular_evolution,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_molecular_evolution_open_questions,atlas_evolution_ecology_phylogenetics_molecular_evolution,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_molecular_evolution_applications_and_implications,atlas_evolution_ecology_phylogenetics_molecular_evolution,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_phylogenetics_phylogenetic_inference,atlas_evolution_ecology_phylogenetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_phylogenetic_inference_theoretical_foundations,atlas_evolution_ecology_phylogenetics_phylogenetic_inference,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_phylogenetic_inference_methods_and_instruments,atlas_evolution_ecology_phylogenetics_phylogenetic_inference,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_phylogenetic_inference_open_questions,atlas_evolution_ecology_phylogenetics_phylogenetic_inference,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_phylogenetic_inference_applications_and_implications,atlas_evolution_ecology_phylogenetics_phylogenetic_inference,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_phylogenetics_ancestral_reconstruction,atlas_evolution_ecology_phylogenetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_ancestral_reconstruction_theoretical_foundations,atlas_evolution_ecology_phylogenetics_ancestral_reconstruction,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_ancestral_reconstruction_methods_and_instruments,atlas_evolution_ecology_phylogenetics_ancestral_reconstruction,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_ancestral_reconstruction_open_questions,atlas_evolution_ecology_phylogenetics_ancestral_reconstruction,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_ancestral_reconstruction_applications_and_implicatio,atlas_evolution_ecology_phylogenetics_ancestral_reconstruction,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_phylogenetics_divergence_dating,atlas_evolution_ecology_phylogenetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_divergence_dating_theoretical_foundations,atlas_evolution_ecology_phylogenetics_divergence_dating,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_divergence_dating_methods_and_instruments,atlas_evolution_ecology_phylogenetics_divergence_dating,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_divergence_dating_open_questions,atlas_evolution_ecology_phylogenetics_divergence_dating,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_divergence_dating_applications_and_implications,atlas_evolution_ecology_phylogenetics_divergence_dating,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_phylogenetics_comparative_methods,atlas_evolution_ecology_phylogenetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_comparative_methods_theoretical_foundations,atlas_evolution_ecology_phylogenetics_comparative_methods,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_comparative_methods_methods_and_instruments,atlas_evolution_ecology_phylogenetics_comparative_methods,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_comparative_methods_open_questions,atlas_evolution_ecology_phylogenetics_comparative_methods,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_phylogenetics_comparative_methods_applications_and_implications,atlas_evolution_ecology_phylogenetics_comparative_methods,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_phylogenetics_molecular_evolution,atlas_evolution_ecology_phylogenetics_phylogenetic_inference,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_phylogenetics_phylogenetic_inference,atlas_evolution_ecology_phylogenetics_ancestral_reconstruction,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_phylogenetics_ancestral_reconstruction,atlas_evolution_ecology_phylogenetics_divergence_dating,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_phylogenetics_divergence_dating,atlas_evolution_ecology_phylogenetics_comparative_methods,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_evolution_ecology_evolutionary_ecology,evolution,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_evolution_ecology_evolutionary_ecology_sexual_selection,atlas_evolution_ecology_evolutionary_ecology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_sexual_selection_theoretical_foundations,atlas_evolution_ecology_evolutionary_ecology_sexual_selection,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_sexual_selection_methods_and_instruments,atlas_evolution_ecology_evolutionary_ecology_sexual_selection,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_sexual_selection_open_questions,atlas_evolution_ecology_evolutionary_ecology_sexual_selection,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_sexual_selection_applications_and_implication,atlas_evolution_ecology_evolutionary_ecology_sexual_selection,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_evolutionary_ecology_coevolution,atlas_evolution_ecology_evolutionary_ecology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_coevolution_theoretical_foundations,atlas_evolution_ecology_evolutionary_ecology_coevolution,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_coevolution_methods_and_instruments,atlas_evolution_ecology_evolutionary_ecology_coevolution,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_coevolution_open_questions,atlas_evolution_ecology_evolutionary_ecology_coevolution,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_coevolution_applications_and_implications,atlas_evolution_ecology_evolutionary_ecology_coevolution,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_evolutionary_ecology_host_parasite_evolution,atlas_evolution_ecology_evolutionary_ecology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_host_parasite_evolution_theoretical_foundatio,atlas_evolution_ecology_evolutionary_ecology_host_parasite_evolution,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_host_parasite_evolution_methods_and_instrumen,atlas_evolution_ecology_evolutionary_ecology_host_parasite_evolution,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_host_parasite_evolution_open_questions,atlas_evolution_ecology_evolutionary_ecology_host_parasite_evolution,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_host_parasite_evolution_applications_and_impl,atlas_evolution_ecology_evolutionary_ecology_host_parasite_evolution,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_evolutionary_ecology_niche_evolution,atlas_evolution_ecology_evolutionary_ecology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_niche_evolution_theoretical_foundations,atlas_evolution_ecology_evolutionary_ecology_niche_evolution,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_niche_evolution_methods_and_instruments,atlas_evolution_ecology_evolutionary_ecology_niche_evolution,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_niche_evolution_open_questions,atlas_evolution_ecology_evolutionary_ecology_niche_evolution,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_evolution_ecology_evolutionary_ecology_niche_evolution_applications_and_implications,atlas_evolution_ecology_evolutionary_ecology_niche_evolution,application,application_of,0.82,true,application,atlas taxonomy
atlas_evolution_ecology_evolutionary_ecology_adaptive_radiation,atlas_evolution_ecology_evolutionary_ecology,structure,part_of,0.94,true,structure,atlas taxonomy
