source,target,relation,relation_detail,weight,directed,relation_family,provenance
classical_mechanics,physics,structure,part_of,0.96,true,structure,curated core
thermodynamics,physics,structure,part_of,0.96,true,structure,curated core
statistical_mechanics,physics,structure,part_of,0.96,true,structure,curated core
electromagnetism,physics,structure,part_of,0.96,true,structure,curated core
optics,physics,structure,part_of,0.96,true,structure,curated core
special_relativity,physics,structure,part_of,0.96,true,structure,curated core
general_relativity,physics,structure,part_of,0.96,true,structure,curated core
quantum_mechanics,physics,structure,part_of,0.96,true,structure,curated core
quantum_field_theory,physics,structure,part_of,0.96,true,structure,curated core
standard_model,physics,structure,part_of,0.96,true,structure,curated core
particle_physics,physics,structure,part_of,0.96,true,structure,curated core
nuclear_physics,physics,structure,part_of,0.96,true,structure,curated core
fluid_dynamics,physics,structure,part_of,0.96,true,structure,curated core
plasma_physics,physics,structure,part_of,0.96,true,structure,curated core
wave_particle_duality,physics,structure,part_of,0.96,true,structure,curated core
symmetry_breaking,physics,structure,part_of,0.96,true,structure,curated core
classical_mechanics,special_relativity,generalization,extended_by,0.58,true,generalization,curated core
classical_mechanics,fluid_dynamics,foundation,supports,0.63,true,foundation,curated core
thermodynamics,statistical_mechanics,explanation,explained_by,0.68,true,explanation,curated core
electromagnetism,optics,explanation,explains,0.78,true,explanation,curated core
electromagnetism,special_relativity,interaction,consistent_with,0.83,true,interaction,curated core
special_relativity,general_relativity,generalization,generalized_by,0.88,true,generalization,curated core
quantum_mechanics,quantum_field_theory,generalization,generalized_by,0.93,true,generalization,curated core
quantum_field_theory,standard_model,explanation,implements,0.58,true,explanation,curated core
standard_model,particle_physics,explanation,explains,0.63,true,explanation,curated core
quantum_mechanics,wave_particle_duality,explanation,explains,0.78,true,explanation,curated core
symmetry_breaking,standard_model,association,organizes,0.83,true,association,curated core
atlas_fundamental_physics_classical_and_continuum_physics,atlas_fundamental_physics_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics,atlas_fundamental_physics_classical_and_continuum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics_theoretical,atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics_methods_and,atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics_open_questi,atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics_application,atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics,atlas_fundamental_physics_classical_and_continuum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics_theoretical_,atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics_methods_and_,atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics_open_questio,atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics_applications,atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics,atlas_fundamental_physics_classical_and_continuum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics_theoretical_foun,atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics_methods_and_inst,atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics_open_questions,atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics_applications_and,atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory,atlas_fundamental_physics_classical_and_continuum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory_theoretic,atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory_methods_a,atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory_open_ques,atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory_applicati,atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves,atlas_fundamental_physics_classical_and_continuum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves_theoretical_foun,atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves_methods_and_inst,atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves_open_questions,atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves_applications_and,atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_classical_and_continuum_physics_analytical_mechanics,atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_fundamental_physics_classical_and_continuum_physics_continuum_mechanics,atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_fundamental_physics_classical_and_continuum_physics_fluid_mechanics,atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_fundamental_physics_classical_and_continuum_physics_classical_field_theory,atlas_fundamental_physics_classical_and_continuum_physics_nonlinear_waves,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_fundamental_physics_quantum_physics,atlas_fundamental_physics_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_fundamental_physics_quantum_physics_quantum_foundations,atlas_fundamental_physics_quantum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_foundations_theoretical_foundations,atlas_fundamental_physics_quantum_physics_quantum_foundations,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_foundations_methods_and_instruments,atlas_fundamental_physics_quantum_physics_quantum_foundations,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_foundations_open_questions,atlas_fundamental_physics_quantum_physics_quantum_foundations,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_foundations_applications_and_implication,atlas_fundamental_physics_quantum_physics_quantum_foundations,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_quantum_physics_quantum_measurement,atlas_fundamental_physics_quantum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_measurement_theoretical_foundations,atlas_fundamental_physics_quantum_physics_quantum_measurement,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_measurement_methods_and_instruments,atlas_fundamental_physics_quantum_physics_quantum_measurement,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_measurement_open_questions,atlas_fundamental_physics_quantum_physics_quantum_measurement,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_measurement_applications_and_implication,atlas_fundamental_physics_quantum_physics_quantum_measurement,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_quantum_physics_open_quantum_systems,atlas_fundamental_physics_quantum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_open_quantum_systems_theoretical_foundations,atlas_fundamental_physics_quantum_physics_open_quantum_systems,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_open_quantum_systems_methods_and_instruments,atlas_fundamental_physics_quantum_physics_open_quantum_systems,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_open_quantum_systems_open_questions,atlas_fundamental_physics_quantum_physics_open_quantum_systems,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_open_quantum_systems_applications_and_implicatio,atlas_fundamental_physics_quantum_physics_open_quantum_systems,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_quantum_physics_many_body_quantum_theory,atlas_fundamental_physics_quantum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_many_body_quantum_theory_theoretical_foundations,atlas_fundamental_physics_quantum_physics_many_body_quantum_theory,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_many_body_quantum_theory_methods_and_instruments,atlas_fundamental_physics_quantum_physics_many_body_quantum_theory,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_many_body_quantum_theory_open_questions,atlas_fundamental_physics_quantum_physics_many_body_quantum_theory,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_many_body_quantum_theory_applications_and_implic,atlas_fundamental_physics_quantum_physics_many_body_quantum_theory,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_quantum_physics_quantum_information,atlas_fundamental_physics_quantum_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_information_theoretical_foundations,atlas_fundamental_physics_quantum_physics_quantum_information,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_information_methods_and_instruments,atlas_fundamental_physics_quantum_physics_quantum_information,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_information_open_questions,atlas_fundamental_physics_quantum_physics_quantum_information,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_quantum_physics_quantum_information_applications_and_implication,atlas_fundamental_physics_quantum_physics_quantum_information,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_quantum_physics_quantum_foundations,atlas_fundamental_physics_quantum_physics_quantum_measurement,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_fundamental_physics_quantum_physics_quantum_measurement,atlas_fundamental_physics_quantum_physics_open_quantum_systems,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_fundamental_physics_quantum_physics_open_quantum_systems,atlas_fundamental_physics_quantum_physics_many_body_quantum_theory,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_fundamental_physics_quantum_physics_many_body_quantum_theory,atlas_fundamental_physics_quantum_physics_quantum_information,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_fundamental_physics_relativity_and_gravitation,atlas_fundamental_physics_domain,structure,part_of,0.96,true,structure,atlas taxonomy
special_relativity,atlas_fundamental_physics_relativity_and_gravitation,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_special_relativity_theoretical_foundations,special_relativity,association,formalizes,0.82,true,association,atlas taxonomy
atlas_special_relativity_methods_and_instruments,special_relativity,association,method_for,0.82,true,association,atlas taxonomy
atlas_special_relativity_open_questions,special_relativity,association,investigates,0.72,true,association,atlas taxonomy
atlas_special_relativity_applications_and_implications,special_relativity,application,application_of,0.82,true,application,atlas taxonomy
general_relativity,atlas_fundamental_physics_relativity_and_gravitation,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_general_relativity_theoretical_foundations,general_relativity,association,formalizes,0.82,true,association,atlas taxonomy
atlas_general_relativity_methods_and_instruments,general_relativity,association,method_for,0.82,true,association,atlas taxonomy
atlas_general_relativity_open_questions,general_relativity,association,investigates,0.72,true,association,atlas taxonomy
atlas_general_relativity_applications_and_implications,general_relativity,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_relativity_and_gravitation_black_hole_physics,atlas_fundamental_physics_relativity_and_gravitation,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_black_hole_physics_theoretical_founda,atlas_fundamental_physics_relativity_and_gravitation_black_hole_physics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_black_hole_physics_methods_and_instru,atlas_fundamental_physics_relativity_and_gravitation_black_hole_physics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_black_hole_physics_open_questions,atlas_fundamental_physics_relativity_and_gravitation_black_hole_physics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_black_hole_physics_applications_and_i,atlas_fundamental_physics_relativity_and_gravitation_black_hole_physics,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_relativity_and_gravitation_gravitational_radiation,atlas_fundamental_physics_relativity_and_gravitation,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_gravitational_radiation_theoretical_f,atlas_fundamental_physics_relativity_and_gravitation_gravitational_radiation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_gravitational_radiation_methods_and_i,atlas_fundamental_physics_relativity_and_gravitation_gravitational_radiation,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_gravitational_radiation_open_question,atlas_fundamental_physics_relativity_and_gravitation_gravitational_radiation,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_gravitational_radiation_applications_,atlas_fundamental_physics_relativity_and_gravitation_gravitational_radiation,application,application_of,0.82,true,application,atlas taxonomy
atlas_fundamental_physics_relativity_and_gravitation_relativistic_astrophysics,atlas_fundamental_physics_relativity_and_gravitation,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_relativistic_astrophysics_theoretical,atlas_fundamental_physics_relativity_and_gravitation_relativistic_astrophysics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_relativistic_astrophysics_methods_and,atlas_fundamental_physics_relativity_and_gravitation_relativistic_astrophysics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_fundamental_physics_relativity_and_gravitation_relativistic_astrophysics_open_questi,atlas_fundamental_physics_relativity_and_gravitation_relativistic_astrophysics,association,investigates,0.72,true,association,atlas taxonomy
