id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
neurobiology,Neurobiology,discipline,life science,Neurobiology,foundational,10,8,established,curated core,A major scientific discipline centered on neurobiology.
neuroscience,Neuroscience,discipline,life science,Neuroscience,foundational,10,8,established,curated core,A major scientific discipline centered on neuroscience.
neuron,Neuron,cell,life science,Cellular Neurobiology,foundational,10,6,established,curated core,Electrically excitable signaling cell of nervous systems
synapse,Synapse,structure,life science,Cellular Neurobiology,intermediate,10,7,established,curated core,Junction transmitting signals between cells
action_potential,Action Potential,process,life science,Cellular Neurobiology,intermediate,10,7,established,curated core,Regenerative electrical signal across a cell membrane
neurotransmitter,Neurotransmitters,molecule,life science,Molecular Neurobiology,intermediate,9,7,established,curated core,Chemical messengers released at synapses
neural_plasticity,Neural Plasticity,process,life science,Systems Neuroscience,advanced,10,9,established,curated core,Experience-dependent change in neural structure or function
hebbian_learning,Hebbian Learning,principle,interdisciplinary science,Computational Neuroscience,advanced,9,8,established,curated core,Activity-dependent strengthening of coupled neurons
predictive_coding,Predictive Coding,theory,interdisciplinary science,Computational Neuroscience,research,8,9,established,curated core,Hierarchical inference minimizing prediction error
neural_coding,Neural Coding,field,interdisciplinary science,Computational Neuroscience,advanced,9,9,established,curated core,Representation and transformation of information by neural activity
connectome,Connectome,information structure,interdisciplinary science,Systems Neuroscience,research,8,8,established,curated core,Map of structural or functional neural connections
brain_networks,Brain Networks,field,interdisciplinary science,Network Neuroscience,research,9,9,established,curated core,Graph-structured organization of interacting brain regions
glia,Glial Cells,cell,life science,Cellular Neurobiology,intermediate,8,7,established,curated core,Non-neuronal cells supporting and modulating nervous systems
brain_computer_interface,Brain-Computer Interface,technology,interdisciplinary science,Neuroengineering,research,8,9,established,curated core,Direct communication between neural activity and external devices
fmri,Functional MRI,method,interdisciplinary science,Neuroimaging,advanced,8,8,established,curated core,Indirect measurement of brain activity using hemodynamic signals
eeg,Electroencephalography,method,interdisciplinary science,Neuroimaging,intermediate,8,7,established,curated core,Measurement of scalp electrical potentials generated by neural activity
neurodegeneration,Neurodegeneration,process,life science,Neurology,research,9,9,established,curated core,Progressive loss of neuronal structure or function
atlas_neuroscience_domain,Neuroscience and Neurobiology,discipline,science atlas,Neuroscience and Neurobiology,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_neuroscience_cellular_neuroscience,Cellular neuroscience,field,Neuroscience and Neurobiology,Cellular neuroscience,intermediate,9,7,active,discipline taxonomy,A major research field within Neuroscience and Neurobiology
atlas_neuroscience_cellular_neuroscience_neurons_and_glia,neurons and glia,topic,Neuroscience and Neurobiology,Cellular neuroscience,advanced,8,8,active,subject taxonomy,A scientific subject studied within Cellular neuroscience
