source,target,relation,relation_detail,weight,directed,relation_family,provenance
atlas_ocean_marine_physical_oceanography,atlas_ocean_marine_domain,structure,part_of,0.96,true,structure,atlas taxonomy
ocean_circulation,atlas_ocean_marine_physical_oceanography,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_ocean_circulation_theoretical_foundations,ocean_circulation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_ocean_circulation_methods_and_instruments,ocean_circulation,association,method_for,0.82,true,association,atlas taxonomy
atlas_ocean_circulation_open_questions,ocean_circulation,association,investigates,0.72,true,association,atlas taxonomy
atlas_ocean_circulation_applications_and_implications,ocean_circulation,application,application_of,0.82,true,application,atlas taxonomy
atlas_ocean_marine_physical_oceanography_air_sea_interaction,atlas_ocean_marine_physical_oceanography,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_ocean_marine_physical_oceanography_air_sea_interaction_theoretical_foundations,atlas_ocean_marine_physical_oceanography_air_sea_interaction,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_ocean_marine_physical_oceanography_air_sea_interaction_methods_and_instruments,atlas_ocean_marine_physical_oceanography_air_sea_interaction,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_ocean_marine_physical_oceanography_air_sea_interaction_open_questions,atlas_ocean_marine_physical_oceanography_air_sea_interaction,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_ocean_marine_physical_oceanography_air_sea_interaction_applications_and_implications,atlas_ocean_marine_physical_oceanography_air_sea_interaction,application,application_of,0.82,true,application,atlas taxonomy
atlas_ocean_marine_physical_oceanography_tides_and_waves,atlas_ocean_marine_physical_oceanography,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_ocean_marine_physical_oceanography_tides_and_waves_theoretical_foundations,atlas_ocean_marine_physical_oceanography_tides_and_waves,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_ocean_marine_physical_oceanography_tides_and_waves_methods_and_instruments,atlas_ocean_marine_physical_oceanography_tides_and_waves,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_ocean_marine_physical_oceanography_tides_and_waves_open_questions,atlas_ocean_marine_physical_oceanography_tides_and_waves,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_ocean_marine_physical_oceanography_tides_and_waves_applications_and_implications,atlas_ocean_marine_physical_oceanography_tides_and_waves,application,application_of,0.82,true,application,atlas taxonomy
atlas_ocean_marine_physical_oceanography_ocean_mixing,atlas_ocean_marine_physical_oceanography,structure,part_of,0.94,true,structure,atlas taxonomy
