id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
genetics,Genetics,field,natural and life science,Genetics,intermediate,10,8,established,curated core,Inheritance variation and genome function
epigenetics,Epigenetics,field,natural and life science,Genetics,advanced,9,8,established,curated core,Heritable regulation beyond DNA sequence changes
gene_regulation,Gene Regulation,process,natural and life science,Molecular Biology,advanced,10,8,established,curated core,Control of gene expression across contexts
gene,Gene,information structure,natural and life science,Genetics,foundational,10,5,established,curated core,Heritable genomic unit contributing to function
genome,Genome,information structure,natural and life science,Genetics,intermediate,9,6,established,curated core,Complete genetic material of an organism
genomics,Genomics,field,applied science,Precision Medicine,advanced,9,8,established,curated core,Large-scale analysis of genomes and their function
atlas_genetics_genomics_domain,Genetics Genomics and Epigenetics,discipline,science atlas,Genetics Genomics and Epigenetics,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_genetics_genomics_classical_genetics,Classical genetics,field,Genetics Genomics and Epigenetics,Classical genetics,intermediate,9,7,active,discipline taxonomy,A major research field within Genetics Genomics and Epigenetics
atlas_genetics_genomics_classical_genetics_mendelian_inheritance,Mendelian inheritance,topic,Genetics Genomics and Epigenetics,Classical genetics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Classical genetics
atlas_atlas_genetics_genomics_classical_genetics_mendelian_inheritance_theoretical_foundations,Mendelian inheritance: theoretical foundations,theory,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for Mendelian inheritance
atlas_atlas_genetics_genomics_classical_genetics_mendelian_inheritance_methods_and_instruments,Mendelian inheritance: methods and instruments,method,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for Mendelian inheritance
atlas_atlas_genetics_genomics_classical_genetics_mendelian_inheritance_open_questions,Mendelian inheritance: open questions,research frontier,Genetics Genomics and Epigenetics,Classical genetics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for Mendelian inheritance
atlas_atlas_genetics_genomics_classical_genetics_mendelian_inheritance_applications_and_implicat,Mendelian inheritance: applications and implications,application,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for Mendelian inheritance
atlas_genetics_genomics_classical_genetics_linkage_and_recombination,linkage and recombination,topic,Genetics Genomics and Epigenetics,Classical genetics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Classical genetics
atlas_atlas_genetics_genomics_classical_genetics_linkage_and_recombination_theoretical_foundatio,linkage and recombination: theoretical foundations,theory,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for linkage and recombination
atlas_atlas_genetics_genomics_classical_genetics_linkage_and_recombination_methods_and_instrumen,linkage and recombination: methods and instruments,method,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for linkage and recombination
atlas_atlas_genetics_genomics_classical_genetics_linkage_and_recombination_open_questions,linkage and recombination: open questions,research frontier,Genetics Genomics and Epigenetics,Classical genetics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for linkage and recombination
atlas_atlas_genetics_genomics_classical_genetics_linkage_and_recombination_applications_and_impl,linkage and recombination: applications and implications,application,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for linkage and recombination
atlas_genetics_genomics_classical_genetics_cytogenetics,cytogenetics,topic,Genetics Genomics and Epigenetics,Classical genetics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Classical genetics
atlas_atlas_genetics_genomics_classical_genetics_cytogenetics_theoretical_foundations,cytogenetics: theoretical foundations,theory,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for cytogenetics
atlas_atlas_genetics_genomics_classical_genetics_cytogenetics_methods_and_instruments,cytogenetics: methods and instruments,method,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for cytogenetics
atlas_atlas_genetics_genomics_classical_genetics_cytogenetics_open_questions,cytogenetics: open questions,research frontier,Genetics Genomics and Epigenetics,Classical genetics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for cytogenetics
atlas_atlas_genetics_genomics_classical_genetics_cytogenetics_applications_and_implications,cytogenetics: applications and implications,application,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for cytogenetics
atlas_genetics_genomics_classical_genetics_mutagenesis,mutagenesis,topic,Genetics Genomics and Epigenetics,Classical genetics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Classical genetics
atlas_atlas_genetics_genomics_classical_genetics_mutagenesis_theoretical_foundations,mutagenesis: theoretical foundations,theory,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for mutagenesis
atlas_atlas_genetics_genomics_classical_genetics_mutagenesis_methods_and_instruments,mutagenesis: methods and instruments,method,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for mutagenesis
atlas_atlas_genetics_genomics_classical_genetics_mutagenesis_open_questions,mutagenesis: open questions,research frontier,Genetics Genomics and Epigenetics,Classical genetics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for mutagenesis
atlas_atlas_genetics_genomics_classical_genetics_mutagenesis_applications_and_implications,mutagenesis: applications and implications,application,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for mutagenesis
atlas_genetics_genomics_classical_genetics_complex_traits,complex traits,topic,Genetics Genomics and Epigenetics,Classical genetics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Classical genetics
atlas_atlas_genetics_genomics_classical_genetics_complex_traits_theoretical_foundations,complex traits: theoretical foundations,theory,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for complex traits
atlas_atlas_genetics_genomics_classical_genetics_complex_traits_methods_and_instruments,complex traits: methods and instruments,method,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for complex traits
atlas_atlas_genetics_genomics_classical_genetics_complex_traits_open_questions,complex traits: open questions,research frontier,Genetics Genomics and Epigenetics,Classical genetics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for complex traits
atlas_atlas_genetics_genomics_classical_genetics_complex_traits_applications_and_implications,complex traits: applications and implications,application,Genetics Genomics and Epigenetics,Classical genetics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for complex traits
atlas_genetics_genomics_molecular_genetics,Molecular genetics,field,Genetics Genomics and Epigenetics,Molecular genetics,intermediate,9,7,active,discipline taxonomy,A major research field within Genetics Genomics and Epigenetics
atlas_genetics_genomics_molecular_genetics_gene_structure,gene structure,topic,Genetics Genomics and Epigenetics,Molecular genetics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Molecular genetics
atlas_atlas_genetics_genomics_molecular_genetics_gene_structure_theoretical_foundations,gene structure: theoretical foundations,theory,Genetics Genomics and Epigenetics,Molecular genetics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for gene structure
atlas_atlas_genetics_genomics_molecular_genetics_gene_structure_methods_and_instruments,gene structure: methods and instruments,method,Genetics Genomics and Epigenetics,Molecular genetics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for gene structure
atlas_atlas_genetics_genomics_molecular_genetics_gene_structure_open_questions,gene structure: open questions,research frontier,Genetics Genomics and Epigenetics,Molecular genetics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for gene structure
atlas_atlas_genetics_genomics_molecular_genetics_gene_structure_applications_and_implications,gene structure: applications and implications,application,Genetics Genomics and Epigenetics,Molecular genetics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for gene structure
atlas_genetics_genomics_molecular_genetics_dna_replication,DNA replication,topic,Genetics Genomics and Epigenetics,Molecular genetics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Molecular genetics
atlas_atlas_genetics_genomics_molecular_genetics_dna_replication_theoretical_foundations,DNA replication: theoretical foundations,theory,Genetics Genomics and Epigenetics,Molecular genetics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for DNA replication
atlas_atlas_genetics_genomics_molecular_genetics_dna_replication_methods_and_instruments,DNA replication: methods and instruments,method,Genetics Genomics and Epigenetics,Molecular genetics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for DNA replication
