source,target,relation,relation_detail,weight,directed,relation_family,provenance
climate_system,carbon_cycle,interaction,couples,0.93,true,interaction,curated core
atlas_climate_atmosphere_atmospheric_physics,atlas_climate_atmosphere_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_climate_atmosphere_atmospheric_physics_radiative_transfer,atlas_climate_atmosphere_atmospheric_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_climate_atmosphere_atmospheric_physics_radiative_transfer_theoretical_foundations,atlas_climate_atmosphere_atmospheric_physics_radiative_transfer,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_climate_atmosphere_atmospheric_physics_radiative_transfer_methods_and_instruments,atlas_climate_atmosphere_atmospheric_physics_radiative_transfer,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_climate_atmosphere_atmospheric_physics_radiative_transfer_open_questions,atlas_climate_atmosphere_atmospheric_physics_radiative_transfer,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_climate_atmosphere_atmospheric_physics_radiative_transfer_applications_and_implicati,atlas_climate_atmosphere_atmospheric_physics_radiative_transfer,application,application_of,0.82,true,application,atlas taxonomy
atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics,atlas_climate_atmosphere_atmospheric_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics_theoretical_foundations,atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics_methods_and_instruments,atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics_open_questions,atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics_applications_and_implicati,atlas_climate_atmosphere_atmospheric_physics_cloud_microphysics,application,application_of,0.82,true,application,atlas taxonomy
atlas_climate_atmosphere_atmospheric_physics_atmospheric_dynamics,atlas_climate_atmosphere_atmospheric_physics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_climate_atmosphere_atmospheric_physics_atmospheric_dynamics_theoretical_foundations,atlas_climate_atmosphere_atmospheric_physics_atmospheric_dynamics,association,formalizes,0.82,true,association,atlas taxonomy
