source,target,relation,relation_detail,weight,directed,relation_family,provenance
epidemiology,atlas_public_population_health_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_public_population_health_epidemiology_infectious_disease_epidemiology,epidemiology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_infectious_disease_epidemiology_theoretical_fo,atlas_public_population_health_epidemiology_infectious_disease_epidemiology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_infectious_disease_epidemiology_methods_and_in,atlas_public_population_health_epidemiology_infectious_disease_epidemiology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_infectious_disease_epidemiology_open_questions,atlas_public_population_health_epidemiology_infectious_disease_epidemiology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_infectious_disease_epidemiology_applications_a,atlas_public_population_health_epidemiology_infectious_disease_epidemiology,application,application_of,0.82,true,application,atlas taxonomy
atlas_public_population_health_epidemiology_chronic_disease_epidemiology,epidemiology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_chronic_disease_epidemiology_theoretical_found,atlas_public_population_health_epidemiology_chronic_disease_epidemiology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_chronic_disease_epidemiology_methods_and_instr,atlas_public_population_health_epidemiology_chronic_disease_epidemiology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_chronic_disease_epidemiology_open_questions,atlas_public_population_health_epidemiology_chronic_disease_epidemiology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_chronic_disease_epidemiology_applications_and_,atlas_public_population_health_epidemiology_chronic_disease_epidemiology,application,application_of,0.82,true,application,atlas taxonomy
atlas_public_population_health_epidemiology_molecular_epidemiology,epidemiology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_molecular_epidemiology_theoretical_foundations,atlas_public_population_health_epidemiology_molecular_epidemiology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_molecular_epidemiology_methods_and_instruments,atlas_public_population_health_epidemiology_molecular_epidemiology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_molecular_epidemiology_open_questions,atlas_public_population_health_epidemiology_molecular_epidemiology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_molecular_epidemiology_applications_and_implic,atlas_public_population_health_epidemiology_molecular_epidemiology,application,application_of,0.82,true,application,atlas taxonomy
atlas_public_population_health_epidemiology_causal_epidemiology,epidemiology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_causal_epidemiology_theoretical_foundations,atlas_public_population_health_epidemiology_causal_epidemiology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_public_population_health_epidemiology_causal_epidemiology_methods_and_instruments,atlas_public_population_health_epidemiology_causal_epidemiology,association,method_for,0.82,true,association,atlas taxonomy
