id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
memory,Memory,process,interdisciplinary science,Cognitive Neuroscience,advanced,10,9,established,curated core,Encoding consolidation storage and retrieval of information
attention,Attention,process,interdisciplinary science,Cognitive Neuroscience,advanced,9,8,established,curated core,Selective prioritization of information processing
consciousness,Consciousness,phenomenon,interdisciplinary science,Cognitive Neuroscience,research,10,10,established,curated core,Subjective awareness and integrated experience
vision,Visual Perception,process,interdisciplinary science,Sensory Neuroscience,advanced,9,8,established,curated core,Neural interpretation of visual signals
motor_control,Motor Control,process,interdisciplinary science,Systems Neuroscience,advanced,8,8,established,curated core,Neural planning and regulation of movement
atlas_cognitive_behavioral_domain,Cognitive and Behavioral Sciences,discipline,science atlas,Cognitive and Behavioral Sciences,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_cognitive_behavioral_cognitive_psychology,Cognitive psychology,field,Cognitive and Behavioral Sciences,Cognitive psychology,intermediate,9,7,active,discipline taxonomy,A major research field within Cognitive and Behavioral Sciences
atlas_cognitive_behavioral_cognitive_psychology_perception,perception,topic,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Cognitive psychology
atlas_atlas_cognitive_behavioral_cognitive_psychology_perception_theoretical_foundations,perception: theoretical foundations,theory,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for perception
atlas_atlas_cognitive_behavioral_cognitive_psychology_perception_methods_and_instruments,perception: methods and instruments,method,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for perception
atlas_atlas_cognitive_behavioral_cognitive_psychology_perception_open_questions,perception: open questions,research frontier,Cognitive and Behavioral Sciences,Cognitive psychology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for perception
atlas_atlas_cognitive_behavioral_cognitive_psychology_perception_applications_and_implications,perception: applications and implications,application,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for perception
atlas_cognitive_behavioral_cognitive_psychology_working_memory,working memory,topic,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Cognitive psychology
atlas_atlas_cognitive_behavioral_cognitive_psychology_working_memory_theoretical_foundations,working memory: theoretical foundations,theory,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for working memory
atlas_atlas_cognitive_behavioral_cognitive_psychology_working_memory_methods_and_instruments,working memory: methods and instruments,method,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for working memory
atlas_atlas_cognitive_behavioral_cognitive_psychology_working_memory_open_questions,working memory: open questions,research frontier,Cognitive and Behavioral Sciences,Cognitive psychology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for working memory
atlas_atlas_cognitive_behavioral_cognitive_psychology_working_memory_applications_and_implicatio,working memory: applications and implications,application,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for working memory
atlas_cognitive_behavioral_cognitive_psychology_reasoning,reasoning,topic,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Cognitive psychology
atlas_atlas_cognitive_behavioral_cognitive_psychology_reasoning_theoretical_foundations,reasoning: theoretical foundations,theory,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for reasoning
atlas_atlas_cognitive_behavioral_cognitive_psychology_reasoning_methods_and_instruments,reasoning: methods and instruments,method,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for reasoning
atlas_atlas_cognitive_behavioral_cognitive_psychology_reasoning_open_questions,reasoning: open questions,research frontier,Cognitive and Behavioral Sciences,Cognitive psychology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for reasoning
atlas_atlas_cognitive_behavioral_cognitive_psychology_reasoning_applications_and_implications,reasoning: applications and implications,application,Cognitive and Behavioral Sciences,Cognitive psychology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for reasoning
