source,target,relation,relation_detail,weight,directed,relation_family,provenance
atlas_materials_science_electronic_materials,atlas_materials_science_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_materials_science_electronic_materials_semiconductors,atlas_materials_science_electronic_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_semiconductors_theoretical_foundations,atlas_materials_science_electronic_materials_semiconductors,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_semiconductors_methods_and_instruments,atlas_materials_science_electronic_materials_semiconductors,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_semiconductors_open_questions,atlas_materials_science_electronic_materials_semiconductors,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_semiconductors_applications_and_implications,atlas_materials_science_electronic_materials_semiconductors,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_electronic_materials_superconductors,atlas_materials_science_electronic_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_superconductors_theoretical_foundations,atlas_materials_science_electronic_materials_superconductors,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_superconductors_methods_and_instruments,atlas_materials_science_electronic_materials_superconductors,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_superconductors_open_questions,atlas_materials_science_electronic_materials_superconductors,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_superconductors_applications_and_implications,atlas_materials_science_electronic_materials_superconductors,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_electronic_materials_topological_materials,atlas_materials_science_electronic_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_topological_materials_theoretical_foundations,atlas_materials_science_electronic_materials_topological_materials,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_topological_materials_methods_and_instruments,atlas_materials_science_electronic_materials_topological_materials,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_topological_materials_open_questions,atlas_materials_science_electronic_materials_topological_materials,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_topological_materials_applications_and_implic,atlas_materials_science_electronic_materials_topological_materials,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_electronic_materials_dielectrics,atlas_materials_science_electronic_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_dielectrics_theoretical_foundations,atlas_materials_science_electronic_materials_dielectrics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_dielectrics_methods_and_instruments,atlas_materials_science_electronic_materials_dielectrics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_dielectrics_open_questions,atlas_materials_science_electronic_materials_dielectrics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_dielectrics_applications_and_implications,atlas_materials_science_electronic_materials_dielectrics,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_electronic_materials_spintronics,atlas_materials_science_electronic_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_spintronics_theoretical_foundations,atlas_materials_science_electronic_materials_spintronics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_spintronics_methods_and_instruments,atlas_materials_science_electronic_materials_spintronics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_spintronics_open_questions,atlas_materials_science_electronic_materials_spintronics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_electronic_materials_spintronics_applications_and_implications,atlas_materials_science_electronic_materials_spintronics,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_electronic_materials_semiconductors,atlas_materials_science_electronic_materials_superconductors,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_materials_science_electronic_materials_superconductors,atlas_materials_science_electronic_materials_topological_materials,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_materials_science_electronic_materials_topological_materials,atlas_materials_science_electronic_materials_dielectrics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_materials_science_electronic_materials_dielectrics,atlas_materials_science_electronic_materials_spintronics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_materials_science_structural_materials,atlas_materials_science_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_materials_science_structural_materials_metals_and_alloys,atlas_materials_science_structural_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_structural_materials_metals_and_alloys_theoretical_foundations,atlas_materials_science_structural_materials_metals_and_alloys,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_metals_and_alloys_methods_and_instruments,atlas_materials_science_structural_materials_metals_and_alloys,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_metals_and_alloys_open_questions,atlas_materials_science_structural_materials_metals_and_alloys,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_metals_and_alloys_applications_and_implicatio,atlas_materials_science_structural_materials_metals_and_alloys,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_structural_materials_ceramics,atlas_materials_science_structural_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_structural_materials_ceramics_theoretical_foundations,atlas_materials_science_structural_materials_ceramics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_ceramics_methods_and_instruments,atlas_materials_science_structural_materials_ceramics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_ceramics_open_questions,atlas_materials_science_structural_materials_ceramics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_ceramics_applications_and_implications,atlas_materials_science_structural_materials_ceramics,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_structural_materials_polymers,atlas_materials_science_structural_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_structural_materials_polymers_theoretical_foundations,atlas_materials_science_structural_materials_polymers,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_polymers_methods_and_instruments,atlas_materials_science_structural_materials_polymers,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_polymers_open_questions,atlas_materials_science_structural_materials_polymers,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_polymers_applications_and_implications,atlas_materials_science_structural_materials_polymers,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_structural_materials_composites,atlas_materials_science_structural_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_structural_materials_composites_theoretical_foundations,atlas_materials_science_structural_materials_composites,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_composites_methods_and_instruments,atlas_materials_science_structural_materials_composites,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_composites_open_questions,atlas_materials_science_structural_materials_composites,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_composites_applications_and_implications,atlas_materials_science_structural_materials_composites,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_structural_materials_fracture_and_fatigue,atlas_materials_science_structural_materials,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_structural_materials_fracture_and_fatigue_theoretical_foundations,atlas_materials_science_structural_materials_fracture_and_fatigue,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_fracture_and_fatigue_methods_and_instruments,atlas_materials_science_structural_materials_fracture_and_fatigue,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_fracture_and_fatigue_open_questions,atlas_materials_science_structural_materials_fracture_and_fatigue,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_materials_science_structural_materials_fracture_and_fatigue_applications_and_implica,atlas_materials_science_structural_materials_fracture_and_fatigue,application,application_of,0.82,true,application,atlas taxonomy
atlas_materials_science_structural_materials_metals_and_alloys,atlas_materials_science_structural_materials_ceramics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_materials_science_structural_materials_ceramics,atlas_materials_science_structural_materials_polymers,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_materials_science_structural_materials_polymers,atlas_materials_science_structural_materials_composites,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_materials_science_structural_materials_composites,atlas_materials_science_structural_materials_fracture_and_fatigue,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_materials_science_nanoscience,atlas_materials_science_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_materials_science_nanoscience_nanoparticles,atlas_materials_science_nanoscience,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_materials_science_nanoscience_nanoparticles_theoretical_foundations,atlas_materials_science_nanoscience_nanoparticles,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_nanoscience_nanoparticles_methods_and_instruments,atlas_materials_science_nanoscience_nanoparticles,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_materials_science_nanoscience_nanoparticles_open_questions,atlas_materials_science_nanoscience_nanoparticles,association,investigates,0.72,true,association,atlas taxonomy
