source,target,relation,relation_detail,weight,directed,relation_family,provenance
chemical_bonding,chemistry,structure,part_of,0.96,true,structure,curated core
reaction_kinetics,chemistry,structure,part_of,0.96,true,structure,curated core
quantum_chemistry,chemistry,structure,part_of,0.96,true,structure,curated core
organic_chemistry,chemistry,structure,part_of,0.96,true,structure,curated core
quantum_chemistry,chemical_bonding,explanation,explains,0.93,true,explanation,curated core
atlas_chemical_sciences_physical_chemistry,atlas_chemical_sciences_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics,atlas_chemical_sciences_physical_chemistry,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics_theoretical_foundations,atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics_methods_and_instruments,atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics_open_questions,atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics_applications_and_implic,atlas_chemical_sciences_physical_chemistry_chemical_thermodynamics,application,application_of,0.82,true,application,atlas taxonomy
atlas_chemical_sciences_physical_chemistry_reaction_kinetics,atlas_chemical_sciences_physical_chemistry,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_reaction_kinetics_theoretical_foundations,atlas_chemical_sciences_physical_chemistry_reaction_kinetics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_reaction_kinetics_methods_and_instruments,atlas_chemical_sciences_physical_chemistry_reaction_kinetics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_reaction_kinetics_open_questions,atlas_chemical_sciences_physical_chemistry_reaction_kinetics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_reaction_kinetics_applications_and_implications,atlas_chemical_sciences_physical_chemistry_reaction_kinetics,application,application_of,0.82,true,application,atlas taxonomy
atlas_chemical_sciences_physical_chemistry_spectroscopy,atlas_chemical_sciences_physical_chemistry,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_spectroscopy_theoretical_foundations,atlas_chemical_sciences_physical_chemistry_spectroscopy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_spectroscopy_methods_and_instruments,atlas_chemical_sciences_physical_chemistry_spectroscopy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_spectroscopy_open_questions,atlas_chemical_sciences_physical_chemistry_spectroscopy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_spectroscopy_applications_and_implications,atlas_chemical_sciences_physical_chemistry_spectroscopy,application,application_of,0.82,true,application,atlas taxonomy
atlas_chemical_sciences_physical_chemistry_surface_chemistry,atlas_chemical_sciences_physical_chemistry,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_surface_chemistry_theoretical_foundations,atlas_chemical_sciences_physical_chemistry_surface_chemistry,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_surface_chemistry_methods_and_instruments,atlas_chemical_sciences_physical_chemistry_surface_chemistry,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_chemical_sciences_physical_chemistry_surface_chemistry_open_questions,atlas_chemical_sciences_physical_chemistry_surface_chemistry,association,investigates,0.72,true,association,atlas taxonomy
