record_type,id,label,category,initial_probability,reward,source,target,probability,time,relation,confidence,count,enabled
node,nominal,Nominal,stable,1,2,,,,,,,,
node,degraded,Degraded,warning,0,-1,,,,,,,,
node,incident,Incident,critical,0,-8,,,,,,,,
node,recovery,Recovery,transient,0,1,,,,,,,,
node,maintenance,Maintenance,planned,0,-2,,,,,,,,
transition,,,,,,nominal,nominal,0.70,0,operational,0.98,700,true
transition,,,,,,nominal,degraded,0.20,0,operational,0.91,200,true
transition,,,,,,nominal,maintenance,0.10,0,planned,0.95,100,true
transition,,,,,,degraded,nominal,0.25,0,recovery,0.88,250,true
transition,,,,,,degraded,degraded,0.40,0,operational,0.90,400,true
transition,,,,,,degraded,incident,0.25,0,escalation,0.84,250,true
transition,,,,,,degraded,maintenance,0.10,0,planned,0.92,100,true
transition,,,,,,incident,incident,0.35,0,operational,0.86,350,true
transition,,,,,,incident,recovery,0.55,0,recovery,0.91,550,true
transition,,,,,,incident,maintenance,0.10,0,planned,0.93,100,true
transition,,,,,,recovery,nominal,0.55,0,recovery,0.94,550,true
transition,,,,,,recovery,degraded,0.20,0,recovery,0.86,200,true
transition,,,,,,recovery,recovery,0.25,0,operational,0.89,250,true
transition,,,,,,maintenance,nominal,0.75,0,planned,0.96,750,true
transition,,,,,,maintenance,maintenance,0.25,0,planned,0.95,250,true
