id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
computer_science,Computer Science,discipline,formal science,Computer Science,foundational,10,8,established,curated core,A major scientific discipline centered on computer science.
algorithms,Algorithms,field,formal and applied science,Theoretical Computer Science,foundational,10,7,established,curated core,Finite procedures for computation and problem solving
data_structures,Data Structures,technology,formal and applied science,Computer Systems,foundational,9,6,established,curated core,Representations organizing data for computation
computability,Computability Theory,theory,formal and applied science,Theoretical Computer Science,advanced,9,9,established,curated core,Formal limits of algorithmic computation
complexity_theory,Computational Complexity,theory,formal and applied science,Theoretical Computer Science,advanced,9,9,established,curated core,Resources required to solve computational problems
programming_languages,Programming Languages,field,formal and applied science,Software Systems,intermediate,8,7,established,curated core,Syntax semantics type systems and program execution
operating_systems,Operating Systems,technology,formal and applied science,Computer Systems,intermediate,8,8,established,curated core,Resource management and abstraction for computers
distributed_systems,Distributed Systems,field,formal and applied science,Computer Systems,advanced,9,9,established,curated core,Computation coordinated across networked machines
databases,Database Systems,field,formal and applied science,Information Systems,intermediate,9,7,established,curated core,Persistent structured data storage and querying
cryptography,Cryptography,field,formal and applied science,Security,advanced,9,9,established,curated core,Secure communication using mathematical constructions
computer_networks,Computer Networks,field,formal and applied science,Computer Systems,intermediate,8,7,established,curated core,Protocols and architectures for communicating computers
atlas_computer_science_theory_of_computation,Theory of computation,field,Computer Science,Theory of computation,intermediate,9,7,active,discipline taxonomy,A major research field within Computer Science
atlas_computer_science_theory_of_computation_automata_and_languages,automata and languages,topic,Computer Science,Theory of computation,advanced,8,8,active,subject taxonomy,A scientific subject studied within Theory of computation
atlas_atlas_computer_science_theory_of_computation_automata_and_languages_theoretical_foundation,automata and languages: theoretical foundations,theory,Computer Science,Theory of computation,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for automata and languages
atlas_atlas_computer_science_theory_of_computation_automata_and_languages_methods_and_instrument,automata and languages: methods and instruments,method,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for automata and languages
atlas_atlas_computer_science_theory_of_computation_automata_and_languages_open_questions,automata and languages: open questions,research frontier,Computer Science,Theory of computation,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for automata and languages
atlas_atlas_computer_science_theory_of_computation_automata_and_languages_applications_and_impli,automata and languages: applications and implications,application,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for automata and languages
atlas_computer_science_theory_of_computation_computability,computability,topic,Computer Science,Theory of computation,advanced,8,8,active,subject taxonomy,A scientific subject studied within Theory of computation
atlas_atlas_computer_science_theory_of_computation_computability_theoretical_foundations,computability: theoretical foundations,theory,Computer Science,Theory of computation,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for computability
atlas_atlas_computer_science_theory_of_computation_computability_methods_and_instruments,computability: methods and instruments,method,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for computability
atlas_atlas_computer_science_theory_of_computation_computability_open_questions,computability: open questions,research frontier,Computer Science,Theory of computation,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for computability
atlas_atlas_computer_science_theory_of_computation_computability_applications_and_implications,computability: applications and implications,application,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for computability
atlas_computer_science_theory_of_computation_complexity_classes,complexity classes,topic,Computer Science,Theory of computation,advanced,8,8,active,subject taxonomy,A scientific subject studied within Theory of computation
atlas_atlas_computer_science_theory_of_computation_complexity_classes_theoretical_foundations,complexity classes: theoretical foundations,theory,Computer Science,Theory of computation,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for complexity classes
atlas_atlas_computer_science_theory_of_computation_complexity_classes_methods_and_instruments,complexity classes: methods and instruments,method,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for complexity classes
atlas_atlas_computer_science_theory_of_computation_complexity_classes_open_questions,complexity classes: open questions,research frontier,Computer Science,Theory of computation,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for complexity classes
atlas_atlas_computer_science_theory_of_computation_complexity_classes_applications_and_implicati,complexity classes: applications and implications,application,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for complexity classes
atlas_computer_science_theory_of_computation_randomized_algorithms,randomized algorithms,topic,Computer Science,Theory of computation,advanced,8,8,active,subject taxonomy,A scientific subject studied within Theory of computation
atlas_atlas_computer_science_theory_of_computation_randomized_algorithms_theoretical_foundations,randomized algorithms: theoretical foundations,theory,Computer Science,Theory of computation,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for randomized algorithms
atlas_atlas_computer_science_theory_of_computation_randomized_algorithms_methods_and_instruments,randomized algorithms: methods and instruments,method,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for randomized algorithms
atlas_atlas_computer_science_theory_of_computation_randomized_algorithms_open_questions,randomized algorithms: open questions,research frontier,Computer Science,Theory of computation,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for randomized algorithms
atlas_atlas_computer_science_theory_of_computation_randomized_algorithms_applications_and_implic,randomized algorithms: applications and implications,application,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for randomized algorithms
atlas_computer_science_theory_of_computation_approximation_algorithms,approximation algorithms,topic,Computer Science,Theory of computation,advanced,8,8,active,subject taxonomy,A scientific subject studied within Theory of computation
atlas_atlas_computer_science_theory_of_computation_approximation_algorithms_theoretical_foundati,approximation algorithms: theoretical foundations,theory,Computer Science,Theory of computation,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for approximation algorithms
atlas_atlas_computer_science_theory_of_computation_approximation_algorithms_methods_and_instrume,approximation algorithms: methods and instruments,method,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for approximation algorithms
atlas_atlas_computer_science_theory_of_computation_approximation_algorithms_open_questions,approximation algorithms: open questions,research frontier,Computer Science,Theory of computation,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for approximation algorithms
atlas_atlas_computer_science_theory_of_computation_approximation_algorithms_applications_and_imp,approximation algorithms: applications and implications,application,Computer Science,Theory of computation,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for approximation algorithms
atlas_computer_science_software_and_languages,Software and languages,field,Computer Science,Software and languages,intermediate,9,7,active,discipline taxonomy,A major research field within Computer Science
atlas_computer_science_software_and_languages_programming_language_semantics,programming-language semantics,topic,Computer Science,Software and languages,advanced,8,8,active,subject taxonomy,A scientific subject studied within Software and languages
