source,target,relation,relation_detail,weight,directed,relation_family,provenance
quantum_computing,atlas_quantum_technology_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_quantum_technology_quantum_computing_quantum_algorithms,quantum_computing,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_algorithms_theoretical_foundations,atlas_quantum_technology_quantum_computing_quantum_algorithms,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_algorithms_methods_and_instruments,atlas_quantum_technology_quantum_computing_quantum_algorithms,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_algorithms_open_questions,atlas_quantum_technology_quantum_computing_quantum_algorithms,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_algorithms_applications_and_implication,atlas_quantum_technology_quantum_computing_quantum_algorithms,application,application_of,0.82,true,application,atlas taxonomy
atlas_quantum_technology_quantum_computing_quantum_error_correction,quantum_computing,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_error_correction_theoretical_foundation,atlas_quantum_technology_quantum_computing_quantum_error_correction,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_error_correction_methods_and_instrument,atlas_quantum_technology_quantum_computing_quantum_error_correction,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_error_correction_open_questions,atlas_quantum_technology_quantum_computing_quantum_error_correction,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_error_correction_applications_and_impli,atlas_quantum_technology_quantum_computing_quantum_error_correction,application,application_of,0.82,true,application,atlas taxonomy
atlas_quantum_technology_quantum_computing_quantum_architectures,quantum_computing,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_architectures_theoretical_foundations,atlas_quantum_technology_quantum_computing_quantum_architectures,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_architectures_methods_and_instruments,atlas_quantum_technology_quantum_computing_quantum_architectures,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_architectures_open_questions,atlas_quantum_technology_quantum_computing_quantum_architectures,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_architectures_applications_and_implicat,atlas_quantum_technology_quantum_computing_quantum_architectures,application,application_of,0.82,true,application,atlas taxonomy
atlas_quantum_technology_quantum_computing_quantum_simulation,quantum_computing,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_simulation_theoretical_foundations,atlas_quantum_technology_quantum_computing_quantum_simulation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_simulation_methods_and_instruments,atlas_quantum_technology_quantum_computing_quantum_simulation,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_simulation_open_questions,atlas_quantum_technology_quantum_computing_quantum_simulation,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_quantum_simulation_applications_and_implication,atlas_quantum_technology_quantum_computing_quantum_simulation,application,application_of,0.82,true,application,atlas taxonomy
atlas_quantum_technology_quantum_computing_fault_tolerance,quantum_computing,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_quantum_technology_quantum_computing_fault_tolerance_theoretical_foundations,atlas_quantum_technology_quantum_computing_fault_tolerance,association,formalizes,0.82,true,association,atlas taxonomy
