source,target,relation,relation_detail,weight,directed,relation_family,provenance
plate_tectonics,earth_science,structure,part_of,0.96,true,structure,curated core
remote_sensing,earth_science,structure,part_of,0.96,true,structure,curated core
atlas_earth_geosciences_geology,atlas_earth_geosciences_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_earth_geosciences_geology_mineralogy,atlas_earth_geosciences_geology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_earth_geosciences_geology_mineralogy_theoretical_foundations,atlas_earth_geosciences_geology_mineralogy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_earth_geosciences_geology_mineralogy_methods_and_instruments,atlas_earth_geosciences_geology_mineralogy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_earth_geosciences_geology_mineralogy_open_questions,atlas_earth_geosciences_geology_mineralogy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_earth_geosciences_geology_mineralogy_applications_and_implications,atlas_earth_geosciences_geology_mineralogy,application,application_of,0.82,true,application,atlas taxonomy
atlas_earth_geosciences_geology_petrology,atlas_earth_geosciences_geology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_earth_geosciences_geology_petrology_theoretical_foundations,atlas_earth_geosciences_geology_petrology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_earth_geosciences_geology_petrology_methods_and_instruments,atlas_earth_geosciences_geology_petrology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_earth_geosciences_geology_petrology_open_questions,atlas_earth_geosciences_geology_petrology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_earth_geosciences_geology_petrology_applications_and_implications,atlas_earth_geosciences_geology_petrology,application,application_of,0.82,true,application,atlas taxonomy
atlas_earth_geosciences_geology_sedimentology,atlas_earth_geosciences_geology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_earth_geosciences_geology_sedimentology_theoretical_foundations,atlas_earth_geosciences_geology_sedimentology,association,formalizes,0.82,true,association,atlas taxonomy
