id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
ecology,Ecology,field,natural and life science,Ecology,intermediate,9,7,established,curated core,Interactions among organisms and environments
atlas_environment_ecology_domain,Environmental Science and Ecology,discipline,science atlas,Environmental Science and Ecology,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_environment_ecology_ecosystem_science,Ecosystem science,field,Environmental Science and Ecology,Ecosystem science,intermediate,9,7,active,discipline taxonomy,A major research field within Environmental Science and Ecology
atlas_environment_ecology_ecosystem_science_food_webs,food webs,topic,Environmental Science and Ecology,Ecosystem science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Ecosystem science
atlas_atlas_environment_ecology_ecosystem_science_food_webs_theoretical_foundations,food webs: theoretical foundations,theory,Environmental Science and Ecology,Ecosystem science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for food webs
atlas_atlas_environment_ecology_ecosystem_science_food_webs_methods_and_instruments,food webs: methods and instruments,method,Environmental Science and Ecology,Ecosystem science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for food webs
atlas_atlas_environment_ecology_ecosystem_science_food_webs_open_questions,food webs: open questions,research frontier,Environmental Science and Ecology,Ecosystem science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for food webs
atlas_atlas_environment_ecology_ecosystem_science_food_webs_applications_and_implications,food webs: applications and implications,application,Environmental Science and Ecology,Ecosystem science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for food webs
atlas_environment_ecology_ecosystem_science_ecosystem_productivity,ecosystem productivity,topic,Environmental Science and Ecology,Ecosystem science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Ecosystem science
atlas_atlas_environment_ecology_ecosystem_science_ecosystem_productivity_theoretical_foundations,ecosystem productivity: theoretical foundations,theory,Environmental Science and Ecology,Ecosystem science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for ecosystem productivity
atlas_atlas_environment_ecology_ecosystem_science_ecosystem_productivity_methods_and_instruments,ecosystem productivity: methods and instruments,method,Environmental Science and Ecology,Ecosystem science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for ecosystem productivity
atlas_atlas_environment_ecology_ecosystem_science_ecosystem_productivity_open_questions,ecosystem productivity: open questions,research frontier,Environmental Science and Ecology,Ecosystem science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for ecosystem productivity
atlas_atlas_environment_ecology_ecosystem_science_ecosystem_productivity_applications_and_implic,ecosystem productivity: applications and implications,application,Environmental Science and Ecology,Ecosystem science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for ecosystem productivity
atlas_environment_ecology_ecosystem_science_nutrient_cycles,nutrient cycles,topic,Environmental Science and Ecology,Ecosystem science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Ecosystem science
atlas_atlas_environment_ecology_ecosystem_science_nutrient_cycles_theoretical_foundations,nutrient cycles: theoretical foundations,theory,Environmental Science and Ecology,Ecosystem science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for nutrient cycles
atlas_atlas_environment_ecology_ecosystem_science_nutrient_cycles_methods_and_instruments,nutrient cycles: methods and instruments,method,Environmental Science and Ecology,Ecosystem science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for nutrient cycles
atlas_atlas_environment_ecology_ecosystem_science_nutrient_cycles_open_questions,nutrient cycles: open questions,research frontier,Environmental Science and Ecology,Ecosystem science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for nutrient cycles
