source,target,relation,relation_detail,weight,directed,relation_family,provenance
attention,memory,interaction,interacts_with,0.7,false,interaction,curated core
atlas_cognitive_behavioral_cognitive_psychology,atlas_cognitive_behavioral_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_cognitive_behavioral_cognitive_psychology_perception,atlas_cognitive_behavioral_cognitive_psychology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_perception_theoretical_foundations,atlas_cognitive_behavioral_cognitive_psychology_perception,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_perception_methods_and_instruments,atlas_cognitive_behavioral_cognitive_psychology_perception,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_perception_open_questions,atlas_cognitive_behavioral_cognitive_psychology_perception,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_perception_applications_and_implications,atlas_cognitive_behavioral_cognitive_psychology_perception,application,application_of,0.82,true,application,atlas taxonomy
atlas_cognitive_behavioral_cognitive_psychology_working_memory,atlas_cognitive_behavioral_cognitive_psychology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_working_memory_theoretical_foundations,atlas_cognitive_behavioral_cognitive_psychology_working_memory,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_working_memory_methods_and_instruments,atlas_cognitive_behavioral_cognitive_psychology_working_memory,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_working_memory_open_questions,atlas_cognitive_behavioral_cognitive_psychology_working_memory,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_working_memory_applications_and_implicatio,atlas_cognitive_behavioral_cognitive_psychology_working_memory,application,application_of,0.82,true,application,atlas taxonomy
atlas_cognitive_behavioral_cognitive_psychology_reasoning,atlas_cognitive_behavioral_cognitive_psychology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_reasoning_theoretical_foundations,atlas_cognitive_behavioral_cognitive_psychology_reasoning,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_reasoning_methods_and_instruments,atlas_cognitive_behavioral_cognitive_psychology_reasoning,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_reasoning_open_questions,atlas_cognitive_behavioral_cognitive_psychology_reasoning,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_reasoning_applications_and_implications,atlas_cognitive_behavioral_cognitive_psychology_reasoning,application,application_of,0.82,true,application,atlas taxonomy
atlas_cognitive_behavioral_cognitive_psychology_learning,atlas_cognitive_behavioral_cognitive_psychology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_learning_theoretical_foundations,atlas_cognitive_behavioral_cognitive_psychology_learning,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_learning_methods_and_instruments,atlas_cognitive_behavioral_cognitive_psychology_learning,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_learning_open_questions,atlas_cognitive_behavioral_cognitive_psychology_learning,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_learning_applications_and_implications,atlas_cognitive_behavioral_cognitive_psychology_learning,application,application_of,0.82,true,application,atlas taxonomy
atlas_cognitive_behavioral_cognitive_psychology_cognitive_control,atlas_cognitive_behavioral_cognitive_psychology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_cognitive_control_theoretical_foundations,atlas_cognitive_behavioral_cognitive_psychology_cognitive_control,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_cognitive_control_methods_and_instruments,atlas_cognitive_behavioral_cognitive_psychology_cognitive_control,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_cognitive_control_open_questions,atlas_cognitive_behavioral_cognitive_psychology_cognitive_control,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_cognitive_behavioral_cognitive_psychology_cognitive_control_applications_and_implica,atlas_cognitive_behavioral_cognitive_psychology_cognitive_control,application,application_of,0.82,true,application,atlas taxonomy
atlas_cognitive_behavioral_cognitive_psychology_perception,atlas_cognitive_behavioral_cognitive_psychology_working_memory,interaction,related_to,0.62,false,interaction,atlas taxonomy
