id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
mathematics,Mathematics,discipline,formal science,Mathematics,foundational,10,8,established,curated core,A major scientific discipline centered on mathematics.
logic,Mathematical Logic,field,formal science,Logic,foundational,9,7,established,curated core,Formal reasoning proof and mathematical truth
set_theory,Set Theory,theory,formal science,Foundations,foundational,9,7,established,curated core,Sets relations functions cardinality and foundations
category_theory,Category Theory,theory,formal science,Foundations,advanced,8,10,established,curated core,Objects morphisms functors and natural transformations
linear_algebra,Linear Algebra,field,formal science,Algebra,foundational,10,6,established,curated core,Vector spaces linear maps eigenvalues and tensors
abstract_algebra,Abstract Algebra,field,formal science,Algebra,intermediate,9,8,established,curated core,Groups rings fields modules and symmetries
group_theory,Group Theory,theory,formal science,Algebra,intermediate,9,8,established,curated core,Algebraic study of symmetry
ring_theory,Ring Theory,theory,formal science,Algebra,advanced,7,9,established,curated core,Algebraic systems with addition and multiplication
number_theory,Number Theory,field,formal science,Number Theory,intermediate,8,8,established,curated core,Arithmetic properties of integers and related structures
calculus,Calculus,field,formal science,Analysis,foundational,10,6,established,curated core,Change accumulation derivatives and integrals
real_analysis,Real Analysis,field,formal science,Analysis,intermediate,9,8,established,curated core,Rigorous study of limits continuity measure and integration
complex_analysis,Complex Analysis,field,formal science,Analysis,advanced,8,8,established,curated core,Analysis of complex-valued functions
functional_analysis,Functional Analysis,field,formal science,Analysis,advanced,9,10,established,curated core,Infinite-dimensional vector spaces and operators
differential_equations,Differential Equations,field,formal science,Analysis,intermediate,10,8,established,curated core,Equations relating functions to their derivatives
dynamical_systems,Dynamical Systems,theory,formal science,Applied Mathematics,advanced,9,9,established,curated core,Evolution stability attractors and chaos
graph_theory,Graph Theory,theory,formal science,Discrete Mathematics,intermediate,9,7,established,curated core,Vertices edges networks paths and connectivity
topology,Topology,field,formal science,Geometry and Topology,advanced,8,9,established,curated core,Properties invariant under continuous deformation
differential_geometry,Differential Geometry,field,formal science,Geometry and Topology,advanced,9,10,established,curated core,Smooth manifolds curvature and geometric structure
tda,Topological Data Analysis,method,formal science,Applied Mathematics,research,8,10,established,curated core,Shape analysis using persistent topological features
optimization,Optimization,field,formal science,Applied Mathematics,intermediate,10,8,established,curated core,Selecting extrema subject to constraints
game_theory,Game Theory,theory,formal science,Applied Mathematics,advanced,7,8,established,curated core,Strategic interaction among decision makers
numerical_analysis,Numerical Analysis,field,formal science,Applied Mathematics,advanced,9,8,established,curated core,Approximation algorithms and computational error
atlas_mathematical_sciences_domain,Mathematical Sciences,discipline,science atlas,Mathematical Sciences,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_mathematical_sciences_foundations_and_logic,Foundations and logic,field,Mathematical Sciences,Foundations and logic,intermediate,9,7,active,discipline taxonomy,A major research field within Mathematical Sciences
atlas_mathematical_sciences_foundations_and_logic_proof_theory,proof theory,topic,Mathematical Sciences,Foundations and logic,advanced,8,8,active,subject taxonomy,A scientific subject studied within Foundations and logic
atlas_atlas_mathematical_sciences_foundations_and_logic_proof_theory_theoretical_foundations,proof theory: theoretical foundations,theory,Mathematical Sciences,Foundations and logic,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for proof theory
atlas_atlas_mathematical_sciences_foundations_and_logic_proof_theory_methods_and_instruments,proof theory: methods and instruments,method,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for proof theory
atlas_atlas_mathematical_sciences_foundations_and_logic_proof_theory_open_questions,proof theory: open questions,research frontier,Mathematical Sciences,Foundations and logic,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for proof theory
atlas_atlas_mathematical_sciences_foundations_and_logic_proof_theory_applications_and_implicatio,proof theory: applications and implications,application,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for proof theory
atlas_mathematical_sciences_foundations_and_logic_model_theory,model theory,topic,Mathematical Sciences,Foundations and logic,advanced,8,8,active,subject taxonomy,A scientific subject studied within Foundations and logic
atlas_atlas_mathematical_sciences_foundations_and_logic_model_theory_theoretical_foundations,model theory: theoretical foundations,theory,Mathematical Sciences,Foundations and logic,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for model theory
atlas_atlas_mathematical_sciences_foundations_and_logic_model_theory_methods_and_instruments,model theory: methods and instruments,method,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for model theory
atlas_atlas_mathematical_sciences_foundations_and_logic_model_theory_open_questions,model theory: open questions,research frontier,Mathematical Sciences,Foundations and logic,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for model theory
atlas_atlas_mathematical_sciences_foundations_and_logic_model_theory_applications_and_implicatio,model theory: applications and implications,application,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for model theory
atlas_mathematical_sciences_foundations_and_logic_axiomatic_set_theory,axiomatic set theory,topic,Mathematical Sciences,Foundations and logic,advanced,8,8,active,subject taxonomy,A scientific subject studied within Foundations and logic
atlas_atlas_mathematical_sciences_foundations_and_logic_axiomatic_set_theory_theoretical_foundat,axiomatic set theory: theoretical foundations,theory,Mathematical Sciences,Foundations and logic,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for axiomatic set theory
atlas_atlas_mathematical_sciences_foundations_and_logic_axiomatic_set_theory_methods_and_instrum,axiomatic set theory: methods and instruments,method,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for axiomatic set theory
atlas_atlas_mathematical_sciences_foundations_and_logic_axiomatic_set_theory_open_questions,axiomatic set theory: open questions,research frontier,Mathematical Sciences,Foundations and logic,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for axiomatic set theory
atlas_atlas_mathematical_sciences_foundations_and_logic_axiomatic_set_theory_applications_and_im,axiomatic set theory: applications and implications,application,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for axiomatic set theory
atlas_mathematical_sciences_foundations_and_logic_type_theory,type theory,topic,Mathematical Sciences,Foundations and logic,advanced,8,8,active,subject taxonomy,A scientific subject studied within Foundations and logic
atlas_atlas_mathematical_sciences_foundations_and_logic_type_theory_theoretical_foundations,type theory: theoretical foundations,theory,Mathematical Sciences,Foundations and logic,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for type theory
atlas_atlas_mathematical_sciences_foundations_and_logic_type_theory_methods_and_instruments,type theory: methods and instruments,method,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for type theory
atlas_atlas_mathematical_sciences_foundations_and_logic_type_theory_open_questions,type theory: open questions,research frontier,Mathematical Sciences,Foundations and logic,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for type theory
atlas_atlas_mathematical_sciences_foundations_and_logic_type_theory_applications_and_implication,type theory: applications and implications,application,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for type theory
atlas_mathematical_sciences_foundations_and_logic_computability_and_undecidability,computability and undecidability,topic,Mathematical Sciences,Foundations and logic,advanced,8,8,active,subject taxonomy,A scientific subject studied within Foundations and logic
atlas_atlas_mathematical_sciences_foundations_and_logic_computability_and_undecidability_theoret,computability and undecidability: theoretical foundations,theory,Mathematical Sciences,Foundations and logic,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for computability and undecidability
atlas_atlas_mathematical_sciences_foundations_and_logic_computability_and_undecidability_methods,computability and undecidability: methods and instruments,method,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for computability and undecidability
atlas_atlas_mathematical_sciences_foundations_and_logic_computability_and_undecidability_open_qu,computability and undecidability: open questions,research frontier,Mathematical Sciences,Foundations and logic,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for computability and undecidability
atlas_atlas_mathematical_sciences_foundations_and_logic_computability_and_undecidability_applica,computability and undecidability: applications and implications,application,Mathematical Sciences,Foundations and logic,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for computability and undecidability
atlas_mathematical_sciences_algebra,Algebra,field,Mathematical Sciences,Algebra,intermediate,9,7,active,discipline taxonomy,A major research field within Mathematical Sciences
atlas_mathematical_sciences_algebra_group_representations,group representations,topic,Mathematical Sciences,Algebra,advanced,8,8,active,subject taxonomy,A scientific subject studied within Algebra
atlas_atlas_mathematical_sciences_algebra_group_representations_theoretical_foundations,group representations: theoretical foundations,theory,Mathematical Sciences,Algebra,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for group representations
atlas_atlas_mathematical_sciences_algebra_group_representations_methods_and_instruments,group representations: methods and instruments,method,Mathematical Sciences,Algebra,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for group representations
