source,target,relation,relation_detail,weight,directed,relation_family,provenance
logic,mathematics,structure,part_of,0.96,true,structure,curated core
set_theory,mathematics,structure,part_of,0.96,true,structure,curated core
category_theory,mathematics,structure,part_of,0.96,true,structure,curated core
linear_algebra,mathematics,structure,part_of,0.96,true,structure,curated core
abstract_algebra,mathematics,structure,part_of,0.96,true,structure,curated core
group_theory,mathematics,structure,part_of,0.96,true,structure,curated core
ring_theory,mathematics,structure,part_of,0.96,true,structure,curated core
number_theory,mathematics,structure,part_of,0.96,true,structure,curated core
calculus,mathematics,structure,part_of,0.96,true,structure,curated core
real_analysis,mathematics,structure,part_of,0.96,true,structure,curated core
complex_analysis,mathematics,structure,part_of,0.96,true,structure,curated core
functional_analysis,mathematics,structure,part_of,0.96,true,structure,curated core
differential_equations,mathematics,structure,part_of,0.96,true,structure,curated core
dynamical_systems,mathematics,structure,part_of,0.96,true,structure,curated core
probability,mathematics,structure,part_of,0.96,true,structure,curated core
statistics,mathematics,structure,part_of,0.96,true,structure,curated core
bayesian_inference,mathematics,structure,part_of,0.96,true,structure,curated core
information_theory,mathematics,structure,part_of,0.96,true,structure,curated core
graph_theory,mathematics,structure,part_of,0.96,true,structure,curated core
topology,mathematics,structure,part_of,0.96,true,structure,curated core
differential_geometry,mathematics,structure,part_of,0.96,true,structure,curated core
tda,mathematics,structure,part_of,0.96,true,structure,curated core
optimization,mathematics,structure,part_of,0.96,true,structure,curated core
game_theory,mathematics,structure,part_of,0.96,true,structure,curated core
numerical_analysis,mathematics,structure,part_of,0.96,true,structure,curated core
classical_mechanics,physics,structure,part_of,0.96,true,structure,curated core
thermodynamics,physics,structure,part_of,0.96,true,structure,curated core
statistical_mechanics,physics,structure,part_of,0.96,true,structure,curated core
electromagnetism,physics,structure,part_of,0.96,true,structure,curated core
optics,physics,structure,part_of,0.96,true,structure,curated core
special_relativity,physics,structure,part_of,0.96,true,structure,curated core
general_relativity,physics,structure,part_of,0.96,true,structure,curated core
quantum_mechanics,physics,structure,part_of,0.96,true,structure,curated core
quantum_field_theory,physics,structure,part_of,0.96,true,structure,curated core
standard_model,physics,structure,part_of,0.96,true,structure,curated core
particle_physics,physics,structure,part_of,0.96,true,structure,curated core
nuclear_physics,physics,structure,part_of,0.96,true,structure,curated core
condensed_matter,physics,structure,part_of,0.96,true,structure,curated core
fluid_dynamics,physics,structure,part_of,0.96,true,structure,curated core
plasma_physics,physics,structure,part_of,0.96,true,structure,curated core
nonlinear_dynamics,physics,structure,part_of,0.96,true,structure,curated core
wave_particle_duality,physics,structure,part_of,0.96,true,structure,curated core
symmetry_breaking,physics,structure,part_of,0.96,true,structure,curated core
black_holes,astronomy,structure,part_of,0.96,true,structure,curated core
gravitational_waves,astronomy,structure,part_of,0.96,true,structure,curated core
stellar_evolution,astronomy,structure,part_of,0.96,true,structure,curated core
cosmology,astronomy,structure,part_of,0.96,true,structure,curated core
big_bang,astronomy,structure,part_of,0.96,true,structure,curated core
dark_matter,astronomy,structure,part_of,0.96,true,structure,curated core
dark_energy,astronomy,structure,part_of,0.96,true,structure,curated core
galaxy_dynamics,astronomy,structure,part_of,0.96,true,structure,curated core
exoplanets,astronomy,structure,part_of,0.96,true,structure,curated core
algorithms,computer_science,structure,part_of,0.96,true,structure,curated core
data_structures,computer_science,structure,part_of,0.96,true,structure,curated core
computability,computer_science,structure,part_of,0.96,true,structure,curated core
complexity_theory,computer_science,structure,part_of,0.96,true,structure,curated core
programming_languages,computer_science,structure,part_of,0.96,true,structure,curated core
operating_systems,computer_science,structure,part_of,0.96,true,structure,curated core
distributed_systems,computer_science,structure,part_of,0.96,true,structure,curated core
databases,computer_science,structure,part_of,0.96,true,structure,curated core
