source,target,relation,relation_detail,weight,directed,relation_family,provenance
robotics,engineering,structure,part_of,0.96,true,structure,curated core
control_theory,engineering,structure,part_of,0.96,true,structure,curated core
control_theory,robotics,foundation,supports,0.58,true,foundation,curated core
atlas_engineering_technology_electrical_engineering,atlas_engineering_technology_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_engineering_technology_electrical_engineering_circuits,atlas_engineering_technology_electrical_engineering,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_circuits_theoretical_foundations,atlas_engineering_technology_electrical_engineering_circuits,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_circuits_methods_and_instruments,atlas_engineering_technology_electrical_engineering_circuits,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_circuits_open_questions,atlas_engineering_technology_electrical_engineering_circuits,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_circuits_applications_and_implications,atlas_engineering_technology_electrical_engineering_circuits,application,application_of,0.82,true,application,atlas taxonomy
atlas_engineering_technology_electrical_engineering_signal_processing,atlas_engineering_technology_electrical_engineering,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_signal_processing_theoretical_foundati,atlas_engineering_technology_electrical_engineering_signal_processing,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_signal_processing_methods_and_instrume,atlas_engineering_technology_electrical_engineering_signal_processing,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_signal_processing_open_questions,atlas_engineering_technology_electrical_engineering_signal_processing,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_signal_processing_applications_and_imp,atlas_engineering_technology_electrical_engineering_signal_processing,application,application_of,0.82,true,application,atlas taxonomy
atlas_engineering_technology_electrical_engineering_communications,atlas_engineering_technology_electrical_engineering,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_communications_theoretical_foundations,atlas_engineering_technology_electrical_engineering_communications,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_communications_methods_and_instruments,atlas_engineering_technology_electrical_engineering_communications,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_communications_open_questions,atlas_engineering_technology_electrical_engineering_communications,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_engineering_technology_electrical_engineering_communications_applications_and_implic,atlas_engineering_technology_electrical_engineering_communications,application,application_of,0.82,true,application,atlas taxonomy
atlas_engineering_technology_electrical_engineering_control_systems,atlas_engineering_technology_electrical_engineering,structure,part_of,0.94,true,structure,atlas taxonomy
