source,target,relation,relation_detail,weight,directed,relation_family,provenance
epigenetics,gene_regulation,association,modulates,0.73,true,association,curated core
gene,genome,structure,part_of,0.83,true,structure,curated core
atlas_genetics_genomics_classical_genetics,atlas_genetics_genomics_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_genetics_genomics_classical_genetics_mendelian_inheritance,atlas_genetics_genomics_classical_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_mendelian_inheritance_theoretical_foundations,atlas_genetics_genomics_classical_genetics_mendelian_inheritance,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_mendelian_inheritance_methods_and_instruments,atlas_genetics_genomics_classical_genetics_mendelian_inheritance,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_mendelian_inheritance_open_questions,atlas_genetics_genomics_classical_genetics_mendelian_inheritance,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_mendelian_inheritance_applications_and_implicat,atlas_genetics_genomics_classical_genetics_mendelian_inheritance,application,application_of,0.82,true,application,atlas taxonomy
atlas_genetics_genomics_classical_genetics_linkage_and_recombination,atlas_genetics_genomics_classical_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_linkage_and_recombination_theoretical_foundatio,atlas_genetics_genomics_classical_genetics_linkage_and_recombination,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_linkage_and_recombination_methods_and_instrumen,atlas_genetics_genomics_classical_genetics_linkage_and_recombination,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_linkage_and_recombination_open_questions,atlas_genetics_genomics_classical_genetics_linkage_and_recombination,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_linkage_and_recombination_applications_and_impl,atlas_genetics_genomics_classical_genetics_linkage_and_recombination,application,application_of,0.82,true,application,atlas taxonomy
atlas_genetics_genomics_classical_genetics_cytogenetics,atlas_genetics_genomics_classical_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_cytogenetics_theoretical_foundations,atlas_genetics_genomics_classical_genetics_cytogenetics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_cytogenetics_methods_and_instruments,atlas_genetics_genomics_classical_genetics_cytogenetics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_cytogenetics_open_questions,atlas_genetics_genomics_classical_genetics_cytogenetics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_cytogenetics_applications_and_implications,atlas_genetics_genomics_classical_genetics_cytogenetics,application,application_of,0.82,true,application,atlas taxonomy
atlas_genetics_genomics_classical_genetics_mutagenesis,atlas_genetics_genomics_classical_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_mutagenesis_theoretical_foundations,atlas_genetics_genomics_classical_genetics_mutagenesis,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_mutagenesis_methods_and_instruments,atlas_genetics_genomics_classical_genetics_mutagenesis,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_mutagenesis_open_questions,atlas_genetics_genomics_classical_genetics_mutagenesis,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_mutagenesis_applications_and_implications,atlas_genetics_genomics_classical_genetics_mutagenesis,application,application_of,0.82,true,application,atlas taxonomy
atlas_genetics_genomics_classical_genetics_complex_traits,atlas_genetics_genomics_classical_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_complex_traits_theoretical_foundations,atlas_genetics_genomics_classical_genetics_complex_traits,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_complex_traits_methods_and_instruments,atlas_genetics_genomics_classical_genetics_complex_traits,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_complex_traits_open_questions,atlas_genetics_genomics_classical_genetics_complex_traits,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_classical_genetics_complex_traits_applications_and_implications,atlas_genetics_genomics_classical_genetics_complex_traits,application,application_of,0.82,true,application,atlas taxonomy
atlas_genetics_genomics_classical_genetics_mendelian_inheritance,atlas_genetics_genomics_classical_genetics_linkage_and_recombination,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_genetics_genomics_classical_genetics_linkage_and_recombination,atlas_genetics_genomics_classical_genetics_cytogenetics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_genetics_genomics_classical_genetics_cytogenetics,atlas_genetics_genomics_classical_genetics_mutagenesis,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_genetics_genomics_classical_genetics_mutagenesis,atlas_genetics_genomics_classical_genetics_complex_traits,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_genetics_genomics_molecular_genetics,atlas_genetics_genomics_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_genetics_genomics_molecular_genetics_gene_structure,atlas_genetics_genomics_molecular_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_gene_structure_theoretical_foundations,atlas_genetics_genomics_molecular_genetics_gene_structure,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_gene_structure_methods_and_instruments,atlas_genetics_genomics_molecular_genetics_gene_structure,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_gene_structure_open_questions,atlas_genetics_genomics_molecular_genetics_gene_structure,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_gene_structure_applications_and_implications,atlas_genetics_genomics_molecular_genetics_gene_structure,application,application_of,0.82,true,application,atlas taxonomy
atlas_genetics_genomics_molecular_genetics_dna_replication,atlas_genetics_genomics_molecular_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_dna_replication_theoretical_foundations,atlas_genetics_genomics_molecular_genetics_dna_replication,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_dna_replication_methods_and_instruments,atlas_genetics_genomics_molecular_genetics_dna_replication,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_dna_replication_open_questions,atlas_genetics_genomics_molecular_genetics_dna_replication,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_dna_replication_applications_and_implications,atlas_genetics_genomics_molecular_genetics_dna_replication,application,application_of,0.82,true,application,atlas taxonomy
atlas_genetics_genomics_molecular_genetics_dna_repair,atlas_genetics_genomics_molecular_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_dna_repair_theoretical_foundations,atlas_genetics_genomics_molecular_genetics_dna_repair,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_dna_repair_methods_and_instruments,atlas_genetics_genomics_molecular_genetics_dna_repair,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_dna_repair_open_questions,atlas_genetics_genomics_molecular_genetics_dna_repair,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_dna_repair_applications_and_implications,atlas_genetics_genomics_molecular_genetics_dna_repair,application,application_of,0.82,true,application,atlas taxonomy
atlas_genetics_genomics_molecular_genetics_transcription,atlas_genetics_genomics_molecular_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_transcription_theoretical_foundations,atlas_genetics_genomics_molecular_genetics_transcription,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_transcription_methods_and_instruments,atlas_genetics_genomics_molecular_genetics_transcription,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_transcription_open_questions,atlas_genetics_genomics_molecular_genetics_transcription,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_transcription_applications_and_implications,atlas_genetics_genomics_molecular_genetics_transcription,application,application_of,0.82,true,application,atlas taxonomy
atlas_genetics_genomics_molecular_genetics_translation,atlas_genetics_genomics_molecular_genetics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_translation_theoretical_foundations,atlas_genetics_genomics_molecular_genetics_translation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_genetics_genomics_molecular_genetics_translation_methods_and_instruments,atlas_genetics_genomics_molecular_genetics_translation,association,method_for,0.82,true,association,atlas taxonomy
