id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
quantum_computing,Quantum Computing,field,formal and applied science,Computing Paradigms,research,9,10,established,curated core,Computation using controllable quantum systems
atlas_quantum_technology_domain,Quantum Science and Technology,discipline,science atlas,Quantum Science and Technology,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_quantum_technology_quantum_computing_quantum_algorithms,quantum algorithms,topic,Quantum Science and Technology,Quantum computing,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum computing
atlas_atlas_quantum_technology_quantum_computing_quantum_algorithms_theoretical_foundations,quantum algorithms: theoretical foundations,theory,Quantum Science and Technology,Quantum computing,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for quantum algorithms
atlas_atlas_quantum_technology_quantum_computing_quantum_algorithms_methods_and_instruments,quantum algorithms: methods and instruments,method,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for quantum algorithms
atlas_atlas_quantum_technology_quantum_computing_quantum_algorithms_open_questions,quantum algorithms: open questions,research frontier,Quantum Science and Technology,Quantum computing,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for quantum algorithms
atlas_atlas_quantum_technology_quantum_computing_quantum_algorithms_applications_and_implication,quantum algorithms: applications and implications,application,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for quantum algorithms
atlas_quantum_technology_quantum_computing_quantum_error_correction,quantum error correction,topic,Quantum Science and Technology,Quantum computing,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum computing
atlas_atlas_quantum_technology_quantum_computing_quantum_error_correction_theoretical_foundation,quantum error correction: theoretical foundations,theory,Quantum Science and Technology,Quantum computing,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for quantum error correction
atlas_atlas_quantum_technology_quantum_computing_quantum_error_correction_methods_and_instrument,quantum error correction: methods and instruments,method,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for quantum error correction
atlas_atlas_quantum_technology_quantum_computing_quantum_error_correction_open_questions,quantum error correction: open questions,research frontier,Quantum Science and Technology,Quantum computing,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for quantum error correction
atlas_atlas_quantum_technology_quantum_computing_quantum_error_correction_applications_and_impli,quantum error correction: applications and implications,application,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for quantum error correction
atlas_quantum_technology_quantum_computing_quantum_architectures,quantum architectures,topic,Quantum Science and Technology,Quantum computing,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum computing
atlas_atlas_quantum_technology_quantum_computing_quantum_architectures_theoretical_foundations,quantum architectures: theoretical foundations,theory,Quantum Science and Technology,Quantum computing,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for quantum architectures
atlas_atlas_quantum_technology_quantum_computing_quantum_architectures_methods_and_instruments,quantum architectures: methods and instruments,method,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for quantum architectures
atlas_atlas_quantum_technology_quantum_computing_quantum_architectures_open_questions,quantum architectures: open questions,research frontier,Quantum Science and Technology,Quantum computing,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for quantum architectures
atlas_atlas_quantum_technology_quantum_computing_quantum_architectures_applications_and_implicat,quantum architectures: applications and implications,application,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for quantum architectures
atlas_quantum_technology_quantum_computing_quantum_simulation,quantum simulation,topic,Quantum Science and Technology,Quantum computing,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum computing
atlas_atlas_quantum_technology_quantum_computing_quantum_simulation_theoretical_foundations,quantum simulation: theoretical foundations,theory,Quantum Science and Technology,Quantum computing,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for quantum simulation
atlas_atlas_quantum_technology_quantum_computing_quantum_simulation_methods_and_instruments,quantum simulation: methods and instruments,method,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for quantum simulation
atlas_atlas_quantum_technology_quantum_computing_quantum_simulation_open_questions,quantum simulation: open questions,research frontier,Quantum Science and Technology,Quantum computing,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for quantum simulation
atlas_atlas_quantum_technology_quantum_computing_quantum_simulation_applications_and_implication,quantum simulation: applications and implications,application,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for quantum simulation
atlas_quantum_technology_quantum_computing_fault_tolerance,fault tolerance,topic,Quantum Science and Technology,Quantum computing,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum computing
atlas_atlas_quantum_technology_quantum_computing_fault_tolerance_theoretical_foundations,fault tolerance: theoretical foundations,theory,Quantum Science and Technology,Quantum computing,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for fault tolerance
atlas_atlas_quantum_technology_quantum_computing_fault_tolerance_methods_and_instruments,fault tolerance: methods and instruments,method,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for fault tolerance
atlas_atlas_quantum_technology_quantum_computing_fault_tolerance_open_questions,fault tolerance: open questions,research frontier,Quantum Science and Technology,Quantum computing,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for fault tolerance
atlas_atlas_quantum_technology_quantum_computing_fault_tolerance_applications_and_implications,fault tolerance: applications and implications,application,Quantum Science and Technology,Quantum computing,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for fault tolerance
atlas_quantum_technology_quantum_communication,Quantum communication,field,Quantum Science and Technology,Quantum communication,intermediate,9,7,active,discipline taxonomy,A major research field within Quantum Science and Technology
atlas_quantum_technology_quantum_communication_quantum_cryptography,quantum cryptography,topic,Quantum Science and Technology,Quantum communication,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum communication
atlas_atlas_quantum_technology_quantum_communication_quantum_cryptography_theoretical_foundation,quantum cryptography: theoretical foundations,theory,Quantum Science and Technology,Quantum communication,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for quantum cryptography
atlas_atlas_quantum_technology_quantum_communication_quantum_cryptography_methods_and_instrument,quantum cryptography: methods and instruments,method,Quantum Science and Technology,Quantum communication,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for quantum cryptography
atlas_atlas_quantum_technology_quantum_communication_quantum_cryptography_open_questions,quantum cryptography: open questions,research frontier,Quantum Science and Technology,Quantum communication,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for quantum cryptography
atlas_atlas_quantum_technology_quantum_communication_quantum_cryptography_applications_and_impli,quantum cryptography: applications and implications,application,Quantum Science and Technology,Quantum communication,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for quantum cryptography
atlas_quantum_technology_quantum_communication_quantum_networks,quantum networks,topic,Quantum Science and Technology,Quantum communication,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum communication
atlas_atlas_quantum_technology_quantum_communication_quantum_networks_theoretical_foundations,quantum networks: theoretical foundations,theory,Quantum Science and Technology,Quantum communication,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for quantum networks
atlas_atlas_quantum_technology_quantum_communication_quantum_networks_methods_and_instruments,quantum networks: methods and instruments,method,Quantum Science and Technology,Quantum communication,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for quantum networks
atlas_atlas_quantum_technology_quantum_communication_quantum_networks_open_questions,quantum networks: open questions,research frontier,Quantum Science and Technology,Quantum communication,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for quantum networks
atlas_atlas_quantum_technology_quantum_communication_quantum_networks_applications_and_implicati,quantum networks: applications and implications,application,Quantum Science and Technology,Quantum communication,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for quantum networks
atlas_quantum_technology_quantum_communication_entanglement_distribution,entanglement distribution,topic,Quantum Science and Technology,Quantum communication,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum communication
atlas_atlas_quantum_technology_quantum_communication_entanglement_distribution_theoretical_found,entanglement distribution: theoretical foundations,theory,Quantum Science and Technology,Quantum communication,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for entanglement distribution
atlas_atlas_quantum_technology_quantum_communication_entanglement_distribution_methods_and_instr,entanglement distribution: methods and instruments,method,Quantum Science and Technology,Quantum communication,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for entanglement distribution
atlas_atlas_quantum_technology_quantum_communication_entanglement_distribution_open_questions,entanglement distribution: open questions,research frontier,Quantum Science and Technology,Quantum communication,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for entanglement distribution
atlas_atlas_quantum_technology_quantum_communication_entanglement_distribution_applications_and_,entanglement distribution: applications and implications,application,Quantum Science and Technology,Quantum communication,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for entanglement distribution
atlas_quantum_technology_quantum_communication_quantum_repeaters,quantum repeaters,topic,Quantum Science and Technology,Quantum communication,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum communication
atlas_atlas_quantum_technology_quantum_communication_quantum_repeaters_theoretical_foundations,quantum repeaters: theoretical foundations,theory,Quantum Science and Technology,Quantum communication,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for quantum repeaters
atlas_atlas_quantum_technology_quantum_communication_quantum_repeaters_methods_and_instruments,quantum repeaters: methods and instruments,method,Quantum Science and Technology,Quantum communication,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for quantum repeaters
atlas_atlas_quantum_technology_quantum_communication_quantum_repeaters_open_questions,quantum repeaters: open questions,research frontier,Quantum Science and Technology,Quantum communication,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for quantum repeaters
atlas_atlas_quantum_technology_quantum_communication_quantum_repeaters_applications_and_implicat,quantum repeaters: applications and implications,application,Quantum Science and Technology,Quantum communication,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for quantum repeaters
atlas_quantum_technology_quantum_communication_device_independent_protocols,device-independent protocols,topic,Quantum Science and Technology,Quantum communication,advanced,8,8,active,subject taxonomy,A scientific subject studied within Quantum communication
atlas_atlas_quantum_technology_quantum_communication_device_independent_protocols_theoretical_fo,device-independent protocols: theoretical foundations,theory,Quantum Science and Technology,Quantum communication,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for device-independent protocols
atlas_atlas_quantum_technology_quantum_communication_device_independent_protocols_methods_and_in,device-independent protocols: methods and instruments,method,Quantum Science and Technology,Quantum communication,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for device-independent protocols
