id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
medicine,Medicine,discipline,applied science,Medicine,foundational,10,8,established,curated core,A major scientific discipline centered on medicine.
medical_imaging,Medical Imaging,technology,applied science,Biomedical Engineering,advanced,8,8,established,curated core,Noninvasive visualization of anatomy and physiology
systems_medicine,Systems Medicine,field,applied science,Systems Medicine,research,8,9,established,curated core,Network and multiscale analysis of disease and treatment
atlas_medical_health_domain,Medical and Health Sciences,discipline,science atlas,Medical and Health Sciences,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_medical_health_internal_medicine,Internal medicine,field,Medical and Health Sciences,Internal medicine,intermediate,9,7,active,discipline taxonomy,A major research field within Medical and Health Sciences
atlas_medical_health_internal_medicine_cardiology,cardiology,topic,Medical and Health Sciences,Internal medicine,advanced,8,8,active,subject taxonomy,A scientific subject studied within Internal medicine
atlas_atlas_medical_health_internal_medicine_cardiology_theoretical_foundations,cardiology: theoretical foundations,theory,Medical and Health Sciences,Internal medicine,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for cardiology
atlas_atlas_medical_health_internal_medicine_cardiology_methods_and_instruments,cardiology: methods and instruments,method,Medical and Health Sciences,Internal medicine,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for cardiology
atlas_atlas_medical_health_internal_medicine_cardiology_open_questions,cardiology: open questions,research frontier,Medical and Health Sciences,Internal medicine,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for cardiology
atlas_atlas_medical_health_internal_medicine_cardiology_applications_and_implications,cardiology: applications and implications,application,Medical and Health Sciences,Internal medicine,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for cardiology
atlas_medical_health_internal_medicine_endocrinology,endocrinology,topic,Medical and Health Sciences,Internal medicine,advanced,8,8,active,subject taxonomy,A scientific subject studied within Internal medicine
atlas_atlas_medical_health_internal_medicine_endocrinology_theoretical_foundations,endocrinology: theoretical foundations,theory,Medical and Health Sciences,Internal medicine,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for endocrinology
atlas_atlas_medical_health_internal_medicine_endocrinology_methods_and_instruments,endocrinology: methods and instruments,method,Medical and Health Sciences,Internal medicine,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for endocrinology
atlas_atlas_medical_health_internal_medicine_endocrinology_open_questions,endocrinology: open questions,research frontier,Medical and Health Sciences,Internal medicine,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for endocrinology
atlas_atlas_medical_health_internal_medicine_endocrinology_applications_and_implications,endocrinology: applications and implications,application,Medical and Health Sciences,Internal medicine,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for endocrinology
