source,target,relation,relation_detail,weight,directed,relation_family,provenance
black_holes,astronomy,structure,part_of,0.96,true,structure,curated core
gravitational_waves,astronomy,structure,part_of,0.96,true,structure,curated core
stellar_evolution,astronomy,structure,part_of,0.96,true,structure,curated core
cosmology,astronomy,structure,part_of,0.96,true,structure,curated core
big_bang,astronomy,structure,part_of,0.96,true,structure,curated core
dark_matter,astronomy,structure,part_of,0.96,true,structure,curated core
dark_energy,astronomy,structure,part_of,0.96,true,structure,curated core
galaxy_dynamics,astronomy,structure,part_of,0.96,true,structure,curated core
exoplanets,astronomy,structure,part_of,0.96,true,structure,curated core
stellar_evolution,black_holes,process,produces,0.58,true,process,curated core
cosmology,big_bang,explanation,modeled_by,0.73,true,explanation,curated core
cosmology,dark_matter,association,studies,0.78,true,association,curated core
cosmology,dark_energy,association,studies,0.83,true,association,curated core
dark_matter,galaxy_dynamics,explanation,explains,0.88,true,explanation,curated core
dark_matter,dark_energy,interaction,contrasted_with,0.74,false,interaction,curated core
atlas_astronomy_cosmology_observational_astronomy,atlas_astronomy_cosmology_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_astronomy_cosmology_observational_astronomy_optical_astronomy,atlas_astronomy_cosmology_observational_astronomy,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_optical_astronomy_theoretical_foundation,atlas_astronomy_cosmology_observational_astronomy_optical_astronomy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_optical_astronomy_methods_and_instrument,atlas_astronomy_cosmology_observational_astronomy_optical_astronomy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_optical_astronomy_open_questions,atlas_astronomy_cosmology_observational_astronomy_optical_astronomy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_optical_astronomy_applications_and_impli,atlas_astronomy_cosmology_observational_astronomy_optical_astronomy,application,application_of,0.82,true,application,atlas taxonomy
atlas_astronomy_cosmology_observational_astronomy_radio_astronomy,atlas_astronomy_cosmology_observational_astronomy,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_radio_astronomy_theoretical_foundations,atlas_astronomy_cosmology_observational_astronomy_radio_astronomy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_radio_astronomy_methods_and_instruments,atlas_astronomy_cosmology_observational_astronomy_radio_astronomy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_radio_astronomy_open_questions,atlas_astronomy_cosmology_observational_astronomy_radio_astronomy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_radio_astronomy_applications_and_implica,atlas_astronomy_cosmology_observational_astronomy_radio_astronomy,application,application_of,0.82,true,application,atlas taxonomy
atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy,atlas_astronomy_cosmology_observational_astronomy,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy_theoretical_foundatio,atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy_methods_and_instrumen,atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy_open_questions,atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy_applications_and_impl,atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy,application,application_of,0.82,true,application,atlas taxonomy
atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy,atlas_astronomy_cosmology_observational_astronomy,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy_theoretical_founda,atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy_methods_and_instru,atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy_open_questions,atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy_applications_and_i,atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy,application,application_of,0.82,true,application,atlas taxonomy
atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy,atlas_astronomy_cosmology_observational_astronomy,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy_theoretical_founda,atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy_methods_and_instru,atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy_open_questions,atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy_applications_and_i,atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy,application,application_of,0.82,true,application,atlas taxonomy
atlas_astronomy_cosmology_observational_astronomy_optical_astronomy,atlas_astronomy_cosmology_observational_astronomy_radio_astronomy,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_astronomy_cosmology_observational_astronomy_radio_astronomy,atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_astronomy_cosmology_observational_astronomy_infrared_astronomy,atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_astronomy_cosmology_observational_astronomy_high_energy_astronomy,atlas_astronomy_cosmology_observational_astronomy_time_domain_astronomy,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_astronomy_cosmology_stellar_and_galactic_astrophysics,atlas_astronomy_cosmology_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_structure,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_structure_theoretical_,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_structure,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_structure_methods_and_,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_structure,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_structure_open_questio,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_structure,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_structure_applications,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_structure,application,application_of,0.82,true,application,atlas taxonomy
atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_nucleosynthesis,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_nucleosynthesis_theore,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_nucleosynthesis,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_nucleosynthesis_method,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_nucleosynthesis,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_nucleosynthesis_open_q,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_nucleosynthesis,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_nucleosynthesis_applic,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_stellar_nucleosynthesis,application,application_of,0.82,true,application,atlas taxonomy
atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galaxy_formation,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galaxy_formation_theoretical_f,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galaxy_formation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galaxy_formation_methods_and_i,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galaxy_formation,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galaxy_formation_open_question,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galaxy_formation,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galaxy_formation_applications_,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galaxy_formation,application,application_of,0.82,true,application,atlas taxonomy
atlas_astronomy_cosmology_stellar_and_galactic_astrophysics_galactic_dynamics,atlas_astronomy_cosmology_stellar_and_galactic_astrophysics,structure,part_of,0.94,true,structure,atlas taxonomy
