id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
condensed_matter,Condensed Matter Physics,field,natural science,Matter Physics,advanced,9,9,established,curated core,Collective properties of solids and liquids
atlas_materials_science_domain,Materials Science and Nanotechnology,discipline,science atlas,Materials Science and Nanotechnology,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_materials_science_electronic_materials,Electronic materials,field,Materials Science and Nanotechnology,Electronic materials,intermediate,9,7,active,discipline taxonomy,A major research field within Materials Science and Nanotechnology
atlas_materials_science_electronic_materials_semiconductors,semiconductors,topic,Materials Science and Nanotechnology,Electronic materials,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electronic materials
atlas_atlas_materials_science_electronic_materials_semiconductors_theoretical_foundations,semiconductors: theoretical foundations,theory,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for semiconductors
atlas_atlas_materials_science_electronic_materials_semiconductors_methods_and_instruments,semiconductors: methods and instruments,method,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for semiconductors
atlas_atlas_materials_science_electronic_materials_semiconductors_open_questions,semiconductors: open questions,research frontier,Materials Science and Nanotechnology,Electronic materials,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for semiconductors
atlas_atlas_materials_science_electronic_materials_semiconductors_applications_and_implications,semiconductors: applications and implications,application,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for semiconductors
atlas_materials_science_electronic_materials_superconductors,superconductors,topic,Materials Science and Nanotechnology,Electronic materials,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electronic materials
atlas_atlas_materials_science_electronic_materials_superconductors_theoretical_foundations,superconductors: theoretical foundations,theory,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for superconductors
atlas_atlas_materials_science_electronic_materials_superconductors_methods_and_instruments,superconductors: methods and instruments,method,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for superconductors
atlas_atlas_materials_science_electronic_materials_superconductors_open_questions,superconductors: open questions,research frontier,Materials Science and Nanotechnology,Electronic materials,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for superconductors
atlas_atlas_materials_science_electronic_materials_superconductors_applications_and_implications,superconductors: applications and implications,application,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for superconductors
atlas_materials_science_electronic_materials_topological_materials,topological materials,topic,Materials Science and Nanotechnology,Electronic materials,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electronic materials
atlas_atlas_materials_science_electronic_materials_topological_materials_theoretical_foundations,topological materials: theoretical foundations,theory,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for topological materials
atlas_atlas_materials_science_electronic_materials_topological_materials_methods_and_instruments,topological materials: methods and instruments,method,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for topological materials
atlas_atlas_materials_science_electronic_materials_topological_materials_open_questions,topological materials: open questions,research frontier,Materials Science and Nanotechnology,Electronic materials,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for topological materials
atlas_atlas_materials_science_electronic_materials_topological_materials_applications_and_implic,topological materials: applications and implications,application,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for topological materials
atlas_materials_science_electronic_materials_dielectrics,dielectrics,topic,Materials Science and Nanotechnology,Electronic materials,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electronic materials
atlas_atlas_materials_science_electronic_materials_dielectrics_theoretical_foundations,dielectrics: theoretical foundations,theory,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for dielectrics
atlas_atlas_materials_science_electronic_materials_dielectrics_methods_and_instruments,dielectrics: methods and instruments,method,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for dielectrics
atlas_atlas_materials_science_electronic_materials_dielectrics_open_questions,dielectrics: open questions,research frontier,Materials Science and Nanotechnology,Electronic materials,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for dielectrics
atlas_atlas_materials_science_electronic_materials_dielectrics_applications_and_implications,dielectrics: applications and implications,application,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for dielectrics
atlas_materials_science_electronic_materials_spintronics,spintronics,topic,Materials Science and Nanotechnology,Electronic materials,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electronic materials
atlas_atlas_materials_science_electronic_materials_spintronics_theoretical_foundations,spintronics: theoretical foundations,theory,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for spintronics
atlas_atlas_materials_science_electronic_materials_spintronics_methods_and_instruments,spintronics: methods and instruments,method,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for spintronics
atlas_atlas_materials_science_electronic_materials_spintronics_open_questions,spintronics: open questions,research frontier,Materials Science and Nanotechnology,Electronic materials,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for spintronics
atlas_atlas_materials_science_electronic_materials_spintronics_applications_and_implications,spintronics: applications and implications,application,Materials Science and Nanotechnology,Electronic materials,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for spintronics
atlas_materials_science_structural_materials,Structural materials,field,Materials Science and Nanotechnology,Structural materials,intermediate,9,7,active,discipline taxonomy,A major research field within Materials Science and Nanotechnology
atlas_materials_science_structural_materials_metals_and_alloys,metals and alloys,topic,Materials Science and Nanotechnology,Structural materials,advanced,8,8,active,subject taxonomy,A scientific subject studied within Structural materials
atlas_atlas_materials_science_structural_materials_metals_and_alloys_theoretical_foundations,metals and alloys: theoretical foundations,theory,Materials Science and Nanotechnology,Structural materials,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for metals and alloys
atlas_atlas_materials_science_structural_materials_metals_and_alloys_methods_and_instruments,metals and alloys: methods and instruments,method,Materials Science and Nanotechnology,Structural materials,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for metals and alloys
atlas_atlas_materials_science_structural_materials_metals_and_alloys_open_questions,metals and alloys: open questions,research frontier,Materials Science and Nanotechnology,Structural materials,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for metals and alloys
atlas_atlas_materials_science_structural_materials_metals_and_alloys_applications_and_implicatio,metals and alloys: applications and implications,application,Materials Science and Nanotechnology,Structural materials,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for metals and alloys
atlas_materials_science_structural_materials_ceramics,ceramics,topic,Materials Science and Nanotechnology,Structural materials,advanced,8,8,active,subject taxonomy,A scientific subject studied within Structural materials
atlas_atlas_materials_science_structural_materials_ceramics_theoretical_foundations,ceramics: theoretical foundations,theory,Materials Science and Nanotechnology,Structural materials,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for ceramics
atlas_atlas_materials_science_structural_materials_ceramics_methods_and_instruments,ceramics: methods and instruments,method,Materials Science and Nanotechnology,Structural materials,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for ceramics
atlas_atlas_materials_science_structural_materials_ceramics_open_questions,ceramics: open questions,research frontier,Materials Science and Nanotechnology,Structural materials,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for ceramics
atlas_atlas_materials_science_structural_materials_ceramics_applications_and_implications,ceramics: applications and implications,application,Materials Science and Nanotechnology,Structural materials,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for ceramics
atlas_materials_science_structural_materials_polymers,polymers,topic,Materials Science and Nanotechnology,Structural materials,advanced,8,8,active,subject taxonomy,A scientific subject studied within Structural materials
atlas_atlas_materials_science_structural_materials_polymers_theoretical_foundations,polymers: theoretical foundations,theory,Materials Science and Nanotechnology,Structural materials,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for polymers
atlas_atlas_materials_science_structural_materials_polymers_methods_and_instruments,polymers: methods and instruments,method,Materials Science and Nanotechnology,Structural materials,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for polymers
atlas_atlas_materials_science_structural_materials_polymers_open_questions,polymers: open questions,research frontier,Materials Science and Nanotechnology,Structural materials,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for polymers
