source,target,relation,relation_detail,weight,directed,relation_family,provenance
neuron,neurobiology,structure,part_of,0.96,true,structure,curated core
synapse,neurobiology,structure,part_of,0.96,true,structure,curated core
action_potential,neurobiology,structure,part_of,0.96,true,structure,curated core
neurotransmitter,neurobiology,structure,part_of,0.96,true,structure,curated core
neural_plasticity,neuroscience,structure,part_of,0.96,true,structure,curated core
hebbian_learning,neuroscience,structure,part_of,0.96,true,structure,curated core
predictive_coding,neuroscience,structure,part_of,0.96,true,structure,curated core
neural_coding,neuroscience,structure,part_of,0.96,true,structure,curated core
connectome,neuroscience,structure,part_of,0.96,true,structure,curated core
brain_networks,neuroscience,structure,part_of,0.96,true,structure,curated core
glia,neurobiology,structure,part_of,0.96,true,structure,curated core
fmri,neuroscience,structure,part_of,0.96,true,structure,curated core
eeg,neuroscience,structure,part_of,0.96,true,structure,curated core
neuron,action_potential,process,generates,0.63,true,process,curated core
neuron,synapse,association,forms,0.68,true,association,curated core
synapse,neurotransmitter,association,uses,0.73,true,association,curated core
neural_plasticity,synapse,association,modifies,0.78,true,association,curated core
hebbian_learning,neural_plasticity,explanation,models,0.83,true,explanation,curated core
brain_networks,connectome,application,analyzes,0.93,true,application,curated core
brain_computer_interface,neural_coding,information flow,decodes,0.88,true,information flow,curated core
fmri,brain_networks,information flow,measures,0.93,true,information flow,curated core
eeg,neural_coding,information flow,measures,0.58,true,information flow,curated core
glia,synapse,association,modulates,0.63,true,association,curated core
neurodegeneration,neuron,process,damages,0.68,true,process,curated core
neurobiology,neuroscience,interaction,bridges,0.62,false,interaction,curated core
atlas_neuroscience_cellular_neuroscience,atlas_neuroscience_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_neuroscience_cellular_neuroscience_neurons_and_glia,atlas_neuroscience_cellular_neuroscience,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_neuroscience_cellular_neuroscience_neurons_and_glia_theoretical_foundations,atlas_neuroscience_cellular_neuroscience_neurons_and_glia,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_neuroscience_cellular_neuroscience_neurons_and_glia_methods_and_instruments,atlas_neuroscience_cellular_neuroscience_neurons_and_glia,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_neuroscience_cellular_neuroscience_neurons_and_glia_open_questions,atlas_neuroscience_cellular_neuroscience_neurons_and_glia,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_neuroscience_cellular_neuroscience_neurons_and_glia_applications_and_implications,atlas_neuroscience_cellular_neuroscience_neurons_and_glia,application,application_of,0.82,true,application,atlas taxonomy
atlas_neuroscience_cellular_neuroscience_action_potentials,atlas_neuroscience_cellular_neuroscience,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_neuroscience_cellular_neuroscience_action_potentials_theoretical_foundations,atlas_neuroscience_cellular_neuroscience_action_potentials,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_neuroscience_cellular_neuroscience_action_potentials_methods_and_instruments,atlas_neuroscience_cellular_neuroscience_action_potentials,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_neuroscience_cellular_neuroscience_action_potentials_open_questions,atlas_neuroscience_cellular_neuroscience_action_potentials,association,investigates,0.72,true,association,atlas taxonomy
