source,target,relation,relation_detail,weight,directed,relation_family,provenance
logic,mathematics,structure,part_of,0.96,true,structure,curated core
set_theory,mathematics,structure,part_of,0.96,true,structure,curated core
category_theory,mathematics,structure,part_of,0.96,true,structure,curated core
linear_algebra,mathematics,structure,part_of,0.96,true,structure,curated core
abstract_algebra,mathematics,structure,part_of,0.96,true,structure,curated core
group_theory,mathematics,structure,part_of,0.96,true,structure,curated core
ring_theory,mathematics,structure,part_of,0.96,true,structure,curated core
number_theory,mathematics,structure,part_of,0.96,true,structure,curated core
calculus,mathematics,structure,part_of,0.96,true,structure,curated core
real_analysis,mathematics,structure,part_of,0.96,true,structure,curated core
complex_analysis,mathematics,structure,part_of,0.96,true,structure,curated core
functional_analysis,mathematics,structure,part_of,0.96,true,structure,curated core
differential_equations,mathematics,structure,part_of,0.96,true,structure,curated core
dynamical_systems,mathematics,structure,part_of,0.96,true,structure,curated core
graph_theory,mathematics,structure,part_of,0.96,true,structure,curated core
topology,mathematics,structure,part_of,0.96,true,structure,curated core
differential_geometry,mathematics,structure,part_of,0.96,true,structure,curated core
tda,mathematics,structure,part_of,0.96,true,structure,curated core
optimization,mathematics,structure,part_of,0.96,true,structure,curated core
game_theory,mathematics,structure,part_of,0.96,true,structure,curated core
numerical_analysis,mathematics,structure,part_of,0.96,true,structure,curated core
logic,set_theory,foundation,grounds,0.58,true,foundation,curated core
set_theory,topology,foundation,supports,0.63,true,foundation,curated core
category_theory,abstract_algebra,generalization,unifies,0.73,true,generalization,curated core
category_theory,topology,generalization,unifies,0.78,true,generalization,curated core
linear_algebra,functional_analysis,foundation,supports,0.83,true,foundation,curated core
linear_algebra,differential_equations,foundation,supports,0.88,true,foundation,curated core
abstract_algebra,group_theory,structure,contains,0.93,true,structure,curated core
abstract_algebra,ring_theory,structure,contains,0.58,true,structure,curated core
calculus,real_analysis,foundation,formalized_by,0.78,true,foundation,curated core
calculus,differential_equations,foundation,supports,0.83,true,foundation,curated core
topology,tda,foundation,enables,0.68,true,foundation,curated core
atlas_mathematical_sciences_foundations_and_logic,atlas_mathematical_sciences_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_mathematical_sciences_foundations_and_logic_proof_theory,atlas_mathematical_sciences_foundations_and_logic,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_mathematical_sciences_foundations_and_logic_proof_theory_theoretical_foundations,atlas_mathematical_sciences_foundations_and_logic_proof_theory,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_mathematical_sciences_foundations_and_logic_proof_theory_methods_and_instruments,atlas_mathematical_sciences_foundations_and_logic_proof_theory,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_mathematical_sciences_foundations_and_logic_proof_theory_open_questions,atlas_mathematical_sciences_foundations_and_logic_proof_theory,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_mathematical_sciences_foundations_and_logic_proof_theory_applications_and_implicatio,atlas_mathematical_sciences_foundations_and_logic_proof_theory,application,application_of,0.82,true,application,atlas taxonomy
atlas_mathematical_sciences_foundations_and_logic_model_theory,atlas_mathematical_sciences_foundations_and_logic,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_mathematical_sciences_foundations_and_logic_model_theory_theoretical_foundations,atlas_mathematical_sciences_foundations_and_logic_model_theory,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_mathematical_sciences_foundations_and_logic_model_theory_methods_and_instruments,atlas_mathematical_sciences_foundations_and_logic_model_theory,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_mathematical_sciences_foundations_and_logic_model_theory_open_questions,atlas_mathematical_sciences_foundations_and_logic_model_theory,association,investigates,0.72,true,association,atlas taxonomy
