id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
biochemistry,Biochemistry,discipline,life science,Biochemistry,foundational,10,8,established,curated core,A major scientific discipline centered on biochemistry.
molecular_biology,Molecular Biology,field,natural and life science,Molecular Biology,intermediate,10,8,established,curated core,Molecular mechanisms of biological information and function
dna,DNA,molecule,life science,Molecular Biology,foundational,10,5,established,curated core,Polymer encoding hereditary information
rna,RNA,molecule,life science,Molecular Biology,foundational,9,5,established,curated core,Polymer supporting information transfer regulation and catalysis
protein,Proteins,molecule,life science,Molecular Biology,foundational,10,6,established,curated core,Functional polymers of amino acids
metabolism,Metabolism,process,life science,Biochemistry,intermediate,10,8,established,curated core,Chemical reaction networks sustaining life
enzyme,Enzymes,molecule,life science,Biochemistry,intermediate,10,7,established,curated core,Biological catalysts controlling reaction rates
atp,ATP,molecule,life science,Biochemistry,foundational,9,5,established,curated core,Nucleotide coupling energy-releasing and energy-consuming processes
cellular_respiration,Cellular Respiration,process,life science,Biochemistry,intermediate,9,7,established,curated core,Biochemical extraction of energy from nutrients
photosynthesis,Photosynthesis,process,life science,Biochemistry,intermediate,9,8,established,curated core,Conversion of light energy into chemical energy
protein_folding,Protein Folding,process,life science,Structural Biology,advanced,9,9,established,curated core,Formation of functional protein conformations
atlas_biochemistry_molecular_domain,Biochemistry and Molecular Biology,discipline,science atlas,Biochemistry and Molecular Biology,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_biochemistry_molecular_protein_science,Protein science,field,Biochemistry and Molecular Biology,Protein science,intermediate,9,7,active,discipline taxonomy,A major research field within Biochemistry and Molecular Biology
atlas_biochemistry_molecular_protein_science_protein_structure,protein structure,topic,Biochemistry and Molecular Biology,Protein science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Protein science
atlas_atlas_biochemistry_molecular_protein_science_protein_structure_theoretical_foundations,protein structure: theoretical foundations,theory,Biochemistry and Molecular Biology,Protein science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for protein structure
atlas_atlas_biochemistry_molecular_protein_science_protein_structure_methods_and_instruments,protein structure: methods and instruments,method,Biochemistry and Molecular Biology,Protein science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for protein structure
atlas_atlas_biochemistry_molecular_protein_science_protein_structure_open_questions,protein structure: open questions,research frontier,Biochemistry and Molecular Biology,Protein science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for protein structure
atlas_atlas_biochemistry_molecular_protein_science_protein_structure_applications_and_implicatio,protein structure: applications and implications,application,Biochemistry and Molecular Biology,Protein science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for protein structure
atlas_protein_folding_theoretical_foundations,protein folding: theoretical foundations,theory,Biochemistry and Molecular Biology,Protein science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for protein folding
atlas_protein_folding_methods_and_instruments,protein folding: methods and instruments,method,Biochemistry and Molecular Biology,Protein science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for protein folding
atlas_protein_folding_open_questions,protein folding: open questions,research frontier,Biochemistry and Molecular Biology,Protein science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for protein folding
atlas_protein_folding_applications_and_implications,protein folding: applications and implications,application,Biochemistry and Molecular Biology,Protein science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for protein folding
atlas_biochemistry_molecular_protein_science_enzyme_catalysis,enzyme catalysis,topic,Biochemistry and Molecular Biology,Protein science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Protein science
