id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
scientific_method,Scientific Method,method,interdisciplinary science,Philosophy of Science,foundational,10,5,established,curated core,Evidence-based hypothesis testing modeling and revision
measurement,Measurement Theory,field,interdisciplinary science,Metrology,advanced,9,8,established,curated core,Representation calibration uncertainty and interpretation of measurement
atlas_science_studies_domain,Philosophy History and Methodology of Science,discipline,science atlas,Philosophy History and Methodology of Science,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_science_studies_philosophy_of_science,Philosophy of science,field,Philosophy History and Methodology of Science,Philosophy of science,intermediate,9,7,active,discipline taxonomy,A major research field within Philosophy History and Methodology of Science
atlas_science_studies_philosophy_of_science_scientific_explanation,scientific explanation,topic,Philosophy History and Methodology of Science,Philosophy of science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Philosophy of science
atlas_atlas_science_studies_philosophy_of_science_scientific_explanation_theoretical_foundations,scientific explanation: theoretical foundations,theory,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for scientific explanation
atlas_atlas_science_studies_philosophy_of_science_scientific_explanation_methods_and_instruments,scientific explanation: methods and instruments,method,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for scientific explanation
atlas_atlas_science_studies_philosophy_of_science_scientific_explanation_open_questions,scientific explanation: open questions,research frontier,Philosophy History and Methodology of Science,Philosophy of science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for scientific explanation
atlas_atlas_science_studies_philosophy_of_science_scientific_explanation_applications_and_implic,scientific explanation: applications and implications,application,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for scientific explanation
atlas_science_studies_philosophy_of_science_confirmation_and_evidence,confirmation and evidence,topic,Philosophy History and Methodology of Science,Philosophy of science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Philosophy of science
atlas_atlas_science_studies_philosophy_of_science_confirmation_and_evidence_theoretical_foundati,confirmation and evidence: theoretical foundations,theory,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for confirmation and evidence
atlas_atlas_science_studies_philosophy_of_science_confirmation_and_evidence_methods_and_instrume,confirmation and evidence: methods and instruments,method,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for confirmation and evidence
atlas_atlas_science_studies_philosophy_of_science_confirmation_and_evidence_open_questions,confirmation and evidence: open questions,research frontier,Philosophy History and Methodology of Science,Philosophy of science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for confirmation and evidence
atlas_atlas_science_studies_philosophy_of_science_confirmation_and_evidence_applications_and_imp,confirmation and evidence: applications and implications,application,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for confirmation and evidence
atlas_science_studies_philosophy_of_science_realism_and_anti_realism,realism and anti-realism,topic,Philosophy History and Methodology of Science,Philosophy of science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Philosophy of science
atlas_atlas_science_studies_philosophy_of_science_realism_and_anti_realism_theoretical_foundatio,realism and anti-realism: theoretical foundations,theory,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for realism and anti-realism
atlas_atlas_science_studies_philosophy_of_science_realism_and_anti_realism_methods_and_instrumen,realism and anti-realism: methods and instruments,method,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for realism and anti-realism
atlas_atlas_science_studies_philosophy_of_science_realism_and_anti_realism_open_questions,realism and anti-realism: open questions,research frontier,Philosophy History and Methodology of Science,Philosophy of science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for realism and anti-realism
atlas_atlas_science_studies_philosophy_of_science_realism_and_anti_realism_applications_and_impl,realism and anti-realism: applications and implications,application,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for realism and anti-realism
atlas_science_studies_philosophy_of_science_causation,causation,topic,Philosophy History and Methodology of Science,Philosophy of science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Philosophy of science
atlas_atlas_science_studies_philosophy_of_science_causation_theoretical_foundations,causation: theoretical foundations,theory,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for causation
atlas_atlas_science_studies_philosophy_of_science_causation_methods_and_instruments,causation: methods and instruments,method,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for causation
atlas_atlas_science_studies_philosophy_of_science_causation_open_questions,causation: open questions,research frontier,Philosophy History and Methodology of Science,Philosophy of science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for causation
atlas_atlas_science_studies_philosophy_of_science_causation_applications_and_implications,causation: applications and implications,application,Philosophy History and Methodology of Science,Philosophy of science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for causation
atlas_science_studies_philosophy_of_science_models_and_representation,models and representation,topic,Philosophy History and Methodology of Science,Philosophy of science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Philosophy of science
