source,target,relation,relation_detail,weight,directed,relation_family,provenance
microbiology,virology,structure,contains,0.68,true,structure,curated core
immunology,virology,association,responds_to,0.73,true,association,curated core
atlas_microbiology_virology_bacteriology,atlas_microbiology_virology_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_microbiology_virology_bacteriology_bacterial_physiology,atlas_microbiology_virology_bacteriology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_microbiology_virology_bacteriology_bacterial_physiology_theoretical_foundations,atlas_microbiology_virology_bacteriology_bacterial_physiology,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_microbiology_virology_bacteriology_bacterial_physiology_methods_and_instruments,atlas_microbiology_virology_bacteriology_bacterial_physiology,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_microbiology_virology_bacteriology_bacterial_physiology_open_questions,atlas_microbiology_virology_bacteriology_bacterial_physiology,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_microbiology_virology_bacteriology_bacterial_physiology_applications_and_implication,atlas_microbiology_virology_bacteriology_bacterial_physiology,application,application_of,0.82,true,application,atlas taxonomy
atlas_microbiology_virology_bacteriology_microbial_genetics,atlas_microbiology_virology_bacteriology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_microbiology_virology_bacteriology_microbial_genetics_theoretical_foundations,atlas_microbiology_virology_bacteriology_microbial_genetics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_microbiology_virology_bacteriology_microbial_genetics_methods_and_instruments,atlas_microbiology_virology_bacteriology_microbial_genetics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_microbiology_virology_bacteriology_microbial_genetics_open_questions,atlas_microbiology_virology_bacteriology_microbial_genetics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_microbiology_virology_bacteriology_microbial_genetics_applications_and_implications,atlas_microbiology_virology_bacteriology_microbial_genetics,application,application_of,0.82,true,application,atlas taxonomy
atlas_microbiology_virology_bacteriology_biofilms,atlas_microbiology_virology_bacteriology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_microbiology_virology_bacteriology_biofilms_theoretical_foundations,atlas_microbiology_virology_bacteriology_biofilms,association,formalizes,0.82,true,association,atlas taxonomy
