source,target,relation,relation_detail,weight,directed,relation_family,provenance
atlas_agricultural_food_veterinary_crop_science,atlas_agricultural_food_veterinary_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_agricultural_food_veterinary_crop_science_plant_breeding,atlas_agricultural_food_veterinary_crop_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_plant_breeding_theoretical_foundations,atlas_agricultural_food_veterinary_crop_science_plant_breeding,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_plant_breeding_methods_and_instruments,atlas_agricultural_food_veterinary_crop_science_plant_breeding,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_plant_breeding_open_questions,atlas_agricultural_food_veterinary_crop_science_plant_breeding,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_plant_breeding_applications_and_implicatio,atlas_agricultural_food_veterinary_crop_science_plant_breeding,application,application_of,0.82,true,application,atlas taxonomy
atlas_agricultural_food_veterinary_crop_science_crop_genetics,atlas_agricultural_food_veterinary_crop_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_crop_genetics_theoretical_foundations,atlas_agricultural_food_veterinary_crop_science_crop_genetics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_crop_genetics_methods_and_instruments,atlas_agricultural_food_veterinary_crop_science_crop_genetics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_crop_genetics_open_questions,atlas_agricultural_food_veterinary_crop_science_crop_genetics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_crop_genetics_applications_and_implication,atlas_agricultural_food_veterinary_crop_science_crop_genetics,application,application_of,0.82,true,application,atlas taxonomy
atlas_agricultural_food_veterinary_crop_science_soil_fertility,atlas_agricultural_food_veterinary_crop_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_soil_fertility_theoretical_foundations,atlas_agricultural_food_veterinary_crop_science_soil_fertility,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_soil_fertility_methods_and_instruments,atlas_agricultural_food_veterinary_crop_science_soil_fertility,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_soil_fertility_open_questions,atlas_agricultural_food_veterinary_crop_science_soil_fertility,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_soil_fertility_applications_and_implicatio,atlas_agricultural_food_veterinary_crop_science_soil_fertility,application,application_of,0.82,true,application,atlas taxonomy
atlas_agricultural_food_veterinary_crop_science_precision_agriculture,atlas_agricultural_food_veterinary_crop_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_precision_agriculture_theoretical_foundati,atlas_agricultural_food_veterinary_crop_science_precision_agriculture,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_precision_agriculture_methods_and_instrume,atlas_agricultural_food_veterinary_crop_science_precision_agriculture,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_precision_agriculture_open_questions,atlas_agricultural_food_veterinary_crop_science_precision_agriculture,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_precision_agriculture_applications_and_imp,atlas_agricultural_food_veterinary_crop_science_precision_agriculture,application,application_of,0.82,true,application,atlas taxonomy
atlas_agricultural_food_veterinary_crop_science_crop_protection,atlas_agricultural_food_veterinary_crop_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_crop_protection_theoretical_foundations,atlas_agricultural_food_veterinary_crop_science_crop_protection,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_crop_protection_methods_and_instruments,atlas_agricultural_food_veterinary_crop_science_crop_protection,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_crop_protection_open_questions,atlas_agricultural_food_veterinary_crop_science_crop_protection,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_crop_science_crop_protection_applications_and_implicati,atlas_agricultural_food_veterinary_crop_science_crop_protection,application,application_of,0.82,true,application,atlas taxonomy
atlas_agricultural_food_veterinary_crop_science_plant_breeding,atlas_agricultural_food_veterinary_crop_science_crop_genetics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_agricultural_food_veterinary_crop_science_crop_genetics,atlas_agricultural_food_veterinary_crop_science_soil_fertility,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_agricultural_food_veterinary_crop_science_soil_fertility,atlas_agricultural_food_veterinary_crop_science_precision_agriculture,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_agricultural_food_veterinary_crop_science_precision_agriculture,atlas_agricultural_food_veterinary_crop_science_crop_protection,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_agricultural_food_veterinary_animal_and_veterinary_science,atlas_agricultural_food_veterinary_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics,atlas_agricultural_food_veterinary_animal_and_veterinary_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics_theoretic,atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics_methods_a,atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics_open_ques,atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics_applicati,atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics,application,application_of,0.82,true,application,atlas taxonomy
atlas_agricultural_food_veterinary_animal_and_veterinary_science_veterinary_medicine,atlas_agricultural_food_veterinary_animal_and_veterinary_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_agricultural_food_veterinary_animal_and_veterinary_science_veterinary_medicine_theor,atlas_agricultural_food_veterinary_animal_and_veterinary_science_veterinary_medicine,association,formalizes,0.82,true,association,atlas taxonomy
