id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
atlas_agricultural_food_veterinary_domain,Agricultural Food and Veterinary Sciences,discipline,science atlas,Agricultural Food and Veterinary Sciences,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_agricultural_food_veterinary_crop_science,Crop science,field,Agricultural Food and Veterinary Sciences,Crop science,intermediate,9,7,active,discipline taxonomy,A major research field within Agricultural Food and Veterinary Sciences
atlas_agricultural_food_veterinary_crop_science_plant_breeding,plant breeding,topic,Agricultural Food and Veterinary Sciences,Crop science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Crop science
atlas_atlas_agricultural_food_veterinary_crop_science_plant_breeding_theoretical_foundations,plant breeding: theoretical foundations,theory,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for plant breeding
atlas_atlas_agricultural_food_veterinary_crop_science_plant_breeding_methods_and_instruments,plant breeding: methods and instruments,method,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for plant breeding
atlas_atlas_agricultural_food_veterinary_crop_science_plant_breeding_open_questions,plant breeding: open questions,research frontier,Agricultural Food and Veterinary Sciences,Crop science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for plant breeding
atlas_atlas_agricultural_food_veterinary_crop_science_plant_breeding_applications_and_implicatio,plant breeding: applications and implications,application,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for plant breeding
atlas_agricultural_food_veterinary_crop_science_crop_genetics,crop genetics,topic,Agricultural Food and Veterinary Sciences,Crop science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Crop science
atlas_atlas_agricultural_food_veterinary_crop_science_crop_genetics_theoretical_foundations,crop genetics: theoretical foundations,theory,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for crop genetics
atlas_atlas_agricultural_food_veterinary_crop_science_crop_genetics_methods_and_instruments,crop genetics: methods and instruments,method,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for crop genetics
atlas_atlas_agricultural_food_veterinary_crop_science_crop_genetics_open_questions,crop genetics: open questions,research frontier,Agricultural Food and Veterinary Sciences,Crop science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for crop genetics
atlas_atlas_agricultural_food_veterinary_crop_science_crop_genetics_applications_and_implication,crop genetics: applications and implications,application,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for crop genetics
atlas_agricultural_food_veterinary_crop_science_soil_fertility,soil fertility,topic,Agricultural Food and Veterinary Sciences,Crop science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Crop science
atlas_atlas_agricultural_food_veterinary_crop_science_soil_fertility_theoretical_foundations,soil fertility: theoretical foundations,theory,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for soil fertility
atlas_atlas_agricultural_food_veterinary_crop_science_soil_fertility_methods_and_instruments,soil fertility: methods and instruments,method,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for soil fertility
atlas_atlas_agricultural_food_veterinary_crop_science_soil_fertility_open_questions,soil fertility: open questions,research frontier,Agricultural Food and Veterinary Sciences,Crop science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for soil fertility
atlas_atlas_agricultural_food_veterinary_crop_science_soil_fertility_applications_and_implicatio,soil fertility: applications and implications,application,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for soil fertility
atlas_agricultural_food_veterinary_crop_science_precision_agriculture,precision agriculture,topic,Agricultural Food and Veterinary Sciences,Crop science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Crop science
atlas_atlas_agricultural_food_veterinary_crop_science_precision_agriculture_theoretical_foundati,precision agriculture: theoretical foundations,theory,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for precision agriculture
atlas_atlas_agricultural_food_veterinary_crop_science_precision_agriculture_methods_and_instrume,precision agriculture: methods and instruments,method,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for precision agriculture
atlas_atlas_agricultural_food_veterinary_crop_science_precision_agriculture_open_questions,precision agriculture: open questions,research frontier,Agricultural Food and Veterinary Sciences,Crop science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for precision agriculture
atlas_atlas_agricultural_food_veterinary_crop_science_precision_agriculture_applications_and_imp,precision agriculture: applications and implications,application,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for precision agriculture
atlas_agricultural_food_veterinary_crop_science_crop_protection,crop protection,topic,Agricultural Food and Veterinary Sciences,Crop science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Crop science
atlas_atlas_agricultural_food_veterinary_crop_science_crop_protection_theoretical_foundations,crop protection: theoretical foundations,theory,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for crop protection
atlas_atlas_agricultural_food_veterinary_crop_science_crop_protection_methods_and_instruments,crop protection: methods and instruments,method,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for crop protection
atlas_atlas_agricultural_food_veterinary_crop_science_crop_protection_open_questions,crop protection: open questions,research frontier,Agricultural Food and Veterinary Sciences,Crop science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for crop protection
atlas_atlas_agricultural_food_veterinary_crop_science_crop_protection_applications_and_implicati,crop protection: applications and implications,application,Agricultural Food and Veterinary Sciences,Crop science,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for crop protection
atlas_agricultural_food_veterinary_animal_and_veterinary_science,Animal and veterinary science,field,Agricultural Food and Veterinary Sciences,Animal and veterinary science,intermediate,9,7,active,discipline taxonomy,A major research field within Agricultural Food and Veterinary Sciences
atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics,animal genetics,topic,Agricultural Food and Veterinary Sciences,Animal and veterinary science,advanced,8,8,active,subject taxonomy,A scientific subject studied within Animal and veterinary science
atlas_atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics_theoretic,animal genetics: theoretical foundations,theory,Agricultural Food and Veterinary Sciences,Animal and veterinary science,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for animal genetics
atlas_atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics_methods_a,animal genetics: methods and instruments,method,Agricultural Food and Veterinary Sciences,Animal and veterinary science,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for animal genetics
atlas_atlas_agricultural_food_veterinary_animal_and_veterinary_science_animal_genetics_open_ques,animal genetics: open questions,research frontier,Agricultural Food and Veterinary Sciences,Animal and veterinary science,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for animal genetics
