source,target,relation,relation_detail,weight,directed,relation_family,provenance
atlas_environment_ecology_ecosystem_science,atlas_environment_ecology_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_environment_ecology_ecosystem_science_food_webs,atlas_environment_ecology_ecosystem_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_food_webs_theoretical_foundations,atlas_environment_ecology_ecosystem_science_food_webs,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_food_webs_methods_and_instruments,atlas_environment_ecology_ecosystem_science_food_webs,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_food_webs_open_questions,atlas_environment_ecology_ecosystem_science_food_webs,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_food_webs_applications_and_implications,atlas_environment_ecology_ecosystem_science_food_webs,application,application_of,0.82,true,application,atlas taxonomy
atlas_environment_ecology_ecosystem_science_ecosystem_productivity,atlas_environment_ecology_ecosystem_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_ecosystem_productivity_theoretical_foundations,atlas_environment_ecology_ecosystem_science_ecosystem_productivity,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_ecosystem_productivity_methods_and_instruments,atlas_environment_ecology_ecosystem_science_ecosystem_productivity,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_ecosystem_productivity_open_questions,atlas_environment_ecology_ecosystem_science_ecosystem_productivity,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_ecosystem_productivity_applications_and_implic,atlas_environment_ecology_ecosystem_science_ecosystem_productivity,application,application_of,0.82,true,application,atlas taxonomy
atlas_environment_ecology_ecosystem_science_nutrient_cycles,atlas_environment_ecology_ecosystem_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_nutrient_cycles_theoretical_foundations,atlas_environment_ecology_ecosystem_science_nutrient_cycles,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_nutrient_cycles_methods_and_instruments,atlas_environment_ecology_ecosystem_science_nutrient_cycles,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_environment_ecology_ecosystem_science_nutrient_cycles_open_questions,atlas_environment_ecology_ecosystem_science_nutrient_cycles,association,investigates,0.72,true,association,atlas taxonomy
