id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
evolution,Evolutionary Biology,theory,natural and life science,Evolution,intermediate,10,8,established,curated core,Change in heritable populations across generations
population_genetics,Population Genetics,theory,natural and life science,Evolution,advanced,8,9,established,curated core,Allele-frequency dynamics in populations
natural_selection,Natural Selection,process,natural and life science,Evolution,intermediate,10,7,established,curated core,Differential reproductive success from heritable variation
atlas_evolution_ecology_evolutionary_theory,Evolutionary theory,field,Evolutionary Biology,Evolutionary theory,intermediate,9,7,active,discipline taxonomy,A major research field within Evolutionary Biology
atlas_natural_selection_theoretical_foundations,natural selection: theoretical foundations,theory,Evolutionary Biology,Evolutionary theory,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for natural selection
atlas_natural_selection_methods_and_instruments,natural selection: methods and instruments,method,Evolutionary Biology,Evolutionary theory,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for natural selection
atlas_natural_selection_open_questions,natural selection: open questions,research frontier,Evolutionary Biology,Evolutionary theory,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for natural selection
atlas_natural_selection_applications_and_implications,natural selection: applications and implications,application,Evolutionary Biology,Evolutionary theory,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for natural selection
atlas_evolution_ecology_evolutionary_theory_genetic_drift,genetic drift,topic,Evolutionary Biology,Evolutionary theory,advanced,8,8,active,subject taxonomy,A scientific subject studied within Evolutionary theory
atlas_atlas_evolution_ecology_evolutionary_theory_genetic_drift_theoretical_foundations,genetic drift: theoretical foundations,theory,Evolutionary Biology,Evolutionary theory,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for genetic drift
atlas_atlas_evolution_ecology_evolutionary_theory_genetic_drift_methods_and_instruments,genetic drift: methods and instruments,method,Evolutionary Biology,Evolutionary theory,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for genetic drift
atlas_atlas_evolution_ecology_evolutionary_theory_genetic_drift_open_questions,genetic drift: open questions,research frontier,Evolutionary Biology,Evolutionary theory,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for genetic drift
atlas_atlas_evolution_ecology_evolutionary_theory_genetic_drift_applications_and_implications,genetic drift: applications and implications,application,Evolutionary Biology,Evolutionary theory,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for genetic drift
atlas_evolution_ecology_evolutionary_theory_mutation_and_variation,mutation and variation,topic,Evolutionary Biology,Evolutionary theory,advanced,8,8,active,subject taxonomy,A scientific subject studied within Evolutionary theory
atlas_atlas_evolution_ecology_evolutionary_theory_mutation_and_variation_theoretical_foundations,mutation and variation: theoretical foundations,theory,Evolutionary Biology,Evolutionary theory,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for mutation and variation
atlas_atlas_evolution_ecology_evolutionary_theory_mutation_and_variation_methods_and_instruments,mutation and variation: methods and instruments,method,Evolutionary Biology,Evolutionary theory,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for mutation and variation
atlas_atlas_evolution_ecology_evolutionary_theory_mutation_and_variation_open_questions,mutation and variation: open questions,research frontier,Evolutionary Biology,Evolutionary theory,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for mutation and variation
atlas_atlas_evolution_ecology_evolutionary_theory_mutation_and_variation_applications_and_implic,mutation and variation: applications and implications,application,Evolutionary Biology,Evolutionary theory,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for mutation and variation
atlas_evolution_ecology_evolutionary_theory_speciation,speciation,topic,Evolutionary Biology,Evolutionary theory,advanced,8,8,active,subject taxonomy,A scientific subject studied within Evolutionary theory
atlas_atlas_evolution_ecology_evolutionary_theory_speciation_theoretical_foundations,speciation: theoretical foundations,theory,Evolutionary Biology,Evolutionary theory,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for speciation
atlas_atlas_evolution_ecology_evolutionary_theory_speciation_methods_and_instruments,speciation: methods and instruments,method,Evolutionary Biology,Evolutionary theory,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for speciation
atlas_atlas_evolution_ecology_evolutionary_theory_speciation_open_questions,speciation: open questions,research frontier,Evolutionary Biology,Evolutionary theory,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for speciation
