id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
atlas_social_sciences_domain,Social and Economic Sciences,discipline,science atlas,Social and Economic Sciences,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_social_sciences_economics,Economics,field,Social and Economic Sciences,Economics,intermediate,9,7,active,discipline taxonomy,A major research field within Social and Economic Sciences
atlas_social_sciences_economics_microeconomics,microeconomics,topic,Social and Economic Sciences,Economics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Economics
atlas_atlas_social_sciences_economics_microeconomics_theoretical_foundations,microeconomics: theoretical foundations,theory,Social and Economic Sciences,Economics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for microeconomics
atlas_atlas_social_sciences_economics_microeconomics_methods_and_instruments,microeconomics: methods and instruments,method,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for microeconomics
atlas_atlas_social_sciences_economics_microeconomics_open_questions,microeconomics: open questions,research frontier,Social and Economic Sciences,Economics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for microeconomics
atlas_atlas_social_sciences_economics_microeconomics_applications_and_implications,microeconomics: applications and implications,application,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for microeconomics
atlas_social_sciences_economics_macroeconomics,macroeconomics,topic,Social and Economic Sciences,Economics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Economics
atlas_atlas_social_sciences_economics_macroeconomics_theoretical_foundations,macroeconomics: theoretical foundations,theory,Social and Economic Sciences,Economics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for macroeconomics
atlas_atlas_social_sciences_economics_macroeconomics_methods_and_instruments,macroeconomics: methods and instruments,method,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for macroeconomics
atlas_atlas_social_sciences_economics_macroeconomics_open_questions,macroeconomics: open questions,research frontier,Social and Economic Sciences,Economics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for macroeconomics
atlas_atlas_social_sciences_economics_macroeconomics_applications_and_implications,macroeconomics: applications and implications,application,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for macroeconomics
atlas_social_sciences_economics_econometrics,econometrics,topic,Social and Economic Sciences,Economics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Economics
atlas_atlas_social_sciences_economics_econometrics_theoretical_foundations,econometrics: theoretical foundations,theory,Social and Economic Sciences,Economics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for econometrics
atlas_atlas_social_sciences_economics_econometrics_methods_and_instruments,econometrics: methods and instruments,method,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for econometrics
atlas_atlas_social_sciences_economics_econometrics_open_questions,econometrics: open questions,research frontier,Social and Economic Sciences,Economics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for econometrics
atlas_atlas_social_sciences_economics_econometrics_applications_and_implications,econometrics: applications and implications,application,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for econometrics
atlas_social_sciences_economics_behavioral_economics,behavioral economics,topic,Social and Economic Sciences,Economics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Economics
atlas_atlas_social_sciences_economics_behavioral_economics_theoretical_foundations,behavioral economics: theoretical foundations,theory,Social and Economic Sciences,Economics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for behavioral economics
atlas_atlas_social_sciences_economics_behavioral_economics_methods_and_instruments,behavioral economics: methods and instruments,method,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for behavioral economics
atlas_atlas_social_sciences_economics_behavioral_economics_open_questions,behavioral economics: open questions,research frontier,Social and Economic Sciences,Economics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for behavioral economics
atlas_atlas_social_sciences_economics_behavioral_economics_applications_and_implications,behavioral economics: applications and implications,application,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for behavioral economics
atlas_social_sciences_economics_development_economics,development economics,topic,Social and Economic Sciences,Economics,advanced,8,8,active,subject taxonomy,A scientific subject studied within Economics
atlas_atlas_social_sciences_economics_development_economics_theoretical_foundations,development economics: theoretical foundations,theory,Social and Economic Sciences,Economics,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for development economics
atlas_atlas_social_sciences_economics_development_economics_methods_and_instruments,development economics: methods and instruments,method,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for development economics
atlas_atlas_social_sciences_economics_development_economics_open_questions,development economics: open questions,research frontier,Social and Economic Sciences,Economics,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for development economics
atlas_atlas_social_sciences_economics_development_economics_applications_and_implications,development economics: applications and implications,application,Social and Economic Sciences,Economics,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for development economics
atlas_social_sciences_sociology,Sociology,field,Social and Economic Sciences,Sociology,intermediate,9,7,active,discipline taxonomy,A major research field within Social and Economic Sciences
atlas_social_sciences_sociology_social_stratification,social stratification,topic,Social and Economic Sciences,Sociology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Sociology
atlas_atlas_social_sciences_sociology_social_stratification_theoretical_foundations,social stratification: theoretical foundations,theory,Social and Economic Sciences,Sociology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for social stratification
atlas_atlas_social_sciences_sociology_social_stratification_methods_and_instruments,social stratification: methods and instruments,method,Social and Economic Sciences,Sociology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for social stratification
atlas_atlas_social_sciences_sociology_social_stratification_open_questions,social stratification: open questions,research frontier,Social and Economic Sciences,Sociology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for social stratification
atlas_atlas_social_sciences_sociology_social_stratification_applications_and_implications,social stratification: applications and implications,application,Social and Economic Sciences,Sociology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for social stratification
