source,target,relation,relation_detail,weight,directed,relation_family,provenance
metabolism,biochemistry,structure,part_of,0.96,true,structure,curated core
enzyme,biochemistry,structure,part_of,0.96,true,structure,curated core
atp,biochemistry,structure,part_of,0.96,true,structure,curated core
cellular_respiration,biochemistry,structure,part_of,0.96,true,structure,curated core
photosynthesis,biochemistry,structure,part_of,0.96,true,structure,curated core
protein_folding,biochemistry,structure,part_of,0.96,true,structure,curated core
dna,rna,information flow,transcribed_to,0.88,true,information flow,curated core
rna,protein,information flow,translated_to,0.93,true,information flow,curated core
protein,enzyme,association,can_form,0.58,true,association,curated core
enzyme,metabolism,process,catalyzes,0.63,true,process,curated core
atp,metabolism,interaction,couples_energy_in,0.68,true,interaction,curated core
cellular_respiration,atp,process,produces,0.73,true,process,curated core
photosynthesis,metabolism,process,feeds,0.78,true,process,curated core
protein_folding,protein,process,shapes,0.83,true,process,curated core
protein,rna,interaction,interacts_with,0.66,false,interaction,curated core
biochemistry,molecular_biology,interaction,bridges,0.74,false,interaction,curated core
atlas_biochemistry_molecular_protein_science,atlas_biochemistry_molecular_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_biochemistry_molecular_protein_science_protein_structure,atlas_biochemistry_molecular_protein_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_protein_structure_theoretical_foundations,atlas_biochemistry_molecular_protein_science_protein_structure,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_protein_structure_methods_and_instruments,atlas_biochemistry_molecular_protein_science_protein_structure,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_protein_structure_open_questions,atlas_biochemistry_molecular_protein_science_protein_structure,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_protein_structure_applications_and_implicatio,atlas_biochemistry_molecular_protein_science_protein_structure,application,application_of,0.82,true,application,atlas taxonomy
protein_folding,atlas_biochemistry_molecular_protein_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_protein_folding_theoretical_foundations,protein_folding,association,formalizes,0.82,true,association,atlas taxonomy
atlas_protein_folding_methods_and_instruments,protein_folding,association,method_for,0.82,true,association,atlas taxonomy
atlas_protein_folding_open_questions,protein_folding,association,investigates,0.72,true,association,atlas taxonomy
atlas_protein_folding_applications_and_implications,protein_folding,application,application_of,0.82,true,application,atlas taxonomy
atlas_biochemistry_molecular_protein_science_enzyme_catalysis,atlas_biochemistry_molecular_protein_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_enzyme_catalysis_theoretical_foundations,atlas_biochemistry_molecular_protein_science_enzyme_catalysis,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_enzyme_catalysis_methods_and_instruments,atlas_biochemistry_molecular_protein_science_enzyme_catalysis,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_enzyme_catalysis_open_questions,atlas_biochemistry_molecular_protein_science_enzyme_catalysis,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_enzyme_catalysis_applications_and_implication,atlas_biochemistry_molecular_protein_science_enzyme_catalysis,application,application_of,0.82,true,application,atlas taxonomy
atlas_biochemistry_molecular_protein_science_protein_interactions,atlas_biochemistry_molecular_protein_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_protein_interactions_theoretical_foundations,atlas_biochemistry_molecular_protein_science_protein_interactions,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_protein_interactions_methods_and_instruments,atlas_biochemistry_molecular_protein_science_protein_interactions,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_protein_interactions_open_questions,atlas_biochemistry_molecular_protein_science_protein_interactions,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_biochemistry_molecular_protein_science_protein_interactions_applications_and_implica,atlas_biochemistry_molecular_protein_science_protein_interactions,application,application_of,0.82,true,application,atlas taxonomy
atlas_biochemistry_molecular_protein_science_proteostasis,atlas_biochemistry_molecular_protein_science,structure,part_of,0.94,true,structure,atlas taxonomy
