id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
engineering,Engineering,discipline,applied science,Engineering,foundational,10,8,established,curated core,A major scientific discipline centered on engineering.
robotics,Robotics,field,formal and applied science,Autonomous Systems,advanced,9,8,established,curated core,Sensing planning control and embodied machines
control_theory,Control Theory,theory,formal and applied science,Systems Engineering,advanced,9,9,established,curated core,Feedback stability observability and control of dynamical systems
atlas_engineering_technology_domain,Engineering and Technology,discipline,science atlas,Engineering and Technology,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_engineering_technology_electrical_engineering,Electrical engineering,field,Engineering and Technology,Electrical engineering,intermediate,9,7,active,discipline taxonomy,A major research field within Engineering and Technology
atlas_engineering_technology_electrical_engineering_circuits,circuits,topic,Engineering and Technology,Electrical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electrical engineering
atlas_atlas_engineering_technology_electrical_engineering_circuits_theoretical_foundations,circuits: theoretical foundations,theory,Engineering and Technology,Electrical engineering,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for circuits
atlas_atlas_engineering_technology_electrical_engineering_circuits_methods_and_instruments,circuits: methods and instruments,method,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for circuits
atlas_atlas_engineering_technology_electrical_engineering_circuits_open_questions,circuits: open questions,research frontier,Engineering and Technology,Electrical engineering,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for circuits
atlas_atlas_engineering_technology_electrical_engineering_circuits_applications_and_implications,circuits: applications and implications,application,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for circuits
atlas_engineering_technology_electrical_engineering_signal_processing,signal processing,topic,Engineering and Technology,Electrical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electrical engineering
atlas_atlas_engineering_technology_electrical_engineering_signal_processing_theoretical_foundati,signal processing: theoretical foundations,theory,Engineering and Technology,Electrical engineering,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for signal processing
atlas_atlas_engineering_technology_electrical_engineering_signal_processing_methods_and_instrume,signal processing: methods and instruments,method,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for signal processing
atlas_atlas_engineering_technology_electrical_engineering_signal_processing_open_questions,signal processing: open questions,research frontier,Engineering and Technology,Electrical engineering,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for signal processing
atlas_atlas_engineering_technology_electrical_engineering_signal_processing_applications_and_imp,signal processing: applications and implications,application,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for signal processing
atlas_engineering_technology_electrical_engineering_communications,communications,topic,Engineering and Technology,Electrical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electrical engineering
atlas_atlas_engineering_technology_electrical_engineering_communications_theoretical_foundations,communications: theoretical foundations,theory,Engineering and Technology,Electrical engineering,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for communications
atlas_atlas_engineering_technology_electrical_engineering_communications_methods_and_instruments,communications: methods and instruments,method,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for communications
atlas_atlas_engineering_technology_electrical_engineering_communications_open_questions,communications: open questions,research frontier,Engineering and Technology,Electrical engineering,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for communications
atlas_atlas_engineering_technology_electrical_engineering_communications_applications_and_implic,communications: applications and implications,application,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for communications
atlas_engineering_technology_electrical_engineering_control_systems,control systems,topic,Engineering and Technology,Electrical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electrical engineering
atlas_atlas_engineering_technology_electrical_engineering_control_systems_theoretical_foundation,control systems: theoretical foundations,theory,Engineering and Technology,Electrical engineering,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for control systems
atlas_atlas_engineering_technology_electrical_engineering_control_systems_methods_and_instrument,control systems: methods and instruments,method,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for control systems
atlas_atlas_engineering_technology_electrical_engineering_control_systems_open_questions,control systems: open questions,research frontier,Engineering and Technology,Electrical engineering,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for control systems
atlas_atlas_engineering_technology_electrical_engineering_control_systems_applications_and_impli,control systems: applications and implications,application,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for control systems
atlas_engineering_technology_electrical_engineering_power_systems,power systems,topic,Engineering and Technology,Electrical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Electrical engineering
atlas_atlas_engineering_technology_electrical_engineering_power_systems_theoretical_foundations,power systems: theoretical foundations,theory,Engineering and Technology,Electrical engineering,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for power systems
atlas_atlas_engineering_technology_electrical_engineering_power_systems_methods_and_instruments,power systems: methods and instruments,method,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for power systems
atlas_atlas_engineering_technology_electrical_engineering_power_systems_open_questions,power systems: open questions,research frontier,Engineering and Technology,Electrical engineering,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for power systems
atlas_atlas_engineering_technology_electrical_engineering_power_systems_applications_and_implica,power systems: applications and implications,application,Engineering and Technology,Electrical engineering,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for power systems
atlas_engineering_technology_mechanical_engineering,Mechanical engineering,field,Engineering and Technology,Mechanical engineering,intermediate,9,7,active,discipline taxonomy,A major research field within Engineering and Technology
atlas_engineering_technology_mechanical_engineering_solid_mechanics,solid mechanics,topic,Engineering and Technology,Mechanical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Mechanical engineering
atlas_atlas_engineering_technology_mechanical_engineering_solid_mechanics_theoretical_foundation,solid mechanics: theoretical foundations,theory,Engineering and Technology,Mechanical engineering,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for solid mechanics
atlas_atlas_engineering_technology_mechanical_engineering_solid_mechanics_methods_and_instrument,solid mechanics: methods and instruments,method,Engineering and Technology,Mechanical engineering,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for solid mechanics
atlas_atlas_engineering_technology_mechanical_engineering_solid_mechanics_open_questions,solid mechanics: open questions,research frontier,Engineering and Technology,Mechanical engineering,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for solid mechanics
atlas_atlas_engineering_technology_mechanical_engineering_solid_mechanics_applications_and_impli,solid mechanics: applications and implications,application,Engineering and Technology,Mechanical engineering,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for solid mechanics
atlas_engineering_technology_mechanical_engineering_thermofluids,thermofluids,topic,Engineering and Technology,Mechanical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Mechanical engineering
atlas_atlas_engineering_technology_mechanical_engineering_thermofluids_theoretical_foundations,thermofluids: theoretical foundations,theory,Engineering and Technology,Mechanical engineering,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for thermofluids
atlas_atlas_engineering_technology_mechanical_engineering_thermofluids_methods_and_instruments,thermofluids: methods and instruments,method,Engineering and Technology,Mechanical engineering,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for thermofluids
atlas_atlas_engineering_technology_mechanical_engineering_thermofluids_open_questions,thermofluids: open questions,research frontier,Engineering and Technology,Mechanical engineering,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for thermofluids
atlas_atlas_engineering_technology_mechanical_engineering_thermofluids_applications_and_implicat,thermofluids: applications and implications,application,Engineering and Technology,Mechanical engineering,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for thermofluids
atlas_engineering_technology_mechanical_engineering_design_engineering,design engineering,topic,Engineering and Technology,Mechanical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Mechanical engineering
atlas_atlas_engineering_technology_mechanical_engineering_design_engineering_theoretical_foundat,design engineering: theoretical foundations,theory,Engineering and Technology,Mechanical engineering,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for design engineering
atlas_atlas_engineering_technology_mechanical_engineering_design_engineering_methods_and_instrum,design engineering: methods and instruments,method,Engineering and Technology,Mechanical engineering,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for design engineering
atlas_atlas_engineering_technology_mechanical_engineering_design_engineering_open_questions,design engineering: open questions,research frontier,Engineering and Technology,Mechanical engineering,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for design engineering
atlas_atlas_engineering_technology_mechanical_engineering_design_engineering_applications_and_im,design engineering: applications and implications,application,Engineering and Technology,Mechanical engineering,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for design engineering
atlas_engineering_technology_mechanical_engineering_manufacturing,manufacturing,topic,Engineering and Technology,Mechanical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Mechanical engineering
atlas_atlas_engineering_technology_mechanical_engineering_manufacturing_theoretical_foundations,manufacturing: theoretical foundations,theory,Engineering and Technology,Mechanical engineering,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for manufacturing
atlas_atlas_engineering_technology_mechanical_engineering_manufacturing_methods_and_instruments,manufacturing: methods and instruments,method,Engineering and Technology,Mechanical engineering,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for manufacturing
atlas_atlas_engineering_technology_mechanical_engineering_manufacturing_open_questions,manufacturing: open questions,research frontier,Engineering and Technology,Mechanical engineering,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for manufacturing
atlas_atlas_engineering_technology_mechanical_engineering_manufacturing_applications_and_implica,manufacturing: applications and implications,application,Engineering and Technology,Mechanical engineering,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for manufacturing
atlas_engineering_technology_mechanical_engineering_tribology,tribology,topic,Engineering and Technology,Mechanical engineering,advanced,8,8,active,subject taxonomy,A scientific subject studied within Mechanical engineering
