id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
immunology,Immunology,field,natural and life science,Immunology,advanced,9,9,established,curated core,Biological defense recognition and immune regulation
microbiology,Microbiology,field,natural and life science,Microbiology,intermediate,9,7,established,curated core,Microorganisms and their biological activities
virology,Virology,field,natural and life science,Microbiology,advanced,8,8,established,curated core,Viruses their replication and host interactions
atlas_microbiology_virology_domain,Microbiology Virology and Immunology,discipline,science atlas,Microbiology Virology and Immunology,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_microbiology_virology_bacteriology,Bacteriology,field,Microbiology Virology and Immunology,Bacteriology,intermediate,9,7,active,discipline taxonomy,A major research field within Microbiology Virology and Immunology
atlas_microbiology_virology_bacteriology_bacterial_physiology,bacterial physiology,topic,Microbiology Virology and Immunology,Bacteriology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Bacteriology
atlas_atlas_microbiology_virology_bacteriology_bacterial_physiology_theoretical_foundations,bacterial physiology: theoretical foundations,theory,Microbiology Virology and Immunology,Bacteriology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for bacterial physiology
atlas_atlas_microbiology_virology_bacteriology_bacterial_physiology_methods_and_instruments,bacterial physiology: methods and instruments,method,Microbiology Virology and Immunology,Bacteriology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for bacterial physiology
atlas_atlas_microbiology_virology_bacteriology_bacterial_physiology_open_questions,bacterial physiology: open questions,research frontier,Microbiology Virology and Immunology,Bacteriology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for bacterial physiology
atlas_atlas_microbiology_virology_bacteriology_bacterial_physiology_applications_and_implication,bacterial physiology: applications and implications,application,Microbiology Virology and Immunology,Bacteriology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for bacterial physiology
atlas_microbiology_virology_bacteriology_microbial_genetics,microbial genetics,topic,Microbiology Virology and Immunology,Bacteriology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Bacteriology
atlas_atlas_microbiology_virology_bacteriology_microbial_genetics_theoretical_foundations,microbial genetics: theoretical foundations,theory,Microbiology Virology and Immunology,Bacteriology,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for microbial genetics
atlas_atlas_microbiology_virology_bacteriology_microbial_genetics_methods_and_instruments,microbial genetics: methods and instruments,method,Microbiology Virology and Immunology,Bacteriology,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for microbial genetics
atlas_atlas_microbiology_virology_bacteriology_microbial_genetics_open_questions,microbial genetics: open questions,research frontier,Microbiology Virology and Immunology,Bacteriology,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for microbial genetics
atlas_atlas_microbiology_virology_bacteriology_microbial_genetics_applications_and_implications,microbial genetics: applications and implications,application,Microbiology Virology and Immunology,Bacteriology,advanced,7,8,active,generated research lens,scientific technological clinical environmental or societal uses for microbial genetics
atlas_microbiology_virology_bacteriology_biofilms,biofilms,topic,Microbiology Virology and Immunology,Bacteriology,advanced,8,8,active,subject taxonomy,A scientific subject studied within Bacteriology
