source,target,relation,relation_detail,weight,directed,relation_family,provenance
probability,statistics,foundation,supports,0.78,true,foundation,curated core
bayesian_inference,statistics,structure,part_of,0.93,true,structure,curated core
causal_inference,statistics,generalization,extends,0.73,true,generalization,curated core
atlas_probability_statistics_probability,atlas_probability_statistics_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_probability_statistics_probability_measure_theoretic_probability,atlas_probability_statistics_probability,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_probability_measure_theoretic_probability_theoretical_foundat,atlas_probability_statistics_probability_measure_theoretic_probability,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_measure_theoretic_probability_methods_and_instrum,atlas_probability_statistics_probability_measure_theoretic_probability,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_measure_theoretic_probability_open_questions,atlas_probability_statistics_probability_measure_theoretic_probability,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_measure_theoretic_probability_applications_and_im,atlas_probability_statistics_probability_measure_theoretic_probability,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_probability_stochastic_processes,atlas_probability_statistics_probability,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_probability_stochastic_processes_theoretical_foundations,atlas_probability_statistics_probability_stochastic_processes,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_stochastic_processes_methods_and_instruments,atlas_probability_statistics_probability_stochastic_processes,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_stochastic_processes_open_questions,atlas_probability_statistics_probability_stochastic_processes,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_stochastic_processes_applications_and_implication,atlas_probability_statistics_probability_stochastic_processes,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_probability_martingales,atlas_probability_statistics_probability,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_probability_martingales_theoretical_foundations,atlas_probability_statistics_probability_martingales,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_martingales_methods_and_instruments,atlas_probability_statistics_probability_martingales,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_martingales_open_questions,atlas_probability_statistics_probability_martingales,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_martingales_applications_and_implications,atlas_probability_statistics_probability_martingales,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_probability_random_matrices,atlas_probability_statistics_probability,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_probability_random_matrices_theoretical_foundations,atlas_probability_statistics_probability_random_matrices,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_random_matrices_methods_and_instruments,atlas_probability_statistics_probability_random_matrices,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_random_matrices_open_questions,atlas_probability_statistics_probability_random_matrices,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_random_matrices_applications_and_implications,atlas_probability_statistics_probability_random_matrices,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_probability_stochastic_differential_equations,atlas_probability_statistics_probability,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_probability_stochastic_differential_equations_theoretical_fou,atlas_probability_statistics_probability_stochastic_differential_equations,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_stochastic_differential_equations_methods_and_ins,atlas_probability_statistics_probability_stochastic_differential_equations,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_stochastic_differential_equations_open_questions,atlas_probability_statistics_probability_stochastic_differential_equations,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_probability_stochastic_differential_equations_applications_an,atlas_probability_statistics_probability_stochastic_differential_equations,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_probability_measure_theoretic_probability,atlas_probability_statistics_probability_stochastic_processes,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_probability_statistics_probability_stochastic_processes,atlas_probability_statistics_probability_martingales,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_probability_statistics_probability_martingales,atlas_probability_statistics_probability_random_matrices,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_probability_statistics_probability_random_matrices,atlas_probability_statistics_probability_stochastic_differential_equations,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_probability_statistics_mathematical_statistics,atlas_probability_statistics_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_probability_statistics_mathematical_statistics_estimation_theory,atlas_probability_statistics_mathematical_statistics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_estimation_theory_theoretical_foundat,atlas_probability_statistics_mathematical_statistics_estimation_theory,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_estimation_theory_methods_and_instrum,atlas_probability_statistics_mathematical_statistics_estimation_theory,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_estimation_theory_open_questions,atlas_probability_statistics_mathematical_statistics_estimation_theory,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_estimation_theory_applications_and_im,atlas_probability_statistics_mathematical_statistics_estimation_theory,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_mathematical_statistics_hypothesis_testing,atlas_probability_statistics_mathematical_statistics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_hypothesis_testing_theoretical_founda,atlas_probability_statistics_mathematical_statistics_hypothesis_testing,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_hypothesis_testing_methods_and_instru,atlas_probability_statistics_mathematical_statistics_hypothesis_testing,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_hypothesis_testing_open_questions,atlas_probability_statistics_mathematical_statistics_hypothesis_testing,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_hypothesis_testing_applications_and_i,atlas_probability_statistics_mathematical_statistics_hypothesis_testing,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_mathematical_statistics_asymptotic_statistics,atlas_probability_statistics_mathematical_statistics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_asymptotic_statistics_theoretical_fou,atlas_probability_statistics_mathematical_statistics_asymptotic_statistics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_asymptotic_statistics_methods_and_ins,atlas_probability_statistics_mathematical_statistics_asymptotic_statistics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_asymptotic_statistics_open_questions,atlas_probability_statistics_mathematical_statistics_asymptotic_statistics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_asymptotic_statistics_applications_an,atlas_probability_statistics_mathematical_statistics_asymptotic_statistics,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_mathematical_statistics_nonparametric_statistics,atlas_probability_statistics_mathematical_statistics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_nonparametric_statistics_theoretical_,atlas_probability_statistics_mathematical_statistics_nonparametric_statistics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_nonparametric_statistics_methods_and_,atlas_probability_statistics_mathematical_statistics_nonparametric_statistics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_nonparametric_statistics_open_questio,atlas_probability_statistics_mathematical_statistics_nonparametric_statistics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_nonparametric_statistics_applications,atlas_probability_statistics_mathematical_statistics_nonparametric_statistics,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics,atlas_probability_statistics_mathematical_statistics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics_theoretic,atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics_methods_a,atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics_open_ques,atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics_applicati,atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_mathematical_statistics_estimation_theory,atlas_probability_statistics_mathematical_statistics_hypothesis_testing,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_probability_statistics_mathematical_statistics_hypothesis_testing,atlas_probability_statistics_mathematical_statistics_asymptotic_statistics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_probability_statistics_mathematical_statistics_asymptotic_statistics,atlas_probability_statistics_mathematical_statistics_nonparametric_statistics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_probability_statistics_mathematical_statistics_nonparametric_statistics,atlas_probability_statistics_mathematical_statistics_high_dimensional_statistics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_probability_statistics_bayesian_science,atlas_probability_statistics_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_probability_statistics_bayesian_science_bayesian_computation,atlas_probability_statistics_bayesian_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_bayesian_science_bayesian_computation_theoretical_foundations,atlas_probability_statistics_bayesian_science_bayesian_computation,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_bayesian_science_bayesian_computation_methods_and_instruments,atlas_probability_statistics_bayesian_science_bayesian_computation,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_bayesian_science_bayesian_computation_open_questions,atlas_probability_statistics_bayesian_science_bayesian_computation,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_probability_statistics_bayesian_science_bayesian_computation_applications_and_implic,atlas_probability_statistics_bayesian_science_bayesian_computation,application,application_of,0.82,true,application,atlas taxonomy
atlas_probability_statistics_bayesian_science_hierarchical_models,atlas_probability_statistics_bayesian_science,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_probability_statistics_bayesian_science_hierarchical_models_theoretical_foundations,atlas_probability_statistics_bayesian_science_hierarchical_models,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_probability_statistics_bayesian_science_hierarchical_models_methods_and_instruments,atlas_probability_statistics_bayesian_science_hierarchical_models,association,method_for,0.82,true,association,atlas taxonomy
