id,label,category,domain,discipline,level,importance,complexity,status,source_scope,description
artificial_intelligence,Artificial Intelligence,field,formal and applied science,Artificial Intelligence,intermediate,10,8,established,curated core,Computational systems performing intelligent tasks
machine_learning,Machine Learning,field,formal and applied science,Artificial Intelligence,advanced,10,8,established,curated core,Learning predictive or decision rules from data
deep_learning,Deep Learning,field,formal and applied science,Artificial Intelligence,advanced,10,9,established,curated core,Representation learning with multilayer neural networks
reinforcement_learning,Reinforcement Learning,method,formal and applied science,Artificial Intelligence,advanced,9,9,established,curated core,Learning behavior from rewards and interaction
computer_vision,Computer Vision,field,formal and applied science,Artificial Intelligence,advanced,9,8,established,curated core,Computational interpretation of visual information
natural_language_processing,Natural Language Processing,field,formal and applied science,Artificial Intelligence,advanced,9,8,established,curated core,Computational modeling and processing of language
transformers,Transformer Architecture,technology,formal and applied science,Artificial Intelligence,research,10,9,established,curated core,Attention-based neural network architecture
graph_neural_networks,Graph Neural Networks,technology,formal and applied science,Artificial Intelligence,research,9,9,established,curated core,Neural computation on graph-structured data
atlas_ai_machine_learning_domain,Artificial Intelligence and Machine Learning,discipline,science atlas,Artificial Intelligence and Machine Learning,foundational,10,7,active,OECD/arXiv/NIH-aligned atlas,A broad research domain in the science atlas
atlas_ai_machine_learning_machine_learning_theory,Machine learning theory,field,Artificial Intelligence and Machine Learning,Machine learning theory,intermediate,9,7,active,discipline taxonomy,A major research field within Artificial Intelligence and Machine Learning
atlas_ai_machine_learning_machine_learning_theory_statistical_learning,statistical learning,topic,Artificial Intelligence and Machine Learning,Machine learning theory,advanced,8,8,active,subject taxonomy,A scientific subject studied within Machine learning theory
atlas_atlas_ai_machine_learning_machine_learning_theory_statistical_learning_theoretical_foundat,statistical learning: theoretical foundations,theory,Artificial Intelligence and Machine Learning,Machine learning theory,advanced,7,8,established,generated research lens,formal models assumptions and governing principles for statistical learning
atlas_atlas_ai_machine_learning_machine_learning_theory_statistical_learning_methods_and_instrum,statistical learning: methods and instruments,method,Artificial Intelligence and Machine Learning,Machine learning theory,advanced,7,8,active,generated research lens,measurement computation experiments and analytical methods for statistical learning
atlas_atlas_ai_machine_learning_machine_learning_theory_statistical_learning_open_questions,statistical learning: open questions,research frontier,Artificial Intelligence and Machine Learning,Machine learning theory,research,9,10,frontier,generated research lens,unresolved mechanisms limits anomalies and emerging research directions for statistical learning
