source,target,relation,relation_detail,weight,directed,relation_family,provenance
cell_biology,biology,structure,part_of,0.96,true,structure,curated core
developmental_biology,biology,structure,part_of,0.96,true,structure,curated core
homeostasis,biology,structure,part_of,0.96,true,structure,curated core
cell_biology,atlas_organismal_biology_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_organismal_biology_cell_biology_cell_membranes,cell_biology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cell_membranes_theoretical_foundations,atlas_organismal_biology_cell_biology_cell_membranes,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cell_membranes_methods_and_instruments,atlas_organismal_biology_cell_biology_cell_membranes,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cell_membranes_open_questions,atlas_organismal_biology_cell_biology_cell_membranes,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cell_membranes_applications_and_implications,atlas_organismal_biology_cell_biology_cell_membranes,application,application_of,0.82,true,application,atlas taxonomy
atlas_organismal_biology_cell_biology_organelles,cell_biology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_organelles_theoretical_foundations,atlas_organismal_biology_cell_biology_organelles,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_organelles_methods_and_instruments,atlas_organismal_biology_cell_biology_organelles,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_organelles_open_questions,atlas_organismal_biology_cell_biology_organelles,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_organelles_applications_and_implications,atlas_organismal_biology_cell_biology_organelles,application,application_of,0.82,true,application,atlas taxonomy
atlas_organismal_biology_cell_biology_cell_division,cell_biology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cell_division_theoretical_foundations,atlas_organismal_biology_cell_biology_cell_division,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cell_division_methods_and_instruments,atlas_organismal_biology_cell_biology_cell_division,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cell_division_open_questions,atlas_organismal_biology_cell_biology_cell_division,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cell_division_applications_and_implications,atlas_organismal_biology_cell_biology_cell_division,application,application_of,0.82,true,application,atlas taxonomy
atlas_organismal_biology_cell_biology_cytoskeleton,cell_biology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cytoskeleton_theoretical_foundations,atlas_organismal_biology_cell_biology_cytoskeleton,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cytoskeleton_methods_and_instruments,atlas_organismal_biology_cell_biology_cytoskeleton,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_organismal_biology_cell_biology_cytoskeleton_open_questions,atlas_organismal_biology_cell_biology_cytoskeleton,association,investigates,0.72,true,association,atlas taxonomy
