source,target,relation,relation_detail,weight,directed,relation_family,provenance
complex_systems,systems_science,structure,part_of,0.96,true,structure,curated core
emergence,systems_science,structure,part_of,0.96,true,structure,curated core
agent_based_modeling,systems_science,structure,part_of,0.96,true,structure,curated core
computational_modeling,systems_science,structure,part_of,0.96,true,structure,curated core
systems_biology,network_science,association,uses,0.93,true,association,curated core
complex_systems,emergence,association,exhibits,0.83,true,association,curated core
complex_systems,network_science,association,uses,0.88,true,association,curated core
agent_based_modeling,complex_systems,explanation,models,0.93,true,explanation,curated core
nonlinear_dynamics,complex_systems,explanation,explains,0.58,true,explanation,curated core
computational_modeling,agent_based_modeling,structure,includes,0.88,true,structure,curated core
complex_systems,atlas_systems_complexity_domain,structure,part_of,0.96,true,structure,atlas taxonomy
emergence,complex_systems,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_emergence_theoretical_foundations,emergence,association,formalizes,0.82,true,association,atlas taxonomy
atlas_emergence_methods_and_instruments,emergence,association,method_for,0.82,true,association,atlas taxonomy
atlas_emergence_open_questions,emergence,association,investigates,0.72,true,association,atlas taxonomy
atlas_emergence_applications_and_implications,emergence,application,application_of,0.82,true,application,atlas taxonomy
atlas_systems_complexity_complex_systems_self_organization,complex_systems,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_self_organization_theoretical_foundations,atlas_systems_complexity_complex_systems_self_organization,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_self_organization_methods_and_instruments,atlas_systems_complexity_complex_systems_self_organization,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_self_organization_open_questions,atlas_systems_complexity_complex_systems_self_organization,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_self_organization_applications_and_implications,atlas_systems_complexity_complex_systems_self_organization,application,application_of,0.82,true,application,atlas taxonomy
atlas_systems_complexity_complex_systems_criticality,complex_systems,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_criticality_theoretical_foundations,atlas_systems_complexity_complex_systems_criticality,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_criticality_methods_and_instruments,atlas_systems_complexity_complex_systems_criticality,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_criticality_open_questions,atlas_systems_complexity_complex_systems_criticality,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_criticality_applications_and_implications,atlas_systems_complexity_complex_systems_criticality,application,application_of,0.82,true,application,atlas taxonomy
atlas_systems_complexity_complex_systems_collective_behavior,complex_systems,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_collective_behavior_theoretical_foundations,atlas_systems_complexity_complex_systems_collective_behavior,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_collective_behavior_methods_and_instruments,atlas_systems_complexity_complex_systems_collective_behavior,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_collective_behavior_open_questions,atlas_systems_complexity_complex_systems_collective_behavior,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_systems_complexity_complex_systems_collective_behavior_applications_and_implications,atlas_systems_complexity_complex_systems_collective_behavior,application,application_of,0.82,true,application,atlas taxonomy
