source,target,relation,relation_detail,weight,directed,relation_family,provenance
atlas_social_sciences_economics,atlas_social_sciences_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_social_sciences_economics_microeconomics,atlas_social_sciences_economics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_social_sciences_economics_microeconomics_theoretical_foundations,atlas_social_sciences_economics_microeconomics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_microeconomics_methods_and_instruments,atlas_social_sciences_economics_microeconomics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_microeconomics_open_questions,atlas_social_sciences_economics_microeconomics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_microeconomics_applications_and_implications,atlas_social_sciences_economics_microeconomics,application,application_of,0.82,true,application,atlas taxonomy
atlas_social_sciences_economics_macroeconomics,atlas_social_sciences_economics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_social_sciences_economics_macroeconomics_theoretical_foundations,atlas_social_sciences_economics_macroeconomics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_macroeconomics_methods_and_instruments,atlas_social_sciences_economics_macroeconomics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_macroeconomics_open_questions,atlas_social_sciences_economics_macroeconomics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_macroeconomics_applications_and_implications,atlas_social_sciences_economics_macroeconomics,application,application_of,0.82,true,application,atlas taxonomy
atlas_social_sciences_economics_econometrics,atlas_social_sciences_economics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_social_sciences_economics_econometrics_theoretical_foundations,atlas_social_sciences_economics_econometrics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_econometrics_methods_and_instruments,atlas_social_sciences_economics_econometrics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_econometrics_open_questions,atlas_social_sciences_economics_econometrics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_econometrics_applications_and_implications,atlas_social_sciences_economics_econometrics,application,application_of,0.82,true,application,atlas taxonomy
atlas_social_sciences_economics_behavioral_economics,atlas_social_sciences_economics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_social_sciences_economics_behavioral_economics_theoretical_foundations,atlas_social_sciences_economics_behavioral_economics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_behavioral_economics_methods_and_instruments,atlas_social_sciences_economics_behavioral_economics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_behavioral_economics_open_questions,atlas_social_sciences_economics_behavioral_economics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_behavioral_economics_applications_and_implications,atlas_social_sciences_economics_behavioral_economics,application,application_of,0.82,true,application,atlas taxonomy
atlas_social_sciences_economics_development_economics,atlas_social_sciences_economics,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_social_sciences_economics_development_economics_theoretical_foundations,atlas_social_sciences_economics_development_economics,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_development_economics_methods_and_instruments,atlas_social_sciences_economics_development_economics,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_development_economics_open_questions,atlas_social_sciences_economics_development_economics,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_social_sciences_economics_development_economics_applications_and_implications,atlas_social_sciences_economics_development_economics,application,application_of,0.82,true,application,atlas taxonomy
atlas_social_sciences_economics_microeconomics,atlas_social_sciences_economics_macroeconomics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_social_sciences_economics_macroeconomics,atlas_social_sciences_economics_econometrics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_social_sciences_economics_econometrics,atlas_social_sciences_economics_behavioral_economics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_social_sciences_economics_behavioral_economics,atlas_social_sciences_economics_development_economics,interaction,related_to,0.62,false,interaction,atlas taxonomy
atlas_social_sciences_sociology,atlas_social_sciences_domain,structure,part_of,0.96,true,structure,atlas taxonomy
atlas_social_sciences_sociology_social_stratification,atlas_social_sciences_sociology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_social_sciences_sociology_social_stratification_theoretical_foundations,atlas_social_sciences_sociology_social_stratification,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_sociology_social_stratification_methods_and_instruments,atlas_social_sciences_sociology_social_stratification,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_sociology_social_stratification_open_questions,atlas_social_sciences_sociology_social_stratification,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_social_sciences_sociology_social_stratification_applications_and_implications,atlas_social_sciences_sociology_social_stratification,application,application_of,0.82,true,application,atlas taxonomy
atlas_social_sciences_sociology_organizations,atlas_social_sciences_sociology,structure,part_of,0.94,true,structure,atlas taxonomy
atlas_atlas_social_sciences_sociology_organizations_theoretical_foundations,atlas_social_sciences_sociology_organizations,association,formalizes,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_sociology_organizations_methods_and_instruments,atlas_social_sciences_sociology_organizations,association,method_for,0.82,true,association,atlas taxonomy
atlas_atlas_social_sciences_sociology_organizations_open_questions,atlas_social_sciences_sociology_organizations,association,investigates,0.72,true,association,atlas taxonomy
atlas_atlas_social_sciences_sociology_organizations_applications_and_implications,atlas_social_sciences_sociology_organizations,application,application_of,0.82,true,application,atlas taxonomy
